dates,incrementalcount_medicaltest_conditioncovid_19
2020-06-29,11789
2020-06-30,11789
2020-07-01,11789
2020-07-02,11789
2020-07-03,11789
2020-07-04,11789
2020-07-05,11789
2020-07-06,11869
2020-07-07,11869
2020-07-08,11869
2020-07-09,11869
2020-07-10,11869
2020-07-11,11869
2020-07-12,11869
2020-07-13,9933
2020-07-14,9933
2020-07-15,9933
2020-07-16,9933
2020-07-17,9933
2020-07-18,9933
2020-07-19,9933
2020-07-20,8458
2020-07-21,8458
2020-07-22,8458
2020-07-23,8458
2020-07-24,8458
2020-07-25,8458
2020-07-26,8458
2020-07-27,7576
2020-07-28,7576
2020-07-29,7576
2020-07-30,7576
2020-07-31,7576
2020-08-01,7576
2020-08-02,7576
2020-08-03,7682
2020-08-04,7682
2020-08-05,7682
2020-08-06,7682
2020-08-07,7682
2020-08-08,7682
2020-08-09,7682
2020-08-10,8109
2020-08-11,8109
2020-08-12,8109
2020-08-13,8109
2020-08-14,8109
2020-08-15,8109
2020-08-16,8109
2020-08-17,9324
2020-08-18,9324
2020-08-19,9324
2020-08-20,9324
2020-08-21,9324
2020-08-22,9324
2020-08-23,9324
2020-08-24,12203
2020-08-25,12203
2020-08-26,12203
2020-08-27,12203
2020-08-28,12203
2020-08-29,12203
2020-08-30,12203
2020-08-31,18027
2020-09-01,18027
2020-09-02,18027
2020-09-03,18027
2020-09-04,18027
2020-09-05,18027
2020-09-06,18027
2020-09-07,20382
2020-09-08,20382
2020-09-09,20382
2020-09-10,20382
2020-09-11,20382
2020-09-12,20382
2020-09-13,20382
2020-09-14,19924
2020-09-15,19924
2020-09-16,19924
2020-09-17,19924
2020-09-18,19924
2020-09-19,19924
2020-09-20,19924
2020-09-21,18279
2020-09-22,18279
2020-09-23,18279
2020-09-24,18279
2020-09-25,18279
2020-09-26,18279
2020-09-27,18279
2020-09-28,18580
2020-09-29,18580
2020-09-30,18580
2020-10-01,18580
2020-10-02,18580
2020-10-03,18580
2020-10-04,18580
2020-10-05,19916
2020-10-06,19916
2020-10-07,19916
2020-10-08,19916
2020-10-09,19916
2020-10-10,19916
2020-10-11,19916
2020-10-12,21564
2020-10-13,21564
2020-10-14,21564
2020-10-15,21564
2020-10-16,21564
2020-10-17,21564
2020-10-18,21564
2020-10-19,23961
2020-10-20,23961
2020-10-21,23961
2020-10-22,23961
2020-10-23,23961
2020-10-24,23961
2020-10-25,23961
2020-10-26,27613
2020-10-27,27613
2020-10-28,27613
2020-10-29,27613
2020-10-30,27613
2020-10-31,27613
2020-11-01,27613
2020-11-02,33414
2020-11-03,33414
2020-11-04,33414
2020-11-05,33414
2020-11-06,33414
2020-11-07,33414
2020-11-08,33414
2020-11-09,37239
2020-11-10,37239
2020-11-11,37239
2020-11-12,37239
2020-11-13,37239
2020-11-14,37239
2020-11-15,37239
2020-11-16,38266
2020-11-17,38266
2020-11-18,38266
2020-11-19,38266
2020-11-20,38266
2020-11-21,38266
2020-11-22,38266
2020-11-23,40350
2020-11-24,40350
2020-11-25,40350
2020-11-26,40350
2020-11-27,40350
2020-11-28,40350
2020-11-29,40350
2020-11-30,38302
2020-12-01,38302
2020-12-02,38302
2020-12-03,38302
2020-12-04,38302
2020-12-05,38302
2020-12-06,38302
2020-12-07,39644
2020-12-08,39644
2020-12-09,39644
2020-12-10,39644
2020-12-11,39644
2020-12-12,39644
2020-12-13,39644
2020-12-14,43821
2020-12-15,43821
2020-12-16,43821
2020-12-17,43821
2020-12-18,43821
2020-12-19,43821
2020-12-20,43821
2020-12-21,34116
2020-12-22,34116
2020-12-23,34116
2020-12-24,34116
2020-12-25,34116
2020-12-26,34116
2020-12-27,34116
2020-12-28,29221
2020-12-29,29221
2020-12-30,29221
2020-12-31,29221
2021-01-01,29221
2021-01-02,29221
2021-01-03,29221
2021-01-04,30475
2021-01-05,30475
2021-01-06,30475
2021-01-07,30475
2021-01-08,30475
2021-01-09,30475
2021-01-10,30475
2021-01-11,29567
2021-01-12,29567
2021-01-13,29567
2021-01-14,29567
