dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,9
2020-03-21,9
2020-03-22,15
2020-03-23,15
2020-03-24,17
2020-03-25,19
2020-03-26,21
2020-03-27,23
2020-03-28,25
2020-03-29,28
2020-03-30,30
2020-03-31,34
2020-04-01,34
2020-04-02,36
2020-04-03,39
2020-04-04,40
2020-04-05,41
2020-04-06,44
2020-04-07,58
2020-04-08,65
2020-04-09,70
2020-04-10,73
2020-04-11,73
2020-04-12,76
2020-04-13,76
2020-04-14,77
2020-04-15,77
2020-04-16,81
2020-04-17,83
2020-04-18,84
2020-04-19,84
2020-04-20,84
2020-04-21,86
2020-04-22,88
2020-04-23,88
2020-04-24,88
2020-04-25,90
2020-04-26,96
2020-04-27,98
2020-04-28,99
2020-04-29,99
2020-04-30,109
2020-05-01,116
2020-05-02,123
2020-05-03,123
2020-05-04,124
2020-05-05,126
2020-05-06,128
2020-05-07,128
2020-05-08,135
2020-05-09,145
2020-05-10,173
2020-05-11,174
2020-05-12,181
2020-05-13,199
2020-05-14,219
2020-05-15,238
2020-05-16,263
2020-05-17,298
2020-05-18,301
2020-05-19,330
2020-05-20,338
2020-05-21,338
2020-05-22,354
2020-05-23,363
2020-05-24,373
2020-05-25,381
2020-05-26,386
2020-05-27,391
2020-05-28,395
2020-05-29,422
2020-05-30,428
2020-05-31,433
2020-06-01,442
2020-06-02,443
2020-06-03,445
2020-06-04,452
2020-06-05,465
2020-06-06,485
2020-06-07,487
2020-06-08,495
2020-06-09,497
2020-06-10,501
2020-06-11,522
2020-06-12,525
2020-06-13,525
2020-06-14,525
2020-06-15,530
2020-06-16,532
2020-06-17,537
2020-06-18,537
2020-06-19,547
2020-06-20,555
2020-06-21,561
2020-06-22,569
2020-06-23,569
2020-06-24,576
2020-06-25,583
2020-06-26,588
2020-06-27,591
2020-06-28,615
2020-06-29,642
2020-06-30,642
2020-07-01,650
2020-07-02,661
2020-07-03,667
2020-07-04,671
2020-07-05,676
2020-07-06,680
2020-07-07,680
2020-07-08,689
2020-07-09,695
2020-07-10,704
2020-07-11,710
2020-07-12,718
2020-07-13,721
2020-07-14,721
2020-07-15,731
2020-07-16,740
2020-07-17,749
2020-07-18,766
2020-07-19,774
2020-07-20,778
2020-07-21,783
2020-07-22,790
2020-07-23,806
2020-07-24,828
2020-07-25,839
2020-07-26,853
2020-07-27,868
2020-07-28,874
2020-07-29,896
2020-07-30,908
2020-07-31,927
2020-08-01,942
2020-08-02,958
2020-08-03,976
2020-08-04,976
2020-08-05,988
2020-08-06,1001
2020-08-07,1012
2020-08-08,1028
2020-08-09,1046
2020-08-10,1060
2020-08-11,1067
2020-08-12,1070
2020-08-13,1092
2020-08-14,1104
2020-08-15,1125
2020-08-16,1131
2020-08-17,1147
2020-08-18,1154
2020-08-19,1173
2020-08-20,1190
2020-08-21,1212
2020-08-22,1239
2020-08-23,1275
2020-08-24,1277
2020-08-25,1295
2020-08-26,1309
2020-08-27,1326
2020-08-28,1341
2020-08-29,1341
2020-08-30,1390
2020-08-31,1394
2020-09-01,1400
2020-09-02,1400
2020-09-03,1434
2020-09-04,1443
2020-09-05,1443
2020-09-06,1474
2020-09-07,1493
2020-09-08,1493
2020-09-09,1493
2020-09-10,1528
2020-09-11,1537
2020-09-12,1548
2020-09-13,1555
2020-09-14,1572
2020-09-15,1578
2020-09-16,1595
2020-09-17,1608
2020-09-18,1618
2020-09-19,1640
2020-09-20,1659
2020-09-21,1666
2020-09-22,1669
2020-09-23,1683
2020-09-24,1701
2020-09-25,1707
2020-09-26,1722
2020-09-27,1736
2020-09-28,1743
2020-09-29,1749
2020-09-30,1759
2020-10-01,1784
2020-10-02,1809
2020-10-03,1818
2020-10-04,1840
2020-10-05,1854
2020-10-06,1864
2020-10-07,1881
2020-10-08,1898
2020-10-09,1907
2020-10-10,1921
2020-10-11,1935
2020-10-12,1940
2020-10-13,1949
2020-10-14,1972
2020-10-15,1983
2020-10-16,1996
2020-10-17,2027
2020-10-18,2049
2020-10-19,2057
2020-10-20,2071
2020-10-21,2104
2020-10-22,2120
2020-10-23,2139
2020-10-24,2187
2020-10-25,2187
2020-10-26,2194
2020-10-27,2198
2020-10-28,2229
2020-10-29,2238
2020-10-30,2296
2020-10-31,2312
2020-11-01,2331
2020-11-02,2357
2020-11-03,2364
2020-11-04,2381
2020-11-05,2406
2020-11-06,2442
2020-11-07,2483
2020-11-08,2483
2020-11-09,2516
2020-11-10,2523
2020-11-11,2558
2020-11-12,2593
2020-11-13,2605
2020-11-14,2627
2020-11-15,2651
2020-11-16,2675
2020-11-17,2693
2020-11-18,2722
2020-11-19,2752
2020-11-20,2771
2020-11-21,2796
2020-11-22,2829
2020-11-23,2829
2020-11-24,2839
2020-11-25,2872
2020-11-26,2889
2020-11-27,2904
2020-11-28,2926
2020-11-29,2946
2020-11-30,2962
2020-12-01,2974
2020-12-02,2997
2020-12-03,3014
2020-12-04,3039
2020-12-05,3051
2020-12-06,3085
2020-12-07,3095
2020-12-08,3095
2020-12-09,3132
2020-12-10,3151
2020-12-11,3182
2020-12-12,3202
2020-12-13,3221
2020-12-14,3251
2020-12-15,3266
2020-12-16,3295
2020-12-17,3315
2020-12-18,3330
2020-12-19,3350
2020-12-20,3396
2020-12-21,3416
2020-12-22,3436
2020-12-23,3467
2020-12-24,3484
2020-12-25,3510
2020-12-26,3536
2020-12-27,3555
2020-12-28,3564
2020-12-29,3576
2020-12-30,3604
2020-12-31,3611
2021-01-01,3633
2021-01-02,3662
2021-01-03,3683
2021-01-04,3702
2021-01-05,3722
2021-01-06,3770
2021-01-07,3807
2021-01-08,3845
2021-01-09,3888
2021-01-10,3932
2021-01-11,3957
2021-01-12,3978
2021-01-13,4045
2021-01-14,4109
2021-01-15,4165
2021-01-16,4220
2021-01-17,4272
2021-01-18,4302
2021-01-19,4324
2021-01-20,4383
2021-01-21,4459
2021-01-22,4505
2021-01-23,4545
2021-01-24,4636
2021-01-25,4662
2021-01-26,4682
2021-01-27,4765
2021-01-28,4870
2021-01-29,4922
2021-01-30,4975
2021-01-31,5041
2021-02-01,5074
2021-02-02,5092
2021-02-03,5166
2021-02-04,5224
2021-02-05,5290
2021-02-06,5356
2021-02-07,5436
2021-02-08,5483
2021-02-09,5496
2021-02-10,5576
2021-02-11,5606
2021-02-12,5687
2021-02-13,5757
2021-02-14,5823
2021-02-15,5874
2021-02-16,5882
2021-02-17,5953
2021-02-18,6007
2021-02-19,6085
2021-02-20,6182
2021-02-21,6268
2021-02-22,6319
2021-02-23,6348
2021-02-24,6466
2021-02-25,6548
2021-02-26,6637
2021-02-27,6730
2021-02-28,6851
2021-03-01,6901
2021-03-02,6933
2021-03-03,7086
2021-03-04,7188
2021-03-05,7323
2021-03-06,7428
2021-03-07,7521
2021-03-08,7570
2021-03-09,7598
2021-03-10,7680
2021-03-11,7737
2021-03-12,7857
2021-03-13,7953
2021-03-14,8070
2021-03-15,8183
2021-03-16,8222
2021-03-17,8322
2021-03-18,8472
2021-03-19,8582
2021-03-20,8695
2021-03-21,8839
2021-03-22,8918
2021-03-23,8961
2021-03-24,9147
2021-03-25,9340
2021-03-26,9506
2021-03-27,9676
2021-03-28,9827
2021-03-29,9955
2021-03-30,9992
2021-03-31,10249
2021-04-01,10480
2021-04-02,10654
2021-04-03,10848
2021-04-04,11064
2021-04-05,11187
2021-04-06,11249
2021-04-07,11310
2021-04-08,11501
2021-04-09,11649
2021-04-10,11814
2021-04-11,11947
2021-04-12,12006
2021-04-13,12034
2021-04-14,12125
2021-04-15,12214
2021-04-16,12301
2021-04-17,12391
2021-04-18,12496
2021-04-19,12533
2021-04-20,12553
2021-04-21,12610
2021-04-22,12657
2021-04-23,12698
2021-04-24,12742
2021-04-25,12787
2021-04-26,12814
2021-04-27,12827
2021-04-28,12884
2021-04-29,12898
2021-04-30,12931
2021-05-01,12967
2021-05-02,12992
2021-05-03,13010
2021-05-04,13017
2021-05-05,13037
2021-05-06,13068
2021-05-07,13090
2021-05-08,13106
2021-05-09,13141
2021-05-10,13154
2021-05-11,13167
2021-05-12,13167
2021-05-13,13210
2021-05-14,13238
2021-05-15,13244
2021-05-16,13244
2021-05-17,13275
2021-05-18,13279
2021-05-19,13286
2021-05-20,13299
2021-05-21,13340
2021-05-22,13352
2021-05-23,13363
2021-05-24,13374
2021-05-25,13381
2021-05-26,13384
2021-05-27,13396
2021-05-28,13420
2021-05-29,13432
2021-05-30,13447
2021-05-31,13457
2021-06-01,13466
2021-06-02,13481
2021-06-03,13496
2021-06-04,13513
2021-06-05,13522
2021-06-06,13533
2021-06-07,13539
2021-06-08,13542
2021-06-09,13551
2021-06-10,13563
2021-06-11,13576
2021-06-12,13597
2021-06-13,13620
2021-06-14,13627
2021-06-15,13631
2021-06-16,13651
2021-06-17,13669
2021-06-18,13682
2021-06-19,13701
2021-06-20,13715
2021-06-21,13721
2021-06-22,13731
2021-06-23,13735
2021-06-24,13749
2021-06-25,13763
2021-06-26,13788
2021-06-27,13816
2021-06-28,13837
2021-06-29,13846
2021-06-30,13881
2021-07-01,13917
2021-07-02,13962
2021-07-03,13999
2021-07-04,14039
2021-07-05,14069
2021-07-06,14082
2021-07-07,14105
2021-07-08,14140
2021-07-09,14176
2021-07-10,14203
