dates,covid19mobilitytrend_localbusiness
2020-02-15,-3
2020-02-16,-3
2020-02-17,-3
2020-02-18,-3
2020-02-19,-4
2020-02-20,-4
2020-02-21,-4
2020-02-22,-4
2020-02-23,-5
2020-02-24,-4
2020-02-25,-2
2020-02-26,-3
2020-02-27,-4
2020-02-28,-1
2020-02-29,-1
2020-03-01,-1
2020-03-02,1
2020-03-03,0
2020-03-04,-1
2020-03-05,-3
2020-03-06,-5
2020-03-07,-6
2020-03-08,-7
2020-03-09,-4
2020-03-10,-3
2020-03-11,-4
2020-03-12,-6
2020-03-13,-8
2020-03-14,-11
2020-03-15,-15
2020-03-16,-8
2020-03-17,-9
2020-03-18,-12
2020-03-19,-16
2020-03-20,-20
2020-03-21,-24
2020-03-22,-36
2020-03-23,-32
2020-03-24,-34
2020-03-25,-35
2020-03-26,-43
2020-03-27,-46
2020-03-28,-51
2020-03-29,-55
2020-03-30,-44
2020-03-31,-42
2020-04-01,-43
2020-04-02,-45
2020-04-03,-48
2020-04-04,-51
2020-04-05,-54
2020-04-06,-47
2020-04-07,-45
2020-04-08,-46
2020-04-09,-47
2020-04-10,-48
2020-04-11,-51
2020-04-12,-54
2020-04-13,-49
2020-04-14,-46
2020-04-15,-46
2020-04-16,-46
2020-04-17,-49
2020-04-18,-51
2020-04-19,-53
2020-04-20,-43
2020-04-21,-44
2020-04-22,-45
2020-04-23,-46
2020-04-24,-46
2020-04-25,-50
2020-04-26,-50
2020-04-27,-42
2020-04-28,-41
2020-04-29,-42
2020-04-30,-44
2020-05-01,-46
2020-05-02,-48
2020-05-03,-46
2020-05-04,-42
2020-05-05,-38
2020-05-06,-38
2020-05-07,-38
2020-05-08,-40
2020-05-09,-41
2020-05-10,-41
2020-05-11,-40
2020-05-12,-34
2020-05-13,-36
2020-05-14,-36
2020-05-15,-36
2020-05-16,-37
2020-05-17,-32
2020-05-18,-29
2020-05-19,-29
2020-05-20,-28
2020-05-21,-28
2020-05-22,-30
2020-05-23,-32
2020-05-24,-32
2020-05-25,-27
2020-05-26,-28
2020-05-27,-26
2020-05-28,-28
2020-05-29,-27
2020-05-30,-25
2020-05-31,-24
2020-06-01,-21
2020-06-02,-22
2020-06-03,-16
2020-06-04,-24
2020-06-05,-23
2020-06-06,-22
2020-06-07,-20
2020-06-08,-19
2020-06-09,-20
2020-06-10,-18
2020-06-11,-18
2020-06-12,-19
2020-06-13,-18
2020-06-14,-18
2020-06-15,-16
2020-06-16,-18
2020-06-17,-19
2020-06-18,-13
2020-06-19,-15
2020-06-20,-12
2020-06-21,-13
2020-06-22,-12
2020-06-23,-11
2020-06-24,-11
2020-06-25,-10
2020-06-26,-11
2020-06-27,-9
2020-06-28,-9
2020-06-29,-7
2020-06-30,1
2020-07-01,-4
2020-07-02,-5
2020-07-03,-9
2020-07-04,-5
2020-07-05,1
2020-07-06,5
2020-07-07,-2
2020-07-08,-5
2020-07-09,-8
2020-07-10,-9
2020-07-11,-8
2020-07-12,-7
2020-07-13,-9
2020-07-14,-9
2020-07-15,-7
2020-07-16,-10
2020-07-17,-7
2020-07-18,-6
