dates,cumulativecount_medicalconditionincident_covid_19_patientdeceased
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,4
2020-03-25,4
2020-03-26,4
2020-03-27,5
2020-03-28,6
2020-03-29,7
2020-03-30,9
2020-03-31,10
2020-04-01,12
2020-04-02,15
2020-04-03,19
2020-04-04,20
2020-04-05,23
2020-04-06,26
2020-04-07,27
2020-04-08,30
2020-04-09,32
2020-04-10,33
2020-04-11,35
2020-04-12,38
2020-04-13,40
2020-04-14,41
2020-04-15,43
2020-04-16,46
2020-04-17,47
2020-04-18,47
2020-04-19,47
2020-04-20,47
2020-04-21,48
2020-04-22,49
2020-04-23,50
2020-04-24,50
2020-04-25,51
2020-04-26,51
2020-04-27,52
2020-04-28,54
2020-04-29,54
2020-04-30,54
2020-05-01,54
2020-05-02,54
2020-05-03,54
2020-05-04,54
2020-05-05,54
2020-05-06,55
2020-05-07,55
2020-05-08,55
2020-05-09,56
2020-05-10,56
2020-05-11,56
2020-05-12,56
2020-05-13,56
2020-05-14,56
2020-05-15,56
2020-05-16,56
2020-05-17,56
2020-05-18,56
2020-05-19,56
2020-05-20,56
2020-05-21,56
2020-05-22,56
2020-05-23,56
2020-05-24,56
2020-05-25,57
2020-05-26,57
2020-05-27,57
2020-05-28,57
2020-05-29,57
2020-05-30,57
2020-05-31,57
2020-06-01,57
2020-06-02,58
2020-06-03,58
2020-06-04,58
2020-06-05,58
2020-06-06,58
2020-06-07,58
2020-06-08,58
2020-06-09,58
2020-06-10,58
2020-06-11,58
2020-06-12,58
2020-06-13,58
2020-06-14,58
2020-06-15,58
2020-06-16,58
2020-06-17,58
2020-06-18,58
2020-06-19,58
2020-06-20,58
2020-06-21,58
2020-06-22,58
2020-06-23,58
2020-06-24,58
2020-06-25,58
2020-06-26,58
2020-06-27,58
2020-06-28,58
2020-06-29,58
2020-06-30,58
2020-07-01,58
2020-07-02,58
2020-07-03,58
2020-07-04,58
2020-07-05,58
2020-07-06,58
2020-07-07,58
2020-07-08,58
2020-07-09,58
2020-07-10,58
2020-07-11,58
2020-07-12,58
2020-07-13,58
2020-07-14,58
2020-07-15,58
2020-07-16,58
2020-07-17,58
2020-07-18,58
2020-07-19,58
2020-07-20,58
2020-07-21,58
2020-07-22,58
2020-07-23,58
2020-07-24,58
2020-07-25,58
2020-07-26,58
2020-07-27,58
2020-07-28,58
2020-07-29,58
2020-07-30,58
2020-07-31,58
2020-08-01,58
2020-08-02,58
2020-08-03,58
2020-08-04,58
2020-08-05,58
2020-08-06,58
2020-08-07,58
2020-08-08,58
2020-08-09,58
2020-08-10,58
2020-08-11,58
2020-08-12,58
2020-08-13,58
2020-08-14,58
2020-08-15,58
2020-08-16,58
2020-08-17,58
2020-08-18,58
2020-08-19,58
2020-08-20,58
2020-08-21,58
2020-08-22,58
2020-08-23,58
2020-08-24,58
2020-08-25,58
2020-08-26,58
2020-08-27,58
2020-08-28,58
2020-08-29,58
2020-08-30,58
2020-08-31,58
2020-09-01,58
2020-09-02,58
2020-09-03,58
2020-09-04,58
2020-09-05,58
2020-09-06,58
2020-09-07,58
2020-09-08,58
2020-09-09,58
2020-09-10,58
2020-09-11,58
2020-09-12,58
2020-09-13,58
2020-09-14,58
2020-09-15,58
2020-09-16,58
2020-09-17,58
2020-09-18,58
2020-09-19,59
2020-09-20,59
2020-09-21,59
2020-09-22,59
2020-09-23,59
2020-09-24,59
2020-09-25,59
2020-09-26,59
2020-09-27,59
2020-09-28,59
2020-09-29,59
2020-09-30,59
2020-10-01,59
2020-10-02,59
2020-10-03,59
2020-10-04,59
2020-10-05,59
2020-10-06,59
2020-10-07,59
2020-10-08,59
2020-10-09,59
2020-10-10,59
2020-10-11,59
2020-10-12,59
2020-10-13,59
2020-10-14,59
2020-10-15,59
2020-10-16,59
2020-10-17,59
2020-10-18,59
2020-10-19,59
2020-10-20,59
2020-10-21,59
2020-10-22,59
2020-10-23,59
2020-10-24,59
2020-10-25,59
2020-10-26,59
2020-10-27,59
2020-10-28,59
2020-10-29,59
2020-10-30,59
2020-10-31,59
2020-11-01,59
2020-11-02,59
2020-11-03,59
2020-11-04,59
2020-11-05,59
2020-11-06,60
2020-11-07,60
2020-11-08,60
2020-11-09,60
2020-11-10,60
2020-11-11,60
2020-11-12,60
2020-11-13,60
2020-11-14,60
2020-11-15,60
2020-11-16,60
2020-11-17,60
2020-11-18,60
2020-11-19,60
2020-11-20,60
2020-11-21,60
2020-11-22,0
2020-11-23,60
2020-11-24,60
2020-11-25,60
2020-11-26,60
2020-11-27,60
2020-11-28,60
2020-11-29,60
2020-11-30,60
2020-12-01,60
2020-12-02,60
2020-12-03,60
2020-12-04,60
2020-12-05,60
2020-12-06,60
2020-12-07,60
2020-12-08,60
2020-12-09,60
2020-12-10,60
2020-12-11,60
2020-12-12,60
2020-12-13,60
2020-12-14,60
2020-12-15,60
2020-12-16,60
2020-12-17,60
2020-12-18,60
2020-12-19,60
2020-12-20,60
2020-12-21,60
2020-12-22,60
2020-12-23,60
2020-12-24,60
2020-12-25,60
2020-12-26,60
2020-12-27,60
2020-12-28,60
2020-12-29,61
2020-12-30,61
2020-12-31,61
2021-01-01,63
2021-01-02,64
2021-01-03,64
2021-01-04,65
2021-01-05,65
2021-01-06,66
2021-01-07,67
2021-01-08,67
2021-01-09,67
2021-01-10,67
2021-01-11,67
2021-01-12,67
2021-01-13,67
2021-01-14,69
2021-01-15,69
2021-01-16,70
2021-01-17,70
2021-01-18,70
2021-01-19,70
2021-01-20,71
2021-01-21,71
2021-01-22,71
2021-01-23,72
2021-01-24,73
2021-01-25,75
2021-01-26,75
2021-01-27,76
2021-01-28,76
2021-01-29,76
2021-01-30,77
2021-01-31,77
2021-02-01,77
2021-02-02,79
2021-02-03,79
2021-02-04,79
2021-02-05,79
2021-02-06,79
2021-02-07,79
2021-02-08,79
2021-02-09,79
2021-02-10,80
2021-02-11,80
2021-02-12,80
2021-02-13,80
2021-02-14,80
2021-02-15,82
2021-02-16,82
2021-02-17,82
2021-02-18,82
2021-02-19,83
2021-02-20,83
2021-02-21,83
2021-02-22,83
2021-02-23,83
2021-02-24,83
2021-02-25,83
2021-02-26,83
2021-02-27,83
2021-02-28,83
2021-03-01,83
2021-03-02,84
2021-03-03,84
2021-03-04,85
2021-03-05,85
2021-03-06,85
2021-03-07,85
2021-03-08,85
2021-03-09,85
2021-03-10,85
2021-03-11,85
2021-03-12,85
2021-03-13,86
2021-03-14,86
2021-03-15,87
2021-03-16,87
2021-03-17,88
2021-03-18,89
2021-03-19,90
2021-03-20,90
2021-03-21,90
2021-03-22,91
2021-03-23,92
2021-03-24,92
2021-03-25,92
2021-03-26,92
2021-03-27,93
2021-03-28,94
2021-03-29,94
2021-03-30,94
2021-03-31,94
2021-04-01,94
2021-04-02,94
2021-04-03,95
2021-04-04,95
2021-04-05,95
2021-04-06,95
2021-04-07,95
2021-04-08,95
2021-04-09,96
2021-04-10,97
2021-04-11,97
2021-04-12,97
2021-04-13,97
2021-04-14,97
2021-04-15,97
2021-04-16,97
2021-04-17,99
2021-04-18,101
2021-04-19,104
2021-04-20,108
2021-04-21,110
2021-04-22,117
2021-04-23,121
2021-04-24,129
2021-04-25,140
2021-04-26,148
2021-04-27,163
2021-04-28,178
2021-04-29,188
2021-04-30,203
2021-05-01,224
2021-05-02,245
2021-05-03,276
2021-05-04,303
2021-05-05,318
2021-05-06,336
2021-05-07,363
2021-05-08,382
2021-05-09,399
2021-05-10,421
2021-05-11,452
2021-05-12,486
2021-05-13,518
2021-05-14,548
2021-05-15,565
2021-05-16,589
2021-05-17,614
2021-05-18,649
2021-05-19,678
2021-05-20,703
2021-05-21,735
2021-05-22,759
2021-05-23,776
2021-05-24,806
2021-05-25,832
2021-05-26,873
2021-05-27,920
2021-05-28,954
2021-05-29,988
2021-05-30,1012
2021-05-31,1031
2021-06-01,1069
2021-06-02,1107
2021-06-03,1146
2021-06-04,1177
2021-06-05,1213
2021-06-06,1236
2021-06-07,1269
2021-06-08,1297
2021-06-09,1332
2021-06-10,1375
2021-06-11,1402
2021-06-12,1431
2021-06-13,1449
2021-06-14,1466
2021-06-15,1485
2021-06-16,1525
2021-06-17,1555
2021-06-18,1577
2021-06-19,1609
2021-06-20,1629
2021-06-21,1658
2021-06-22,1693
2021-06-23,1744
2021-06-24,1775
2021-06-25,1819
2021-06-26,1870
2021-06-27,1912
2021-06-28,1934
2021-06-29,1970
2021-06-30,2023
2021-07-01,2080
2021-07-02,2141
2021-07-03,2182
2021-07-04,2226
2021-07-05,2276
2021-07-06,2333
2021-07-07,2387
2021-07-08,2462
2021-07-09,2534
2021-07-10,2625
2021-07-11,2711
2021-07-12,2791
2021-07-13,2847
2021-07-14,2934
2021-07-15,3032
2021-07-16,3099
2021-07-17,3240
2021-07-18,3341
2021-07-19,3422
2021-07-20,3502
2021-07-21,3610
2021-07-22,3697
2021-07-23,3811
2021-07-24,3930
2021-07-25,4059
2021-07-26,4146
2021-07-27,4264
2021-07-28,4397
2021-07-29,4562
2021-07-30,4679
2021-07-31,4857
2021-08-01,4990
2021-08-02,5168
2021-08-03,5315
2021-08-04,5503
2021-08-05,5663
2021-08-06,5854
2021-08-07,6066
2021-08-08,6204
