dates,covid19mobilitytrend_park
2020-02-15,23
2020-02-16,16
2020-02-17,11
2020-02-18,40
2020-02-19,28
2020-02-20,37
2020-02-21,34
2020-02-22,70
2020-02-23,49
2020-02-24,153
2020-02-25,122
2020-02-26,15
2020-02-27,10
2020-02-28,9
2020-02-29,10
2020-03-01,15
2020-03-02,4
2020-03-03,3
2020-03-04,1
2020-03-05,2
2020-03-06,5
2020-03-07,4
2020-03-08,14
2020-03-09,-1
2020-03-10,1
2020-03-11,0
2020-03-12,1
2020-03-13,-5
2020-03-14,-15
2020-03-15,-23
2020-03-16,-18
2020-03-17,-20
2020-03-18,-20
2020-03-19,-24
2020-03-20,-27
2020-03-21,-40
2020-03-22,-42
2020-03-23,-29
2020-03-24,-30
2020-03-25,-34
2020-03-26,-32
2020-03-27,-27
2020-03-28,-37
2020-03-29,-40
2020-03-30,-77
2020-03-31,-63
2020-04-01,-60
2020-04-02,-58
2020-04-03,-57
2020-04-04,-64
2020-04-05,-67
2020-04-06,-54
2020-04-07,-58
2020-04-08,-58
2020-04-09,-53
2020-04-10,-68
2020-04-11,-63
2020-04-12,-67
2020-04-13,-64
2020-04-14,-55
2020-04-15,-55
2020-04-16,-54
2020-04-17,-54
2020-04-18,-61
2020-04-19,-66
2020-04-20,-54
2020-04-21,-56
2020-04-22,-57
2020-04-23,-54
2020-04-24,-53
2020-04-25,-57
2020-04-26,-60
2020-04-27,-51
2020-04-28,-49
2020-04-29,-51
2020-04-30,-47
2020-05-01,-48
2020-05-02,-51
2020-05-03,-56
2020-05-04,-46
2020-05-05,-47
2020-05-06,-44
2020-05-07,-43
2020-05-08,-43
2020-05-09,-45
2020-05-10,-44
2020-05-11,-37
2020-05-12,-36
2020-05-13,-33
2020-05-14,-34
2020-05-15,-33
2020-05-16,-40
2020-05-17,-43
2020-05-18,-28
2020-05-19,-31
2020-05-20,-32
2020-05-21,-31
2020-05-22,-28
2020-05-23,-31
2020-05-24,-34
2020-05-25,-23
2020-05-26,-26
2020-05-27,-25
2020-05-28,-25
2020-05-29,-21
2020-05-30,-29
2020-05-31,-40
2020-06-01,-16
2020-06-02,-20
2020-06-03,-19
2020-06-04,-20
2020-06-05,-34
2020-06-06,-28
2020-06-07,-32
2020-06-08,-16
2020-06-09,-21
2020-06-10,-21
2020-06-11,-21
2020-06-12,-14
2020-06-13,-20
2020-06-14,-27
2020-06-15,-16
2020-06-16,-15
2020-06-17,-35
2020-06-18,-19
2020-06-19,-17
2020-06-20,-19
2020-06-21,-28
2020-06-22,-8
2020-06-23,-8
2020-06-24,-11
2020-06-25,-10
2020-06-26,-5
2020-06-27,-21
2020-06-28,2
2020-06-29,-4
2020-06-30,-14
2020-07-01,-12
2020-07-02,-11
2020-07-03,-2
2020-07-04,0
2020-07-05,-6
2020-07-06,-8
2020-07-07,-8
2020-07-08,-5
2020-07-09,-4
2020-07-10,-5
2020-07-11,-3
2020-07-12,12
2020-07-13,0
2020-07-14,-5
2020-07-15,-4
2020-07-16,-2
2020-07-17,-1
2020-07-18,2
2020-07-19,13
2020-07-20,-7
2020-07-21,-5
2020-07-22,-8
2020-07-23,-12
2020-07-24,-6
2020-07-25,-35
2020-07-26,-5
2020-07-27,-12
2020-07-28,-17
2020-07-29,-15
2020-07-30,-7
2020-07-31,0
2020-08-01,3
2020-08-02,0
2020-08-03,-1
2020-08-04,-5
2020-08-05,-9
2020-08-06,-8
2020-08-07,-12
2020-08-08,-22
2020-08-09,-14
2020-08-10,-2
2020-08-11,-12
2020-08-12,-15
2020-08-13,-7
2020-08-14,-10
2020-08-15,-10
2020-08-16,4
2020-08-17,-27
2020-08-18,-31
2020-08-19,-28
2020-08-20,-31
2020-08-21,-31
2020-08-22,-34
2020-08-23,-42
2020-08-24,-23
2020-08-25,-22
2020-08-26,-24
2020-08-27,-25
2020-08-28,-19
2020-08-29,-30
2020-08-30,-37
2020-08-31,-37
2020-09-01,-25
2020-09-02,-28
2020-09-03,-33
2020-09-04,-26
2020-09-05,-35
2020-09-06,-40
2020-09-07,-23
2020-09-08,-27
2020-09-09,-26
2020-09-10,-25
2020-09-11,-23
2020-09-12,-30
2020-09-13,-38
2020-09-14,-22
2020-09-15,-22
2020-09-16,-25
2020-09-17,-26
2020-09-18,-26
2020-09-19,-39
2020-09-20,-37
2020-09-21,-22
2020-09-22,-26
2020-09-23,-24
2020-09-24,-29
2020-09-25,-26
2020-09-26,-32
2020-09-27,-46
2020-09-28,-26
2020-09-29,-24
2020-09-30,-32
2020-10-01,-27
2020-10-02,-26
2020-10-03,-33
2020-10-04,-43
2020-10-05,-28
2020-10-06,-29
2020-10-07,-26
2020-10-08,-25
2020-10-09,-20
2020-10-10,-28
2020-10-11,-33
2020-10-12,-26
2020-10-13,-24
2020-10-14,-27
2020-10-15,-27
2020-10-16,-22
2020-10-17,-27
2020-10-18,-33
2020-10-19,-24
2020-10-20,-24
2020-10-21,-23
2020-10-22,-25
2020-10-23,-24
2020-10-24,-29
2020-10-25,-36
2020-10-26,-18
2020-10-27,-19
2020-10-28,-22
2020-10-29,-21
2020-10-30,-23
2020-10-31,-21
2020-11-01,-25
2020-11-02,-27
2020-11-03,-20
2020-11-04,-18
2020-11-05,-18
2020-11-06,-16
2020-11-07,-18
2020-11-08,-17
2020-11-09,-20
2020-11-10,-18
2020-11-11,-20
2020-11-12,-23
2020-11-13,-17
2020-11-14,-29
2020-11-15,-16
2020-11-16,-20
2020-11-17,-23
2020-11-18,-20
2020-11-19,-22
2020-11-20,-16
2020-11-21,-28
2020-11-22,-33
2020-11-23,-19
2020-11-24,-23
2020-11-25,-23
2020-11-26,-26
2020-11-27,-18
2020-11-28,-20
2020-11-29,-18
2020-11-30,-14
2020-12-01,-16
2020-12-02,-17
2020-12-03,-17
2020-12-04,-19
2020-12-05,-19
2020-12-06,-16
2020-12-07,-18
2020-12-08,-17
2020-12-09,-14
2020-12-10,-13
2020-12-11,-12
2020-12-12,-13
2020-12-13,-16
2020-12-14,-8
2020-12-15,-10
2020-12-16,-11
2020-12-17,-9
2020-12-18,-12
2020-12-19,-15
2020-12-20,-7
2020-12-21,-3
2020-12-22,-1
2020-12-23,1
2020-12-24,-3
2020-12-25,-29
2020-12-26,-26
2020-12-27,-7
2020-12-28,-2
2020-12-29,-8
2020-12-30,-9
2020-12-31,-1
2021-01-01,-22
2021-01-02,-20
2021-01-03,-11
2021-01-04,-11
2021-01-05,-21
2021-01-06,-24
2021-01-07,-24
2021-01-08,-20
2021-01-09,-26
2021-01-10,-18
2021-01-11,-17
2021-01-12,-19
2021-01-13,-24
2021-01-14,-26
2021-01-15,-23
2021-01-16,-23
2021-01-17,-13
2021-01-18,-22
2021-01-19,-27
2021-01-20,-26
2021-01-21,-24
2021-01-22,-21
2021-01-23,-19
2021-01-24,-11
2021-01-25,-14
2021-01-26,-19
2021-01-27,-21
2021-01-28,-20
2021-01-29,-16
2021-01-30,-16
2021-01-31,-8
2021-02-01,-14
2021-02-02,-15
2021-02-03,-25
2021-02-04,-19
2021-02-05,-15
2021-02-06,-14
2021-02-07,-3
2021-02-08,-12
2021-02-09,-14
