dates,covid19mobilitytrend_transporthub
2020-02-15,3
2020-02-16,10
2020-02-17,13
2020-02-18,16
2020-02-19,29
2020-02-20,16
2020-02-21,19
2020-02-22,29
2020-02-23,17
2020-02-24,-8
2020-02-25,9
2020-02-26,20
2020-02-27,15
2020-02-28,16
2020-02-29,14
2020-03-01,15
2020-03-02,15
2020-03-03,9
2020-03-04,9
2020-03-05,5
2020-03-06,5
2020-03-07,-1
2020-03-08,-7
2020-03-09,-2
2020-03-10,1
2020-03-11,-1
2020-03-12,-3
2020-03-13,-10
2020-03-14,-22
2020-03-15,-28
2020-03-16,-23
2020-03-17,-26
2020-03-18,-35
2020-03-19,-41
2020-03-20,-42
2020-03-21,-49
2020-03-22,-49
2020-03-23,-48
2020-03-24,-51
2020-03-25,-53
2020-03-26,-56
2020-03-27,-54
2020-03-28,-58
2020-03-29,-70
2020-03-30,-86
2020-03-31,-72
2020-04-01,-72
2020-04-02,-74
2020-04-03,-75
2020-04-04,-78
2020-04-05,-82
2020-04-06,-72
2020-04-07,-74
2020-04-08,-73
2020-04-09,-73
2020-04-10,-87
2020-04-11,-77
2020-04-12,-83
2020-04-13,-87
2020-04-14,-72
2020-04-15,-73
2020-04-16,-74
2020-04-17,-76
2020-04-18,-80
2020-04-19,-85
2020-04-20,-75
2020-04-21,-76
2020-04-22,-75
2020-04-23,-76
2020-04-24,-77
2020-04-25,-78
2020-04-26,-83
2020-04-27,-73
2020-04-28,-73
2020-04-29,-72
2020-04-30,-73
2020-05-01,-73
2020-05-02,-75
2020-05-03,-82
2020-05-04,-71
2020-05-05,-70
2020-05-06,-70
2020-05-07,-70
2020-05-08,-71
2020-05-09,-67
2020-05-10,-76
2020-05-11,-67
2020-05-12,-67
2020-05-13,-68
2020-05-14,-69
2020-05-15,-68
2020-05-16,-68
2020-05-17,-74
2020-05-18,-66
2020-05-19,-66
2020-05-20,-61
2020-05-21,-65
2020-05-22,-64
2020-05-23,-64
2020-05-24,-72
2020-05-25,-82
2020-05-26,-61
2020-05-27,-61
2020-05-28,-60
2020-05-29,-60
2020-05-30,-65
2020-05-31,-70
2020-06-01,-51
2020-06-02,-52
2020-06-03,-49
2020-06-04,-51
2020-06-05,-55
2020-06-06,-51
2020-06-07,-64
2020-06-08,-46
2020-06-09,-48
2020-06-10,-47
2020-06-11,-77
2020-06-12,-47
2020-06-13,-47
2020-06-14,-62
2020-06-15,-43
2020-06-16,-40
2020-06-17,-46
2020-06-18,-43
2020-06-19,-73
2020-06-20,-41
2020-06-21,-57
2020-06-22,-39
2020-06-23,-35
2020-06-24,-39
2020-06-25,-36
2020-06-26,-35
2020-06-27,-31
2020-06-28,-49
2020-06-29,-34
2020-06-30,-28
2020-07-01,-42
2020-07-02,-38
2020-07-03,-37
2020-07-04,-34
2020-07-05,-51
2020-07-06,-32
2020-07-07,-32
2020-07-08,-35
2020-07-09,-35
2020-07-10,-33
2020-07-11,-36
2020-07-12,-50
2020-07-13,-34
2020-07-14,-32
2020-07-15,-31
2020-07-16,-31
2020-07-17,-29
2020-07-18,-29
2020-07-19,-46
2020-07-20,-26
2020-07-21,-31
2020-07-22,-29
2020-07-23,-31
2020-07-24,-31
2020-07-25,-53
2020-07-26,-43
2020-07-27,-29
2020-07-28,-34
2020-07-29,-29
2020-07-30,-32
2020-07-31,-26
2020-08-01,-37
2020-08-02,-43
2020-08-03,-27
2020-08-04,-30
2020-08-05,-30
2020-08-06,-33
2020-08-07,-33
2020-08-08,-34
2020-08-09,-46
2020-08-10,-38
2020-08-11,-37
2020-08-12,-37
2020-08-13,-37
2020-08-14,-37
2020-08-15,-33
2020-08-16,-44
2020-08-17,-41
2020-08-18,-44
2020-08-19,-44
2020-08-20,-50
2020-08-21,-51
2020-08-22,-50
2020-08-23,-65
2020-08-24,-48
2020-08-25,-48
2020-08-26,-46
2020-08-27,-46
2020-08-28,-42
2020-08-29,-43
2020-08-30,-60
2020-08-31,-77
2020-09-01,-42
2020-09-02,-45
2020-09-03,-49
2020-09-04,-45
2020-09-05,-46
2020-09-06,-61
2020-09-07,-44
2020-09-08,-45
2020-09-09,-43
2020-09-10,-46
2020-09-11,-45
2020-09-12,-44
2020-09-13,-62
2020-09-14,-47
2020-09-15,-44
2020-09-16,-44
2020-09-17,-46
2020-09-18,-45
2020-09-19,-48
2020-09-20,-59
2020-09-21,-45
2020-09-22,-41
2020-09-23,-41
2020-09-24,-74
2020-09-25,-43
2020-09-26,-39
2020-09-27,-58
2020-09-28,-41
2020-09-29,-38
2020-09-30,-39
2020-10-01,-36
2020-10-02,-37
2020-10-03,-37
2020-10-04,-57
2020-10-05,-37
2020-10-06,-37
2020-10-07,-37
2020-10-08,-42
2020-10-09,-41
2020-10-10,-27
2020-10-11,-57
2020-10-12,-41
2020-10-13,-38
2020-10-14,-38
2020-10-15,-40
2020-10-16,-36
2020-10-17,-37
2020-10-18,-56
2020-10-19,-40
2020-10-20,-41
2020-10-21,-40
2020-10-22,-40
2020-10-23,-39
2020-10-24,-40
2020-10-25,-55
2020-10-26,-36
2020-10-27,-36
2020-10-28,-37
2020-10-29,-36
2020-10-30,-35
2020-10-31,-36
2020-11-01,-53
2020-11-02,-37
2020-11-03,-31
2020-11-04,-34
2020-11-05,-33
2020-11-06,-33
2020-11-07,-34
2020-11-08,-48
2020-11-09,-35
2020-11-10,-32
2020-11-11,-34
2020-11-12,-35
2020-11-13,-33
2020-11-14,-51
2020-11-15,-48
2020-11-16,-32
2020-11-17,-32
2020-11-18,-33
2020-11-19,-35
2020-11-20,-31
2020-11-21,-32
2020-11-22,-45
2020-11-23,-32
2020-11-24,-32
2020-11-25,-32
2020-11-26,-31
2020-11-27,-26
2020-11-28,-24
2020-11-29,-41
2020-11-30,-28
2020-12-01,-26
2020-12-02,-29
2020-12-03,-26
2020-12-04,-21
2020-12-05,-24
2020-12-06,-40
2020-12-07,-31
2020-12-08,-27
2020-12-09,-30
2020-12-10,-29
2020-12-11,-25
2020-12-12,-22
2020-12-13,-37
2020-12-14,-26
2020-12-15,-24
2020-12-16,-21
2020-12-17,-22
2020-12-18,-21
2020-12-19,-13
2020-12-20,-27
2020-12-21,-18
2020-12-22,-18
2020-12-23,-16
2020-12-24,-19
2020-12-25,-80
2020-12-26,-48
2020-12-27,-43
2020-12-28,-33
2020-12-29,-34
2020-12-30,-18
2020-12-31,-20
2021-01-01,-75
2021-01-02,-36
2021-01-03,-47
2021-01-04,-30
2021-01-05,-33
2021-01-06,-33
2021-01-07,-33
2021-01-08,-33
2021-01-09,-35
2021-01-10,-49
2021-01-11,-34
2021-01-12,-35
2021-01-13,-36
2021-01-14,-36
2021-01-15,-36
2021-01-16,-39
2021-01-17,-50
2021-01-18,-36
2021-01-19,-38
2021-01-20,-38
2021-01-21,-40
2021-01-22,-37
2021-01-23,-33
2021-01-24,-45
2021-01-25,-35
2021-01-26,-36
2021-01-27,-32
2021-01-28,-31
2021-01-29,-29
2021-01-30,-23
2021-01-31,-42
2021-02-01,-28
2021-02-02,-29
2021-02-03,-32
2021-02-04,-37
2021-02-05,-34
2021-02-06,-34
2021-02-07,-46
2021-02-08,-34
2021-02-09,-32
2021-02-10,-31
2021-02-11,-30
2021-02-12,-30
2021-02-13,-26
2021-02-14,-40
2021-02-15,-33
2021-02-16,-31
2021-02-17,-28
2021-02-18,-31
2021-02-19,-27
2021-02-20,-32
2021-02-21,-41
2021-02-22,-32
2021-02-23,-30
2021-02-24,-33
2021-02-25,-30
2021-02-26,-25
2021-02-27,-24
2021-02-28,-38
2021-03-01,-26
2021-03-02,-28
2021-03-03,-28
2021-03-04,-31
2021-03-05,-30
2021-03-06,-27
2021-03-07,-45
2021-03-08,-30
2021-03-09,-29
2021-03-10,-28
2021-03-11,-31
2021-03-12,-29
2021-03-13,-30
2021-03-14,-43
2021-03-15,-27
2021-03-16,-26
2021-03-17,-26
2021-03-18,-25
2021-03-19,-25
2021-03-20,-25
2021-03-21,-38
2021-03-22,-26
2021-03-23,-26
2021-03-24,-27
2021-03-25,-25
2021-03-26,-22
2021-03-27,-17
2021-03-28,-39
2021-03-29,-15
2021-03-30,-58
2021-03-31,-14
2021-04-01,-13
2021-04-02,-60
2021-04-03,-22
2021-04-04,-39
2021-04-05,-61
2021-04-06,-21
2021-04-07,-22
2021-04-08,-21
2021-04-09,-22
2021-04-10,-23
2021-04-11,-38
2021-04-12,-23
2021-04-13,-28
2021-04-14,-25
2021-04-15,-29
2021-04-16,-28
2021-04-17,-33
2021-04-18,-46
2021-04-19,-30
2021-04-20,-30
2021-04-21,-25
2021-04-22,-31
2021-04-23,-30
2021-04-24,-32
2021-04-25,-45
2021-04-26,-30
2021-04-27,-31
2021-04-28,-29
2021-04-29,-28
2021-04-30,-41
2021-05-01,-42
2021-05-02,-57
2021-05-03,-39
2021-05-04,-51
2021-05-05,-46
2021-05-06,-47
2021-05-07,-50
2021-05-08,-62
2021-05-09,-67
2021-05-10,-57
2021-05-11,-56
2021-05-12,-55
2021-05-13,-79
2021-05-14,-59
2021-05-15,-63
2021-05-16,-72
2021-05-17,-60
2021-05-18,-63
2021-05-19,-61
2021-05-20,-63
2021-05-21,-63
2021-05-22,-66
2021-05-23,-73
2021-05-24,-61
2021-05-25,-61
2021-05-26,-59
2021-05-27,-61
2021-05-28,-58
2021-05-29,-60
2021-05-30,-67
2021-05-31,-92
2021-06-01,-54
2021-06-02,-53
2021-06-03,-92
2021-06-04,-62
2021-06-05,-69
2021-06-06,-73
2021-06-07,-57
2021-06-08,-59
2021-06-09,-57
2021-06-10,-60
2021-06-11,-61
2021-06-12,-62
2021-06-13,-72
2021-06-14,-58
2021-06-15,-58
2021-06-16,-57
2021-06-17,-61
2021-06-18,-62
2021-06-19,-87
2021-06-20,-87
2021-06-21,-59
2021-06-22,-59
2021-06-23,-57
2021-06-24,-59
2021-06-25,-60
2021-06-26,-65
2021-06-27,-73
2021-06-28,-57
2021-06-29,-57
2021-06-30,-52
2021-07-01,-52
2021-07-02,-60
2021-07-03,-57
2021-07-04,-67
2021-07-05,-50
2021-07-06,-50
2021-07-07,-48
