dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,1
2020-03-16,2
2020-03-17,4
2020-03-18,5
2020-03-19,7
2020-03-20,9
2020-03-21,9
2020-03-22,9
2020-03-23,50
2020-03-24,50
2020-03-25,53
2020-03-26,60
2020-03-27,61
2020-03-28,66
2020-03-29,74
2020-03-30,76
2020-03-31,82
2020-04-01,85
2020-04-02,89
2020-04-03,90
2020-04-04,97
2020-04-05,100
2020-04-06,100
2020-04-07,105
2020-04-08,106
2020-04-09,107
2020-04-10,109
2020-04-11,109
2020-04-12,109
2020-04-13,112
2020-04-14,113
2020-04-15,113
2020-04-16,114
2020-04-17,114
2020-04-18,114
2020-04-19,114
2020-04-20,114
2020-04-21,114
2020-04-22,114
2020-04-23,115
2020-04-24,115
2020-04-25,115
2020-04-26,115
2020-04-27,115
2020-04-28,116
2020-04-29,116
2020-04-30,116
2020-05-01,116
2020-05-02,116
2020-05-03,116
2020-05-04,116
2020-05-05,116
2020-05-06,116
2020-05-07,116
2020-05-08,116
2020-05-09,116
2020-05-10,116
2020-05-11,116
2020-05-12,116
2020-05-13,116
2020-05-14,116
2020-05-15,116
2020-05-16,116
2020-05-17,116
2020-05-18,116
2020-05-19,116
2020-05-20,116
2020-05-21,116
2020-05-22,116
2020-05-23,116
2020-05-24,116
2020-05-25,116
2020-05-26,116
2020-05-27,116
2020-05-28,116
2020-05-29,116
2020-05-30,116
2020-05-31,116
2020-06-01,117
2020-06-02,117
2020-06-03,117
2020-06-04,117
2020-06-05,117
2020-06-06,117
2020-06-07,117
2020-06-08,117
2020-06-09,117
2020-06-10,117
2020-06-11,117
2020-06-12,117
2020-06-13,117
2020-06-14,117
2020-06-15,117
2020-06-16,123
2020-06-17,123
2020-06-18,123
2020-06-19,123
2020-06-20,123
2020-06-21,123
2020-06-22,123
2020-06-23,123
2020-06-24,123
2020-06-25,123
2020-06-26,123
2020-06-27,123
2020-06-28,124
2020-06-29,126
2020-06-30,126
2020-07-01,130
2020-07-02,130
2020-07-03,130
2020-07-04,130
2020-07-05,130
2020-07-06,131
2020-07-07,133
2020-07-08,133
2020-07-09,133
2020-07-10,133
2020-07-11,133
2020-07-12,133
2020-07-13,133
2020-07-14,133
2020-07-15,133
2020-07-16,133
2020-07-17,133
2020-07-18,136
2020-07-19,136
2020-07-20,137
2020-07-21,137
2020-07-22,137
2020-07-23,140
2020-07-24,141
2020-07-25,142
2020-07-26,147
2020-07-27,147
2020-07-28,148
2020-07-29,153
2020-07-30,156
2020-07-31,157
2020-08-01,169
2020-08-02,173
2020-08-03,180
2020-08-04,182
2020-08-05,192
2020-08-06,197
2020-08-07,207
2020-08-08,217
2020-08-09,225
2020-08-10,279
2020-08-11,280
2020-08-12,295
2020-08-13,308
2020-08-14,369
2020-08-15,412
2020-08-16,474
2020-08-17,519
2020-08-18,565
2020-08-19,600
2020-08-20,650
2020-08-21,730
2020-08-22,806
2020-08-23,899
2020-08-24,963
2020-08-25,1031
2020-08-26,1184
2020-08-27,1384
2020-08-28,1429
2020-08-29,1512
2020-08-30,1577
2020-08-31,1683
2020-09-01,1727
2020-09-02,1773
2020-09-03,1839
2020-09-04,1941
2020-09-05,2030
2020-09-06,2142
2020-09-07,2234
2020-09-08,2254
2020-09-09,2347
2020-09-10,2493
2020-09-11,2663
2020-09-12,2777
2020-09-13,2892
2020-09-14,3019
2020-09-15,3091
2020-09-16,3183
2020-09-17,3293
2020-09-18,3336
2020-09-19,3512
2020-09-20,3739
2020-09-21,3866
2020-09-22,3930
2020-09-23,3974
2020-09-24,4046
2020-09-25,4222
2020-09-26,4260
2020-09-27,4285
2020-09-28,4321
2020-09-29,4382
2020-09-30,4441
2020-10-01,4517
2020-10-02,4542
2020-10-03,4613
2020-10-04,4709
2020-10-05,4741
2020-10-06,4766
2020-10-07,4818
2020-10-08,4876
2020-10-09,4887
2020-10-10,4963
2020-10-11,5021
2020-10-12,5043
2020-10-13,5101
2020-10-14,5116
2020-10-15,5127
2020-10-16,5154
2020-10-17,5194
2020-10-18,5241
2020-10-19,5281
2020-10-20,5297
2020-10-21,5298
2020-10-22,5333
2020-10-23,5392
2020-10-24,5446
2020-10-25,5487
2020-10-26,5503
2020-10-27,5511
2020-10-28,5535
2020-10-29,5568
2020-10-30,5594
2020-10-31,5636
2020-11-01,5668
2020-11-02,5704
2020-11-03,5704
2020-11-04,5704
2020-11-05,5754
2020-11-06,5764
2020-11-07,5774
2020-11-08,5798
2020-11-09,5838
2020-11-10,5849
2020-11-11,5849
2020-11-12,5880
2020-11-13,5904
2020-11-14,5930
2020-11-15,5980
2020-11-16,6077
2020-11-17,6080
2020-11-18,6096
2020-11-19,6135
2020-11-20,6180
2020-11-21,6233
2020-11-22,6261
2020-11-23,6324
2020-11-24,6450
2020-11-25,6475
2020-11-26,6488
2020-11-27,6503
2020-11-28,6570
2020-11-29,6586
2020-11-30,6630
2020-12-01,6660
2020-12-02,6669
2020-12-03,6685
2020-12-04,6704
2020-12-05,6725
2020-12-06,6735
2020-12-07,6751
2020-12-08,6767
2020-12-09,6775
2020-12-10,6808
2020-12-11,6808
2020-12-12,6833
2020-12-13,6852
2020-12-14,6864
2020-12-15,6879
2020-12-16,6885
2020-12-17,6900
2020-12-18,6917
2020-12-19,6940
2020-12-20,6955
2020-12-21,6974
2020-12-22,7000
2020-12-23,7012
2020-12-24,7024
2020-12-25,7071
2020-12-26,7089
2020-12-27,7097
2020-12-28,7104
2020-12-29,7115
2020-12-30,7127
2020-12-31,7132
2021-01-01,7132
2021-01-02,7150
2021-01-03,7158
2021-01-04,7162
2021-01-05,7168
2021-01-06,7178
2021-01-07,7186
2021-01-08,7196
2021-01-09,7210
2021-01-10,7219
2021-01-11,7244
2021-01-12,7265
2021-01-13,7273
2021-01-14,7286
2021-01-15,7305
2021-01-16,7320
2021-01-17,7343
2021-01-18,7370
2021-01-19,7393
2021-01-20,7399
2021-01-21,7415
2021-01-22,7430
2021-01-23,7450
2021-01-24,7456
2021-01-25,7462
2021-01-26,7473
2021-01-27,7490
2021-01-28,7496
2021-01-29,7509
2021-01-30,7520
2021-01-31,7533
2021-02-01,7542
2021-02-02,7564
2021-02-03,7566
2021-02-04,7578
2021-02-05,7586
2021-02-06,7607
2021-02-07,7607
2021-02-08,7616
2021-02-09,7616
2021-02-10,7616
2021-02-11,7617
2021-02-12,7631
2021-02-13,7632
2021-02-14,7637
2021-02-15,7642
2021-02-16,7642
2021-02-17,7646
2021-02-18,7656
2021-02-19,7663
2021-02-20,7666
2021-02-21,7666
2021-02-22,7676
2021-02-23,7682
2021-02-24,7682
2021-02-25,7686
2021-02-26,7690
2021-02-27,7697
2021-02-28,7704
2021-03-01,7705
2021-03-02,7713
2021-03-03,7716
2021-03-04,7717
2021-03-05,7723
2021-03-06,7727
2021-03-07,7729
2021-03-08,7732
2021-03-09,7736
2021-03-10,7736
2021-03-11,7736
2021-03-12,7743
2021-03-13,7753
2021-03-14,7769
2021-03-15,7769
2021-03-16,7783
2021-03-17,7788
2021-03-18,7790
2021-03-19,7807
2021-03-20,7812
2021-03-21,7821
2021-03-22,7839
2021-03-23,7855
2021-03-24,7861
2021-03-25,7865
2021-03-26,7903
2021-03-27,7924
2021-03-28,7939
2021-03-29,7954
2021-03-30,7977
2021-03-31,7986
2021-04-01,8004
2021-04-02,8026
2021-04-03,8072
2021-04-04,8116
2021-04-05,8136
2021-04-06,8178
2021-04-07,8192
2021-04-08,8214
2021-04-09,8235
2021-04-10,8276
2021-04-11,8323
2021-04-12,8382
2021-04-13,8404
2021-04-14,8441
2021-04-15,8511
2021-04-16,8596
2021-04-17,8678
2021-04-18,8742
2021-04-19,8806
2021-04-20,8940
2021-04-21,8964
2021-04-22,9135
2021-04-23,9216
2021-04-24,9383
2021-04-25,9487
2021-04-26,9592
2021-04-27,9676
2021-04-28,9796
2021-04-29,9947
2021-04-30,10170
2021-05-01,10498
2021-05-02,10824
2021-05-03,11072
2021-05-04,11313
2021-05-05,11471
2021-05-06,11706
2021-05-07,12105
2021-05-08,12396
2021-05-09,12720
2021-05-10,13122
2021-05-11,13355
2021-05-12,13454
2021-05-13,13802
2021-05-14,14417
2021-05-15,14814
2021-05-16,15379
2021-05-17,15899
2021-05-18,16255
2021-05-19,16549
2021-05-20,17150
2021-05-21,17669
2021-05-22,18227
2021-05-23,18935
2021-05-24,19444
2021-05-25,20017
2021-05-26,20267
2021-05-27,20879
2021-05-28,21461
2021-05-29,21987
2021-05-30,22620
2021-05-31,23001
2021-06-01,23638
2021-06-02,23909
2021-06-03,24314
2021-06-04,24726
2021-06-05,25272
2021-06-06,25801
2021-06-07,26192
2021-06-08,26410
2021-06-09,26799
2021-06-10,27079
2021-06-11,27533
2021-06-12,27806
2021-06-13,28106
2021-06-14,28422
2021-06-15,28723
2021-06-16,28982
2021-06-17,29309
2021-06-18,29606
2021-06-19,29956
2021-06-20,30183
2021-06-21,30513
2021-06-22,30619
2021-06-23,30767
2021-06-24,30982
2021-06-25,31207
2021-06-26,31429
2021-06-27,31775
2021-06-28,32069
2021-06-29,32198
2021-06-30,32343
2021-07-01,32528
2021-07-02,32793
2021-07-03,33029
2021-07-04,33153
2021-07-05,33313
2021-07-06,33428
2021-07-07,33555
2021-07-08,33805
2021-07-09,33920
2021-07-10,34241
2021-07-11,34402
