dates,cumulativecount_medicaltest_conditioncovid_19
2020-12-21,70152
2020-12-23,70202
2020-12-25,70532
2020-12-27,70708
2020-12-28,71826
2020-12-29,72142
2020-12-30,72247
2021-01-01,72322
2021-01-02,72596
2021-01-03,72623
2021-01-04,72735
2021-01-05,74359
2021-01-06,74625
2021-01-08,74705
2021-01-10,74788
2021-01-12,76662
2021-01-14,76834
2021-01-15,77219
2021-01-17,77299
2021-01-19,77555
2021-01-21,79693
2021-01-22,80170
2021-01-23,80418
2021-01-24,80686
2021-01-25,80860
2021-01-26,82180
2021-01-27,82450
2021-01-28,82866
2021-01-29,83058
2021-01-30,83396
2021-01-31,83661
2021-02-02,85462
2021-02-04,85910
2021-02-05,86119
2021-02-06,86536
2021-02-07,86726
2021-02-09,88536
2021-02-10,88736
2021-02-11,89062
2021-02-12,89241
2021-02-13,89385
2021-02-14,89400
2021-02-15,92251
2021-02-16,92508
2021-02-17,92774
2021-02-19,93153
2021-02-21,93391
2021-02-23,93810
2021-02-24,95557
2021-02-25,95705
2021-02-26,95859
2021-02-27,95939
2021-02-28,96180
2021-03-02,97750
2021-03-03,98096
2021-03-05,98370
2021-03-06,98717
2021-03-07,98965
2021-03-09,99115
2021-03-10,100809
2021-03-11,101317
2021-03-13,101519
2021-03-14,101952
2021-03-16,103342
2021-03-17,103786
2021-03-18,103999
2021-03-19,104278
2021-03-21,104790
2021-03-22,106667
2021-03-23,106802
2021-03-24,107309
2021-03-25,107576
2021-03-26,107849
2021-03-28,108358
2021-03-29,108535
2021-03-30,108693
2021-03-31,110325
2021-04-01,110530
2021-04-02,110842
2021-04-03,111041
2021-04-04,111436
2021-04-05,111618
2021-04-06,114420
2021-04-07,114666
2021-04-08,114950
2021-04-09,115228
2021-04-10,115591
2021-04-11,115779
2021-04-12,117847
2021-04-13,118247
2021-04-14,118602
2021-04-15,119034
2021-04-16,119443
2021-04-17,119953
2021-04-18,120513
2021-04-19,122300
2021-04-20,122901
2021-04-21,123309
2021-04-22,123913
2021-04-23,124301
2021-04-24,124699
2021-04-25,125168
2021-04-26,128463
2021-04-27,128988
2021-04-28,129781
2021-04-29,130598
2021-04-30,131207
2021-05-01,131926
2021-05-02,132776
2021-05-03,136357
2021-05-04,137081
2021-05-05,138090
2021-05-06,138704
2021-05-07,139640
2021-05-08,140718
2021-05-10,141550
2021-05-11,147470
2021-05-12,148770
2021-05-13,149880
2021-05-14,151103
2021-05-15,152265
2021-05-16,153053
2021-05-17,153997
2021-05-18,159982
2021-05-19,160927
2021-05-20,162262
2021-05-21,163616
2021-05-22,164648
2021-05-23,165776
2021-05-24,166282
2021-05-25,173912
2021-05-26,175352
2021-05-27,176676
2021-05-28,178294
2021-05-29,179343
2021-05-30,181098
2021-05-31,181698
2021-06-01,182618
2021-06-02,193798
2021-06-03,195453
2021-06-04,196854
2021-06-05,197650
2021-06-06,198200
2021-06-07,202164
2021-06-08,203202
2021-06-09,204490
2021-06-10,205495
2021-06-11,206150
2021-06-12,207400
2021-06-13,208400
2021-06-14,211955
2021-06-15,212899
2021-06-16,213924
2021-06-17,215149
2021-06-18,215999
2021-06-19,217021
2021-06-20,217371
2021-06-21,217868
2021-06-22,218568
2021-06-23,223080
2021-06-24,223795
2021-06-25,224850
2021-06-26,225790
2021-06-27,226180
2021-06-28,229995
2021-06-29,230765
2021-06-30,231508
2021-07-01,232452
2021-07-02,233175
2021-07-03,234005
2021-07-04,234443
2021-07-05,234888
2021-07-06,238502
2021-07-07,238972
2021-07-08,239944
2021-07-09,240499
2021-07-10,241044
2021-07-11,241608
2021-07-12,245703
2021-07-13,246488
2021-07-14,247048
2021-07-15,247923
2021-07-16,248775
2021-07-17,249610
2021-07-18,250060
2021-07-19,250789
2021-07-20,255325
2021-07-21,256269
2021-07-22,257351
2021-07-23,258401
2021-07-24,259441
2021-07-26,259475
2021-07-27,260920
2021-07-28,266177
2021-07-29,267129
2021-07-30,268163
2021-07-31,269008
2021-08-01,269468
2021-08-02,269723
2021-08-03,274460
2021-08-04,275282
2021-08-05,276152
2021-08-06,277082
2021-08-07,278047
2021-08-08,278397
2021-08-09,278917
2021-08-10,283910
2021-08-11,285006
2021-08-12,285856
2021-08-13,286821
2021-08-14,287441
2021-08-15,288131
2021-08-16,292728
2021-08-17,293666
2021-08-18,294321
2021-08-19,294951
2021-08-20,295872
2021-08-21,296516
2021-08-22,296840
2021-08-23,297206
2021-08-24,303118
2021-08-25,304010
2021-08-26,304866
2021-08-27,305681
2021-08-28,306536
2021-08-29,307291
2021-08-30,307667
2021-08-31,308402
2021-09-01,312652
2021-09-02,313137
2021-09-03,314075
2021-09-04,314800
2021-09-05,315728
2021-09-06,316078
2021-09-07,321287
2021-09-08,322102
2021-09-09,323157
2021-09-10,323983
2021-09-11,324823
2021-09-12,325500
2021-09-13,325830
2021-09-14,326332
2021-09-15,331651
2021-09-16,332771
2021-09-17,333526
2021-09-18,334507
2021-09-19,335162
2021-09-20,339821
2021-09-21,340704
2021-09-22,341430
2021-09-23,342465
2021-09-24,343389
2021-09-25,343953
2021-09-26,344713
2021-09-27,345048
2021-09-28,350499
2021-09-29,351657
2021-09-30,352709
2021-10-01,353373
2021-10-02,354246
2021-10-03,354908
2021-10-04,355583
2021-10-05,356478
2021-10-06,357432
2021-10-07,358485
2021-10-08,359405
2021-10-09,360283
2021-10-10,361239
2021-10-11,369782
2021-10-12,370420
2021-10-13,371088
2021-10-14,371778
2021-10-15,373044
2021-10-16,373742
2021-10-17,374677
2021-10-18,375227
2021-10-19,375969
2021-10-20,376933
2021-10-21,378161
2021-10-22,379251
2021-10-23,380282
2021-10-24,380917
2021-10-25,381372
2021-10-26,382242
2021-10-27,391043
2021-10-28,392187
2021-10-29,393175
2021-10-30,394203
2021-10-31,395133
2021-11-01,395533
2021-11-02,401791
2021-11-03,403167
2021-11-04,404003
2021-11-05,404365
2021-11-06,405503
2021-11-07,406263
2021-11-08,407158
2021-11-09,407786
2021-11-10,409241
2021-11-11,410396
2021-11-12,411606
2021-11-13,412626
2021-11-14,413488
2021-11-15,423692
2021-11-16,424627
2021-11-17,425989
2021-11-18,427114
2021-11-19,428214
2021-11-20,429114
2021-11-21,430102
2021-11-22,430812
2021-11-23,438193
2021-11-24,439397
2021-11-25,440469
2021-11-26,441571
2021-11-27,442819
2021-11-28,443512
2021-11-29,444476
2021-11-30,445676
2021-12-01,446771
2021-12-02,448053
2021-12-03,455530
2021-12-04,455699
2021-12-05,457734
2021-12-06,458869
2021-12-07,459629
2021-12-08,467729
2021-12-09,468895
2021-12-10,470218
2021-12-11,471520
2021-12-12,472414
2021-12-13,473172
2021-12-14,481119
2021-12-15,482101
2021-12-16,482951
2021-12-17,484050
2021-12-18,485659
2021-12-19,486415
2021-12-20,487240
2021-12-21,488278
2021-12-22,488616
2021-12-23,498173
2021-12-24,499573
2021-12-25,500624
2021-12-26,501389
2021-12-27,501656
2021-12-28,502121
2021-12-29,502726
2021-12-30,503400
2021-12-31,511257
2022-01-01,511818
2022-01-02,512168
2022-01-03,512730
2022-01-04,513554
2022-01-05,520520
2022-01-06,522100
2022-01-07,523225
2022-01-08,523967
2022-01-09,524833
2022-01-10,525388
2022-01-11,526349
2022-01-12,528124
2022-01-13,538944
2022-01-14,540494
2022-01-15,541809
2022-01-16,542619
2022-01-17,543199
2022-01-18,551529
2022-01-19,552789
2022-01-20,554430
2022-01-21,555780
2022-01-22,556920
2022-01-23,558052
2022-01-24,558707
2022-01-25,559489
2022-01-26,560542
2022-01-27,561692
2022-01-28,563168
2022-01-29,564406
2022-01-30,565381
2022-01-31,565843
2022-02-01,581764
2022-02-02,582512
2022-02-03,583727
2022-02-04,584990
2022-02-05,585393
2022-02-06,587130
2022-02-07,588255
2022-02-08,589111
2022-02-09,590637
2022-02-10,591666
2022-02-11,593011
2022-02-12,594128
2022-02-13,594948
2022-02-14,596000
2022-02-15,610097
2022-02-17,610993
2022-02-18,612903
2022-02-19,614026
2022-02-20,614987
2022-02-21,615755
2022-02-22,616543
2022-02-23,623163
2022-02-24,624488
