dates,covid19mobilitytrend_localbusiness
2020-02-15,2
2020-02-16,7
2020-02-17,6
2020-02-18,4
2020-02-19,0
2020-02-20,-1
2020-02-21,-4
2020-02-22,0
2020-02-23,7
2020-02-24,3
2020-02-25,3
2020-02-26,1
2020-02-27,-2
2020-02-28,-3
2020-02-29,-6
2020-03-01,9
2020-03-02,6
2020-03-03,7
2020-03-04,2
2020-03-05,3
2020-03-06,6
2020-03-07,13
2020-03-08,18
2020-03-09,8
2020-03-10,2
2020-03-11,3
2020-03-12,6
2020-03-13,-2
2020-03-14,-7
2020-03-15,-15
2020-03-16,-12
2020-03-17,-26
2020-03-18,-37
2020-03-19,-41
2020-03-20,-45
2020-03-21,-52
2020-03-22,-64
2020-03-23,-51
2020-03-24,-57
2020-03-25,-58
2020-03-26,-57
2020-03-27,-59
2020-03-28,-66
2020-03-29,-75
2020-03-30,-57
2020-03-31,-61
2020-04-01,-61
2020-04-02,-62
2020-04-03,-62
2020-04-04,-70
2020-04-05,-76
2020-04-06,-61
2020-04-07,-64
2020-04-08,-65
2020-04-09,-64
2020-04-10,-61
2020-04-11,-92
2020-04-12,-93
2020-04-13,-52
2020-04-14,-58
2020-04-15,-62
2020-04-16,-56
2020-04-17,-53
2020-04-18,-92
2020-04-19,-92
2020-04-20,-52
2020-04-21,-51
2020-04-22,-49
2020-04-23,-87
2020-04-24,-87
2020-04-25,-91
2020-04-26,-91
2020-04-27,-47
2020-04-28,-54
2020-04-29,-56
2020-04-30,-49
2020-05-01,-87
2020-05-02,-91
2020-05-03,-91
2020-05-04,-49
2020-05-05,-52
2020-05-06,-53
2020-05-07,-52
2020-05-08,-49
2020-05-09,-85
2020-05-10,-83
2020-05-11,-41
2020-05-12,-46
2020-05-13,-45
2020-05-14,-46
2020-05-15,-39
2020-05-16,-79
2020-05-17,-80
2020-05-18,-69
2020-05-19,-72
2020-05-20,-34
2020-05-21,-36
2020-05-22,-31
2020-05-23,-86
2020-05-24,-92
2020-05-25,-92
2020-05-26,-91
2020-05-27,-37
2020-05-28,-39
2020-05-29,-36
2020-05-30,-74
2020-05-31,-77
2020-06-01,-25
2020-06-02,-29
2020-06-03,-25
2020-06-04,-27
2020-06-05,-22
2020-06-06,-36
2020-06-07,-38
2020-06-08,-23
2020-06-09,-26
2020-06-10,-22
2020-06-11,-20
2020-06-12,-23
2020-06-13,-28
2020-06-14,-30
2020-06-15,-17
