dates,incrementalcount_medicaltest_conditioncovid_19
2020-03-27,7533
2020-03-28,7641
2020-03-29,9982
2020-03-30,11535
2020-03-31,15422
2020-04-01,14396
2020-04-02,18757
2020-04-03,16160
2020-04-04,19664
2020-04-05,20065
2020-04-06,21400
2020-04-07,20023
2020-04-08,24900
2020-04-09,28578
2020-04-10,30864
2020-04-11,33170
2020-04-12,35720
2020-04-13,34456
2020-04-14,33070
2020-04-15,34090
2020-04-16,40427
2020-04-17,40270
2020-04-18,40520
2020-04-19,35344
2020-04-20,39703
2020-04-21,39429
2020-04-22,37535
2020-04-23,40962
2020-04-24,38351
2020-04-25,38308
2020-04-26,30177
2020-04-27,20143
2020-04-28,29230
2020-04-29,43498
2020-04-30,42004
2020-05-01,41431
2020-05-02,36318
2020-05-03,24001
2020-05-04,35771
2020-05-05,33283
2020-05-06,30303
2020-05-07,30395
2020-05-08,33687
2020-05-09,35605
2020-05-10,36187
2020-05-11,32722
2020-05-12,37351
2020-05-13,33332
2020-05-14,34821
2020-05-15,38565
2020-05-16,42236
2020-05-17,35369
2020-05-18,25141
2020-05-19,25382
2020-05-20,20838
2020-05-21,33633
2020-05-22,37507
2020-05-23,40178
2020-05-24,24589
2020-05-25,21492
2020-05-26,19853
2020-05-27,21043
2020-05-28,33559
2020-05-29,36155
2020-05-30,39230
2020-05-31,35600
2020-06-01,31525
2020-06-02,32325
2020-06-03,52305
2020-06-04,54234
2020-06-05,57829
2020-06-06,35846
2020-06-07,35335
2020-06-08,39361
2020-06-09,37225
2020-06-10,36521
2020-06-11,49190
2020-06-12,41013
2020-06-13,45092
2020-06-14,45176
2020-06-15,42032
2020-06-16,46800
2020-06-17,52901
2020-06-18,48412
2020-06-19,41316
2020-06-20,41112
2020-06-21,40496
2020-06-22,41413
2020-06-23,42982
2020-06-24,53486
2020-06-25,52303
2020-06-26,51198
2020-06-27,45213
2020-06-28,48309
2020-06-29,51014
2020-06-30,50492
2020-07-01,52313
2020-07-02,49714
2020-07-03,52141
2020-07-04,48248
2020-07-05,46414
2020-07-06,52193
2020-07-07,50545
2020-07-08,49302
2020-07-09,50103
2020-07-10,48787
2020-07-11,48813
2020-07-12,45232
2020-07-13,46492
2020-07-14,43231
2020-07-15,42320
2020-07-16,42411
2020-07-17,41215
2020-07-18,40943
2020-07-19,41310
2020-07-20,43404
2020-07-21,42846
2020-07-22,43404
2020-07-23,43343
2020-07-24,42986
2020-07-25,43312
2020-07-26,40016
2020-07-27,45283
2020-07-28,47412
2020-07-29,45712
2020-07-30,43236
2020-07-31,46492
2020-08-01,44846
2020-08-02,40247
2020-08-03,41301
2020-08-04,46249
2020-08-05,53842
2020-08-06,54494
2020-08-07,56726
2020-08-08,63842
2020-08-09,61446
2020-08-10,62219
2020-08-11,61716
2020-08-12,67237
2020-08-13,66892
2020-08-14,70192
2020-08-15,67214
2020-08-16,65956
2020-08-17,74846
2020-08-18,82318
2020-08-19,87223
2020-08-20,92301
2020-08-21,92227
2020-08-22,93007
2020-08-23,80302
2020-08-24,95943
2020-08-25,98231
2020-08-26,100109
2020-08-27,106111
2020-08-28,107814
2020-08-29,101414
2020-08-30,91302
2020-08-31,110102
2020-09-01,109443
2020-09-02,107927
2020-09-03,110225
2020-09-04,117113
2020-09-05,99497
2020-09-06,96842
2020-09-07,103925
2020-09-08,110565
2020-09-09,111193
2020-09-10,107702
2020-09-11,112213
2020-09-12,98326
2020-09-13,96097
2020-09-14,112563
2020-09-15,110412
2020-09-16,112645
2020-09-17,109985
2020-09-18,111113
2020-09-19,97416
2020-09-20,95321
2020-09-21,112942
2020-09-22,114311
2020-09-23,112102
2020-09-24,113317
2020-09-25,112885
2020-09-26,102009
2020-09-27,101119
2020-09-28,115523
2020-09-29,114940
2020-09-30,112098
2020-10-01,113546
2020-10-02,114857
2020-10-03,103219
2020-10-04,104402
2020-10-05,115632
2020-10-06,112421
2020-10-07,116608
2020-10-08,117101
2020-10-09,115295
2020-10-10,113102
2020-10-11,109301
2020-10-12,115605
2020-10-13,114992
2020-10-14,115328
2020-10-15,116103
2020-10-16,117005
2020-10-17,112131
2020-10-18,101403
2020-10-19,116249
2020-10-20,116565
2020-10-21,117943
2020-10-22,117198
