dates,incrementalcount_vaccine_covid_19_administered
2021-03-22,1578
2021-03-23,1640
2021-03-24,1951
2021-03-25,1884
2021-03-26,2179
2021-03-27,145
2021-03-28,35
2021-03-29,1479
2021-03-30,1757
2021-03-31,1752
2021-04-01,2050
2021-04-02,606
2021-04-03,22
2021-04-06,1412
2021-04-07,1418
2021-04-08,1798
2021-04-09,2577
2021-04-10,208
2021-04-11,43
2021-04-12,1181
2021-04-13,1231
2021-04-14,1384
2021-04-15,1542
2021-04-16,2350
2021-04-17,61
2021-04-21,2534
2021-04-22,2490
2021-04-23,3302
2021-04-24,149
2021-04-27,2793
2021-04-28,2653
2021-04-29,3356
2021-04-30,3695
2021-05-03,4185
2021-05-04,5494
2021-05-05,6057
2021-05-06,6873
2021-05-07,10141
2021-05-12,17126
2021-05-13,22328
2021-05-14,34152
2021-05-17,25674
2021-05-18,24656
2021-05-19,19581
2021-05-20,17058
2021-05-21,18197
2021-05-24,8980
2021-05-25,7987
2021-06-03,62103
2021-06-04,54286
2021-06-07,25632
2021-06-08,18759
2021-06-09,16168
2021-06-10,22554
2021-06-11,16829
2021-06-15,154035
2021-06-16,168944
2021-06-17,143735
2021-06-18,107675
2021-06-21,74652
2021-06-22,65552
2021-06-23,64194
2021-06-24,89095
2021-06-25,70249
2021-06-28,37619
2021-06-29,38085
2021-06-30,40541
2021-07-01,44369
2021-07-02,190751
2021-07-05,109929
2021-07-06,111751
2021-07-07,159457
2021-07-08,221084
2021-07-09,235919
2021-07-12,255699
2021-07-13,262522
2021-07-14,253211
2021-07-15,266367
2021-07-16,313013
2021-07-19,225881
2021-07-20,254565
2021-07-21,219947
2021-07-22,165096
2021-07-23,287469
2021-07-26,339001
2021-07-27,305156
2021-07-28,270406
2021-07-29,238280
2021-07-30,261899
2021-08-02,134872
2021-08-03,96052
2021-08-04,106250
2021-08-05,267661
2021-08-06,279453
2021-08-09,47966
2021-08-10,37495
2021-08-11,167478
2021-08-12,169549
2021-08-13,146456
2021-08-16,62458
2021-08-17,63739
2021-08-18,34963
2021-08-19,28569
2021-08-20,43075
2021-08-23,179215
2021-08-24,157745
2021-08-25,92437
2021-08-26,88858
2021-08-27,193317
2021-08-30,42555
2021-08-31,30246
2021-09-01,23505
2021-09-02,21769
2021-09-03,239360
2021-09-06,75391
2021-09-07,92247
2021-09-08,112077
2021-09-09,300995
2021-09-10,339877
2021-09-13,24904
2021-09-14,16566
2021-09-15,203766
2021-09-16,229670
2021-09-17,233745
2021-09-22,184410
2021-09-23,266699
2021-09-24,285995
2021-09-27,333254
2021-09-28,327951
2021-09-29,350140
2021-09-30,439468
2021-10-01,396309
2021-10-04,261631
2021-10-05,200727
2021-10-06,197128
2021-10-07,323146
2021-10-08,345874
2021-10-12,256500
2021-10-13,269374
2021-10-14,259292
2021-10-15,408997
2021-10-18,379276
2021-10-19,336462
2021-10-20,379574
2021-10-21,343792
2021-10-22,452233
2021-10-25,500423
2021-10-26,433935
2021-10-27,419521
2021-10-28,411584
2021-10-29,432340
2021-11-01,311863
2021-11-02,304256
2021-11-03,291795
2021-11-04,73176
2021-11-05,229010
2021-11-08,260645
2021-11-09,226244
2021-11-10,235616
2021-11-11,205839
2021-11-12,269334
2021-11-15,238142
2021-11-16,233925
2021-11-17,242338
2021-11-18,275443
2021-11-19,307630
2021-11-23,233879
2021-11-24,183333
2021-11-25,321800
2021-11-26,394186
2021-11-29,290764
2021-11-30,290835
2021-12-01,263323
2021-12-02,188577
2021-12-03,274334
2021-12-06,208505
2021-12-07,205157
2021-12-08,186424
2021-12-09,128449
2021-12-10,174622
2021-12-13,110627
2021-12-14,74038
2021-12-15,70765
2021-12-16,61759
2021-12-17,96717
2021-12-20,60643
2021-12-21,60992
2021-12-22,62145
2021-12-23,51128
2021-12-24,115656
2021-12-27,59413
2021-12-28,81672
2021-12-31,47713
2022-01-03,46362
2022-01-04,56879
2022-01-05,62131
2022-01-06,91636
2022-01-07,159818
2022-01-17,448800
2022-01-18,441626
2022-01-19,466453
2022-01-20,470746
2022-01-21,498882
2022-01-24,388371
2022-01-25,358248
2022-01-26,357751
2022-01-27,346077
2022-01-28,324787
2022-02-07,190399
2022-02-08,216536
2022-02-09,261833
2022-02-10,328562
2022-02-11,373724
2022-02-14,291196
2022-02-15,294984
2022-02-16,335241
2022-02-17,316552
2022-02-18,331715
2022-02-21,194544
2022-02-22,176862
2022-02-23,163062
2022-02-24,189372
2022-02-25,315593
2022-03-01,179640
2022-03-02,145494
2022-03-03,136890
2022-03-04,184266
2022-03-07,119815
2022-03-08,98560
2022-03-09,89539
2022-03-10,93320
2022-03-11,120256
2022-03-14,84376
2022-03-15,71570
2022-03-16,59993
2022-03-17,80228
2022-03-18,93095
2022-03-21,80722
2022-03-22,61884
2022-03-23,54913
2022-03-24,34715
2022-03-25,52735
2022-03-30,61177
2022-03-31,65120
2022-04-01,100024
2022-04-06,85271
2022-04-07,91624
2022-04-08,131164
2022-04-11,103698
2022-04-12,93859
2022-04-13,99660
2022-04-14,109461
2022-04-18,144525
2022-04-19,115642
2022-04-20,124290
2022-04-21,141917
2022-04-22,167573
2022-04-25,123259
2022-04-26,96746
2022-04-27,102459
2022-04-28,102305
2022-04-29,121002
2022-05-02,73844
2022-05-03,78911
2022-05-04,128365
2022-05-05,100221
2022-05-06,126783
2022-05-09,78060
2022-05-10,74509
2022-05-11,80039
2022-05-12,79806
2022-05-13,126793
2022-05-16,75661
2022-05-17,78452
2022-05-18,78230
2022-05-19,81127
2022-05-20,109614
2022-05-23,67792
2022-05-24,61559
2022-05-25,92757
2022-05-26,125136
2022-05-27,149217
2022-05-30,116728
2022-05-31,138024
2022-06-01,160559
2022-06-02,220905
2022-06-03,70556
2022-06-06,116694
2022-06-07,104057
2022-06-08,110749
2022-06-09,113528
2022-06-10,164556
2022-06-13,73425
2022-06-14,70779
2022-06-15,84152
2022-06-16,94826
2022-06-17,152136
2022-06-20,104329
2022-06-21,97673
2022-06-22,157964
2022-06-23,147491
2022-06-24,125286
2022-06-27,98221
2022-06-28,92312
2022-06-29,112328
2022-06-30,113570
2022-07-01,104508
2022-07-04,76417
2022-07-05,87968
2022-07-06,83586
2022-07-07,77108
2022-07-11,46330
2022-07-12,44697
2022-07-13,41636
2022-07-14,39897
2022-07-15,55744
2022-07-18,35707
2022-07-19,35290
2022-07-20,33702
2022-07-21,44958
2022-07-22,111149
2022-07-25,73390
2022-07-26,76416
2022-07-27,71404
2022-07-28,79427
2022-07-29,83436
2022-08-01,39350
2022-08-02,37710
2022-08-03,34767
2022-08-04,33983
2022-08-05,47580
2022-08-08,26875
2022-08-09,29033
2022-08-10,30912
2022-08-11,35817
2022-08-12,43876
2022-08-15,32401
2022-08-16,36351
2022-08-17,37375
2022-08-18,37833
2022-08-19,54064
2022-08-22,36158
2022-08-23,40747
2022-08-24,42164
2022-08-25,41873
2022-08-26,55985
2022-08-29,40337
2022-08-30,44359
2022-08-31,43513
2022-09-01,39573
2022-09-02,52449
2022-09-05,38763
2022-09-06,42306
2022-09-07,44357
2022-09-08,63668
2022-09-09,34368
2022-09-12,29773
2022-09-13,31902
2022-09-14,34393
2022-09-15,29422
2022-09-19,26238
2022-09-20,35351
2022-09-21,29383
2022-09-22,32433
2022-09-23,49706
2022-09-26,38823
2022-09-27,46435
2022-09-28,38657
2022-09-29,36579
2022-09-30,49690
2022-10-03,43553
2022-10-04,51852
2022-10-05,45741
2022-10-06,46270
2022-10-07,53628
2022-10-11,76606
2022-10-14,76950
2022-10-17,52711
2022-10-18,65579
2022-10-19,60978
2022-10-20,60323
2022-10-21,69558
2022-10-24,49853
2022-10-25,46505
2022-10-26,46503
2022-10-27,44170
2022-10-28,55300
2022-11-01,30502
2022-11-02,29503
2022-11-03,31749
2022-11-04,40962
2022-11-07,22504
2022-11-08,24780
2022-11-09,22568
2022-11-10,23871
2022-11-11,30859
2022-11-14,18615
2022-11-15,17978
2022-11-16,16970
2022-11-17,17024
2022-11-23,26874
2022-11-24,26159
2022-11-25,35028
2022-11-28,16760
2022-11-29,21974
2022-11-30,19614
2022-12-01,22558
2022-12-02,38389
2022-12-03,20891
2022-12-04,6378
2022-12-05,21170
2022-12-06,14687
2022-12-07,28290
2022-12-08,27072
2022-12-12,22404
2022-12-13,25387
2022-12-14,32011
2022-12-15,36897
2022-12-20,42508
2022-12-21,41315
2022-12-22,43412
2022-12-26,35575
2022-12-27,43346
2022-12-28,49131
2022-12-29,48723
2023-02-01,21669
2023-02-02,21594
2023-02-03,26606
2023-02-06,23521
2023-02-07,23926
2023-02-08,22252
2023-02-09,21749
2023-02-13,20591
2023-02-14,19674
2023-02-15,18720
2023-02-16,18767
2023-02-17,26830
2023-02-20,23469
2023-02-21,19724
2023-02-22,21548
2023-02-23,22412
2023-03-01,26479
2023-03-02,27194
2023-03-06,20414
2023-03-07,27304
2023-03-08,30730
2023-03-09,28544
2023-03-13,18955
2023-03-14,18753
2023-03-15,18513
2023-03-16,19350
2023-03-20,17045
2023-03-21,13817
2023-03-22,15472
2023-03-23,13156
2023-03-24,19289
