dates,covid19mobilitytrend_park
2020-02-15,3
2020-02-16,1
2020-02-17,-1
2020-02-18,0
2020-02-19,-2
2020-02-20,-1
2020-02-21,-3
2020-02-22,-4
2020-02-23,-11
2020-02-24,0
2020-02-25,-3
2020-02-26,-1
2020-02-27,0
2020-02-28,-2
2020-02-29,0
2020-03-01,0
2020-03-02,-1
2020-03-03,4
2020-03-04,0
2020-03-05,4
2020-03-06,5
2020-03-07,2
2020-03-08,3
2020-03-09,3
2020-03-10,4
2020-03-11,3
2020-03-12,4
2020-03-13,3
2020-03-14,0
2020-03-15,-2
2020-03-16,0
2020-03-17,-2
2020-03-18,-2
2020-03-19,-3
2020-03-20,-3
2020-03-21,-8
2020-03-22,-10
2020-03-23,-5
2020-03-24,-5
2020-03-25,-5
2020-03-26,-4
2020-03-27,-6
2020-03-28,-7
2020-03-29,-7
2020-03-30,-6
2020-03-31,-8
2020-04-01,-7
2020-04-02,-9
2020-04-03,-7
2020-04-04,-11
2020-04-05,-13
2020-04-06,-8
2020-04-07,-15
2020-04-08,-8
2020-04-09,-6
2020-04-10,-15
2020-04-11,-15
2020-04-12,-21
2020-04-13,-18
2020-04-14,-12
2020-04-15,-10
2020-04-16,-11
2020-04-17,-14
2020-04-18,-26
2020-04-19,-22
2020-04-20,-14
2020-04-21,-15
2020-04-22,-18
2020-04-23,-17
2020-04-24,-16
2020-04-25,-20
2020-04-26,-21
2020-04-27,-14
2020-04-28,-15
2020-04-29,-17
2020-04-30,-12
2020-05-01,-22
2020-05-02,-19
2020-05-03,-22
2020-05-04,-16
2020-05-05,-16
2020-05-06,-16
2020-05-07,-14
2020-05-08,-16
2020-05-09,-18
2020-05-10,-21
2020-05-11,-16
2020-05-12,-15
2020-05-13,-15
2020-05-14,-14
2020-05-15,-14
2020-05-16,-16
2020-05-17,-21
2020-05-18,-13
2020-05-19,-16
2020-05-20,-16
2020-05-21,-12
2020-05-22,-13
2020-05-23,-12
2020-05-24,-8
2020-05-25,-9
2020-05-26,-9
2020-05-27,-7
2020-05-28,-5
2020-05-29,-8
2020-05-30,-11
2020-05-31,-10
2020-06-01,-7
2020-06-02,-8
2020-06-03,-6
2020-06-04,-7
2020-06-05,-7
2020-06-06,-9
2020-06-07,-7
2020-06-08,-7
2020-06-09,-8
2020-06-10,-6
2020-06-11,-4
2020-06-12,-5
2020-06-13,-6
2020-06-14,-4
2020-06-15,-6
2020-06-16,-3
2020-06-17,-3
2020-06-18,-4
2020-06-19,-4
2020-06-20,-3
2020-06-21,-4
2020-06-22,-3
2020-06-23,-2
2020-06-24,-3
2020-06-25,-1
2020-06-26,0
2020-06-27,-2
2020-06-28,-4
2020-06-29,-5
2020-06-30,-5
2020-07-01,-5
2020-07-02,-4
2020-07-03,-1
2020-07-04,-5
2020-07-05,-4
2020-07-06,-5
2020-07-07,-6
2020-07-08,-4
2020-07-09,-4
2020-07-10,-4
2020-07-11,-6
2020-07-12,-5
2020-07-13,-4
2020-07-14,-6
2020-07-15,-1
2020-07-16,-3
2020-07-17,-3
2020-07-18,-5
2020-07-19,-5
2020-07-20,-4
2020-07-21,-5
2020-07-22,-3
2020-07-23,-5
2020-07-24,-2
2020-07-25,-1
2020-07-26,-2
2020-07-27,0
2020-07-28,-3
2020-07-29,-1
2020-07-30,6
2020-07-31,1
2020-08-01,3
2020-08-02,2
2020-08-03,4
2020-08-04,1
2020-08-05,-1
2020-08-06,3
2020-08-07,8
2020-08-08,4
2020-08-09,4
2020-08-10,3
2020-08-11,2
2020-08-12,4
2020-08-13,5
2020-08-14,7
2020-08-15,6
2020-08-16,1
2020-08-17,3
2020-08-18,4
2020-08-19,3
2020-08-20,1
2020-08-21,2
2020-08-22,2
2020-08-23,0
2020-08-24,4
2020-08-25,5
2020-08-26,2
2020-08-27,5
2020-08-28,4
2020-08-29,6
2020-08-30,3
2020-08-31,3
2020-09-01,4
2020-09-02,0
2020-09-03,1
2020-09-04,4
2020-09-05,3
2020-09-06,1
2020-09-07,4
2020-09-08,5
2020-09-09,3
2020-09-10,4
2020-09-11,4
2020-09-12,2
2020-09-13,0
2020-09-14,6
2020-09-15,5
2020-09-16,6
2020-09-17,2
2020-09-18,3
2020-09-19,4
2020-09-20,1
2020-09-21,5
2020-09-22,8
2020-09-23,7
2020-09-24,7
2020-09-25,6
2020-09-26,8
2020-09-27,8
2020-09-28,9
2020-09-29,10
2020-09-30,5
2020-10-01,-2
2020-10-02,2
2020-10-03,-1
2020-10-04,-2
2020-10-05,0
2020-10-06,1
2020-10-07,-1
2020-10-08,-1
2020-10-09,0
2020-10-10,-2
2020-10-11,-3
2020-10-12,-1
2020-10-13,2
2020-10-14,-10
2020-10-15,-10
2020-10-16,-4
2020-10-17,-8
2020-10-18,-7
2020-10-19,-4
2020-10-20,-2
2020-10-21,-5
2020-10-22,-6
2020-10-23,-3
2020-10-24,-3
2020-10-25,-8
2020-10-26,-4
2020-10-27,-44
2020-10-28,-71
2020-10-29,-66
2020-10-30,-55
2020-10-31,-49
2020-11-01,-43
2020-11-02,-34
2020-11-03,-33
2020-11-04,-33
2020-11-05,-31
2020-11-06,-9
2020-11-07,-9
2020-11-08,-8
2020-11-09,-4
2020-11-10,-6
2020-11-11,1
2020-11-12,-4
2020-11-13,-2
2020-11-14,-5
2020-11-15,-7
2020-11-16,-1
2020-11-17,-4
2020-11-18,-3
2020-11-19,-6
2020-11-20,-1
2020-11-21,-5
2020-11-22,-10
2020-11-23,-2
2020-11-24,-3
2020-11-25,-2
2020-11-26,-2
2020-11-27,1
2020-11-28,-3
2020-11-29,-5
2020-11-30,1
2020-12-01,1
2020-12-02,1
2020-12-03,-1
2020-12-04,1
2020-12-05,-1
2020-12-06,-3
2020-12-07,3
2020-12-08,3
2020-12-09,1
2020-12-10,9
2020-12-11,10
2020-12-12,9
2020-12-13,13
2020-12-14,10
2020-12-15,9
2020-12-16,10
2020-12-17,10
2020-12-18,10
2020-12-19,13
2020-12-20,15
2020-12-21,14
2020-12-22,15
2020-12-23,14
2020-12-24,17
2020-12-25,14
2020-12-26,12
2020-12-27,20
2020-12-28,19
2020-12-29,18
2020-12-30,16
2020-12-31,16
2021-01-01,10
2021-01-02,14
2021-01-03,16
2021-01-04,15
2021-01-05,16
2021-01-06,10
2021-01-07,9
2021-01-08,13
2021-01-09,11
2021-01-10,9
2021-01-11,18
2021-01-12,9
2021-01-13,7
2021-01-14,-2
2021-01-15,-1
2021-01-16,-7
2021-01-17,-7
2021-01-18,-2
2021-01-19,-3
2021-01-20,-3
2021-01-21,-4
2021-01-22,-2
2021-01-23,-7
2021-01-24,-4
2021-01-25,2
2021-01-26,1
2021-01-27,-1
2021-01-28,-1
2021-01-29,-6
2021-01-30,-9
2021-01-31,-10
2021-02-01,-7
2021-02-02,-8
2021-02-03,-7
2021-02-04,-3
2021-02-05,-3
2021-02-06,-3
2021-02-07,0
2021-02-08,-4
2021-02-09,-5
2021-02-10,-5
2021-02-11,-10
2021-02-12,-13
2021-02-13,-16
2021-02-14,-13
2021-02-15,-15
2021-02-16,-17
2021-02-17,-14
2021-02-18,-16
2021-02-19,-15
2021-02-20,-15
2021-02-21,-16
2021-02-22,-15
2021-02-23,-14
2021-02-24,-15
2021-02-25,-14
2021-02-26,-13
2021-02-27,-13
2021-02-28,-12
2021-03-01,-12
2021-03-02,-12
2021-03-03,-14
2021-03-04,-15
2021-03-05,-13
2021-03-06,-12
2021-03-07,-11
2021-03-08,-11
2021-03-09,-14
2021-03-10,-12
2021-03-11,-12
2021-03-12,-11
2021-03-13,-10
2021-03-14,-11
2021-03-15,-11
2021-03-16,-12
2021-03-17,-12
2021-03-18,-13
2021-03-19,-11
2021-03-20,-13
2021-03-21,-12
2021-03-22,-22
2021-03-23,-13
2021-03-24,-14
2021-03-25,-9
2021-03-26,-23
2021-03-27,-13
2021-03-28,-12
2021-03-29,-10
2021-03-30,-7
2021-03-31,-8
2021-04-01,-7
2021-04-02,-20
2021-04-03,-11
2021-04-04,-9
2021-04-05,-18
2021-04-06,-10
2021-04-07,-21
2021-04-08,-12
2021-04-09,-8
2021-04-10,-11
2021-04-11,-15
2021-04-12,-9
2021-04-13,-12
2021-04-14,-13
2021-04-15,-12
2021-04-16,-9
2021-04-17,-9
2021-04-18,-18
2021-04-19,-10
2021-04-20,-8
2021-04-21,-7
2021-04-22,-9
2021-04-23,-6
2021-04-24,-6
2021-04-25,-11
2021-04-26,-13
2021-04-27,-6
2021-04-28,-7
2021-04-29,-10
2021-04-30,-5
2021-05-01,-11
2021-05-02,-7
2021-05-03,-9
2021-05-04,-6
2021-05-05,-6
2021-05-06,-4
2021-05-07,-2
2021-05-08,-5
2021-05-09,-5
2021-05-10,1
2021-05-11,2
2021-05-12,6
2021-05-13,3
2021-05-14,-1
2021-05-15,5
2021-05-16,3
2021-05-17,8
2021-05-18,3
2021-05-19,3
2021-05-20,4
2021-05-21,9
2021-05-22,6
2021-05-23,5
2021-05-24,4
2021-05-25,8
2021-05-26,9
2021-05-27,11
2021-05-28,18
2021-05-29,17
2021-05-30,15
2021-05-31,17
2021-06-01,22
2021-06-02,17
2021-06-03,19
2021-06-04,22
2021-06-05,19
2021-06-06,17
2021-06-07,20
2021-06-08,19
2021-06-09,20
2021-06-10,18
2021-06-11,23
2021-06-12,18
2021-06-13,17
2021-06-14,21
2021-06-15,21
2021-06-16,23
2021-06-17,31
2021-06-18,34
2021-06-19,25
2021-06-20,22
2021-06-21,26
2021-06-22,25
2021-06-23,25
2021-06-24,26
2021-06-25,33
2021-06-26,28
2021-06-27,28
2021-06-28,30
2021-06-29,34
2021-06-30,34
2021-07-01,36
2021-07-02,38
2021-07-03,32
2021-07-04,30
2021-07-05,40
2021-07-06,39
2021-07-07,28
2021-07-08,40
2021-07-09,38
2021-07-10,32
2021-07-11,26
2021-07-12,36
2021-07-13,38
2021-07-14,32
2021-07-15,30
2021-07-16,36
2021-07-17,29
2021-07-18,19
2021-07-19,36
2021-07-20,38
2021-07-21,21
2021-07-22,32
2021-07-23,34
2021-07-24,29
2021-07-25,18
2021-07-26,32
2021-07-27,27
2021-07-28,36
2021-07-29,40
2021-07-30,44
2021-07-31,35
2021-08-01,33
2021-08-02,43
2021-08-03,44
2021-08-04,44
2021-08-05,45
2021-08-06,48
2021-08-07,39
2021-08-08,36
2021-08-09,46
2021-08-10,43
2021-08-11,45
2021-08-12,42
2021-08-13,44
2021-08-14,39
2021-08-15,33
2021-08-16,48
2021-08-17,45
2021-08-18,48
2021-08-19,45
2021-08-20,46
2021-08-21,40
2021-08-22,32
2021-08-23,47
2021-08-24,46
2021-08-25,49
2021-08-26,47
2021-08-27,46
2021-08-28,36
2021-08-29,29
2021-08-30,46
2021-08-31,43
2021-09-01,45
2021-09-02,42
2021-09-03,41
2021-09-04,36
2021-09-05,33
2021-09-06,42
2021-09-07,43
2021-09-08,42
2021-09-09,44
2021-09-10,36
2021-09-11,26
2021-09-12,26
2021-09-13,35
2021-09-14,33
2021-09-15,32
2021-09-16,34
2021-09-17,35
2021-09-18,31
2021-09-19,24
2021-09-20,34
2021-09-21,35
2021-09-22,36
2021-09-23,37
2021-09-24,38
2021-09-25,31
2021-09-26,28
2021-09-27,37
2021-09-28,35
2021-09-29,35
2021-09-30,36
2021-10-01,38
2021-10-02,30
2021-10-03,25
2021-10-04,37
2021-10-05,36
2021-10-06,45
2021-10-07,42
2021-10-08,42
2021-10-09,35
