dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,2
2020-02-16,1
2020-02-17,-2
2020-02-18,-2
2020-02-19,-6
2020-02-20,-3
2020-02-21,-2
2020-02-22,-1
2020-02-23,0
2020-02-24,-3
2020-02-25,-2
2020-02-26,-4
2020-02-27,0
2020-02-28,0
2020-02-29,4
2020-03-01,3
2020-03-02,0
2020-03-03,0
2020-03-04,-2
2020-03-05,3
2020-03-06,4
2020-03-07,5
2020-03-08,4
2020-03-09,-1
2020-03-10,3
2020-03-11,0
2020-03-12,2
2020-03-13,3
2020-03-14,5
2020-03-15,1
2020-03-16,-8
2020-03-17,3
2020-03-18,2
2020-03-19,9
2020-03-20,7
2020-03-21,2
2020-03-22,0
2020-03-23,-5
2020-03-24,0
2020-03-25,-16
2020-03-26,-18
2020-03-27,-34
2020-03-28,-27
2020-03-29,-36
2020-03-30,-29
2020-03-31,-52
2020-04-01,-58
2020-04-02,-56
2020-04-03,-56
2020-04-04,-58
2020-04-05,-55
2020-04-06,-55
2020-04-07,-55
2020-04-08,-57
2020-04-09,-56
2020-04-10,-58
2020-04-11,-51
2020-04-12,-56
2020-04-13,-64
2020-04-14,-58
2020-04-15,-54
2020-04-16,-53
2020-04-17,-55
2020-04-18,-60
2020-04-19,-59
2020-04-20,-59
2020-04-21,-55
2020-04-22,-59
2020-04-23,-56
2020-04-24,-55
2020-04-25,-55
2020-04-26,-55
2020-04-27,-54
2020-04-28,-53
2020-04-29,-53
2020-04-30,-51
2020-05-01,-56
2020-05-02,-57
2020-05-03,-55
2020-05-04,-54
2020-05-05,-51
2020-05-06,-48
2020-05-07,-48
2020-05-08,-47
2020-05-09,-49
2020-05-10,-49
2020-05-11,-49
2020-05-12,-48
2020-05-13,-48
2020-05-14,-46
2020-05-15,-45
2020-05-16,-47
2020-05-17,-48
2020-05-18,-48
2020-05-19,-46
2020-05-20,-47
2020-05-21,-46
2020-05-22,-45
2020-05-23,-45
2020-05-24,-47
2020-05-25,-46
2020-05-26,-37
2020-05-27,-37
2020-05-28,-35
2020-05-29,-35
2020-05-30,-35
2020-05-31,-36
2020-06-01,-33
2020-06-02,-33
2020-06-03,-36
2020-06-04,-29
2020-06-05,-28
2020-06-06,-28
2020-06-07,-29
2020-06-08,-31
2020-06-09,-28
2020-06-10,-25
2020-06-11,-23
2020-06-12,-24
2020-06-13,-25
2020-06-14,-27
2020-06-15,-25
2020-06-16,-21
2020-06-17,-22
2020-06-18,-21
2020-06-19,-23
2020-06-20,-22
2020-06-21,-26
2020-06-22,-23
2020-06-23,-20
2020-06-24,-22
2020-06-25,-20
2020-06-26,-21
2020-06-27,-19
2020-06-28,-23
2020-06-29,-21
2020-06-30,-19
2020-07-01,-18
2020-07-02,-17
2020-07-03,-18
2020-07-04,-17
2020-07-05,-20
2020-07-06,-23
2020-07-07,-16
2020-07-08,-17
2020-07-09,-15
2020-07-10,-17
2020-07-11,-21
2020-07-12,-19
2020-07-13,-16
2020-07-14,-16
2020-07-15,-16
2020-07-16,-19
2020-07-17,-16
2020-07-18,-15
2020-07-19,-21
2020-07-20,-17
2020-07-21,-17
2020-07-22,-17
2020-07-23,-14
2020-07-24,-17
2020-07-25,-14
2020-07-26,-15
2020-07-27,-13
2020-07-28,-12
2020-07-29,-12
2020-07-30,-5
2020-07-31,-19
2020-08-01,-11
2020-08-02,-11
2020-08-03,-8
2020-08-04,-7
2020-08-05,-7
2020-08-06,-5
2020-08-07,-7
2020-08-08,-7
2020-08-09,-7
2020-08-10,-8
2020-08-11,-7
2020-08-12,-11
2020-08-13,-9
2020-08-14,-9
2020-08-15,-6
2020-08-16,-8
2020-08-17,-8
2020-08-18,-9
2020-08-19,-10
2020-08-20,-11
2020-08-21,-11
2020-08-22,-11
2020-08-23,-10
2020-08-24,-11
2020-08-25,-8
2020-08-26,-12
2020-08-27,-11
2020-08-28,-11
2020-08-29,-12
2020-08-30,-11
2020-08-31,-12
2020-09-01,-7
2020-09-02,-12
2020-09-03,-12
2020-09-04,-11
2020-09-05,-10
2020-09-06,-15
2020-09-07,-16
2020-09-08,-7
2020-09-09,-14
2020-09-10,-7
2020-09-11,-10
2020-09-12,-10
2020-09-13,-9
2020-09-14,-10
2020-09-15,-9
