dates,covid19mobilitytrend_transporthub
2020-02-15,5
2020-02-16,4
2020-02-17,5
2020-02-18,5
2020-02-19,8
2020-02-20,7
2020-02-21,7
2020-02-22,8
2020-02-23,2
2020-02-24,-1
2020-02-25,5
2020-02-26,8
2020-02-27,7
2020-02-28,6
2020-02-29,9
2020-03-01,7
2020-03-02,3
2020-03-03,7
2020-03-04,11
2020-03-05,14
2020-03-06,14
2020-03-07,18
2020-03-08,16
2020-03-09,-8
2020-03-10,9
2020-03-11,8
2020-03-12,10
2020-03-13,1
2020-03-14,-2
2020-03-15,-12
2020-03-16,-6
2020-03-17,-14
2020-03-18,-24
2020-03-19,-29
2020-03-20,-35
2020-03-21,-39
2020-03-22,-53
2020-03-23,-48
2020-03-24,-49
2020-03-25,-46
2020-03-26,-45
2020-03-27,-45
2020-03-28,-43
2020-03-29,-45
2020-03-30,-48
2020-03-31,-51
2020-04-01,-49
2020-04-02,-47
2020-04-03,-47
2020-04-04,-45
2020-04-05,-48
2020-04-06,-49
2020-04-07,-47
2020-04-08,-46
2020-04-09,-45
2020-04-10,-47
2020-04-11,-47
2020-04-12,-49
2020-04-13,-46
2020-04-14,-49
2020-04-15,-47
2020-04-16,-45
2020-04-17,-44
2020-04-18,-48
2020-04-19,-59
2020-04-20,-64
2020-04-21,-51
2020-04-22,-46
2020-04-23,-42
2020-04-24,-43
2020-04-25,-42
2020-04-26,-51
2020-04-27,-44
2020-04-28,-40
2020-04-29,-38
2020-04-30,-36
2020-05-01,-46
2020-05-02,-43
2020-05-03,-43
2020-05-04,-42
2020-05-05,-41
2020-05-06,-40
2020-05-07,-39
2020-05-08,-36
2020-05-09,-34
2020-05-10,-32
2020-05-11,-36
2020-05-12,-33
2020-05-13,-28
2020-05-14,-33
2020-05-15,-29
2020-05-16,-22
2020-05-17,-26
2020-05-18,-29
2020-05-19,-29
2020-05-20,-27
2020-05-21,-24
2020-05-22,-26
2020-05-23,-20
2020-05-24,-21
2020-05-25,-26
2020-05-26,-25
2020-05-27,-18
2020-05-28,-20
2020-05-29,-20
2020-05-30,-22
2020-05-31,-16
2020-06-01,-16
2020-06-02,-13
2020-06-03,-10
2020-06-04,-8
2020-06-05,-7
2020-06-06,-1
2020-06-07,-6
2020-06-08,-22
2020-06-09,-8
2020-06-10,-4
2020-06-11,-4
2020-06-12,-7
2020-06-13,-6
2020-06-14,-7
2020-06-15,-7
2020-06-16,-5
2020-06-17,-2
2020-06-18,-4
2020-06-19,-6
2020-06-20,-4
2020-06-21,-5
2020-06-22,-8
2020-06-23,-5
2020-06-24,-2
2020-06-25,0
2020-06-26,-3
2020-06-27,-4
2020-06-28,-8
2020-06-29,-20
2020-06-30,-3
2020-07-01,0
2020-07-02,-2
2020-07-03,-5
2020-07-04,-4
2020-07-05,-4
2020-07-06,-6
2020-07-07,-6
2020-07-08,-4
2020-07-09,-1
2020-07-10,-4
2020-07-11,-2
2020-07-12,-5
2020-07-13,-9
2020-07-14,-8
2020-07-15,-1
2020-07-16,-1
2020-07-17,-4
2020-07-18,0
2020-07-19,-1
2020-07-20,-6
2020-07-21,-5
2020-07-22,-2
2020-07-23,-2
2020-07-24,-4
2020-07-25,-5
2020-07-26,-2
2020-07-27,-7
2020-07-28,-5
2020-07-29,-3
2020-07-30,-4
2020-07-31,-6
2020-08-01,-3
2020-08-02,-2
2020-08-03,-6
2020-08-04,-5
2020-08-05,-2
2020-08-06,-2
2020-08-07,-4
2020-08-08,0
2020-08-09,1
2020-08-10,-5
2020-08-11,-5
2020-08-12,-2
2020-08-13,-2
2020-08-14,-2
2020-08-15,0
2020-08-16,1
2020-08-17,-4
2020-08-18,-4
2020-08-19,-1
2020-08-20,-3
2020-08-21,-3
2020-08-22,-1
2020-08-23,1
2020-08-24,-17
2020-08-25,-4
2020-08-26,1
2020-08-27,0
2020-08-28,-1
2020-08-29,3
2020-08-30,5
2020-08-31,2
2020-09-01,-1
2020-09-02,-1
2020-09-03,-1
2020-09-04,-2
2020-09-05,-2
2020-09-06,1
2020-09-07,-1
2020-09-08,-1
2020-09-09,1
2020-09-10,1
2020-09-11,2
2020-09-12,3
2020-09-13,3
2020-09-14,-1
2020-09-15,-1
2020-09-16,2
2020-09-17,-1
2020-09-18,-4
2020-09-19,2
2020-09-20,1
2020-09-21,-1
2020-09-22,-1
2020-09-23,2
2020-09-24,0
2020-09-25,0
2020-09-26,2
2020-09-27,-6
2020-09-28,0
2020-09-29,-3
2020-09-30,-5
2020-10-01,-2
2020-10-02,1
2020-10-03,4
2020-10-04,5
2020-10-05,1
2020-10-06,-1
2020-10-07,1
2020-10-08,1
2020-10-09,2
2020-10-10,2
2020-10-11,0
2020-10-12,-1
2020-10-13,2
2020-10-14,-10
2020-10-15,-2
2020-10-16,-5
2020-10-17,-11
2020-10-18,-5
2020-10-19,-8
2020-10-20,-7
2020-10-21,-5
2020-10-22,-1
2020-10-23,-3
2020-10-24,-1
2020-10-25,2
2020-10-26,-7
2020-10-27,-6
2020-10-28,-7
2020-10-29,-9
2020-10-30,-11
2020-10-31,-14
2020-11-01,-15
2020-11-02,-14
2020-11-03,-12
2020-11-04,-9
2020-11-05,-10
2020-11-06,-12
2020-11-07,-6
2020-11-08,-8
2020-11-09,-12
2020-11-10,-11
2020-11-11,-10
2020-11-12,-11
2020-11-13,-11
2020-11-14,-19
2020-11-15,-25
2020-11-16,-13
2020-11-17,-14
2020-11-18,-12
2020-11-19,-12
2020-11-20,-11
2020-11-21,-23
2020-11-22,-26
2020-11-23,-11
2020-11-24,-12
2020-11-25,-10
2020-11-26,-9
2020-11-27,-8
2020-11-28,-24
2020-11-29,-28
2020-11-30,-12
2020-12-01,-13
2020-12-02,-12
2020-12-03,-13
2020-12-04,-14
2020-12-05,-15
2020-12-06,-18
2020-12-07,-17
2020-12-08,-17
2020-12-09,-15
2020-12-10,-14
2020-12-11,-16
2020-12-12,-16
2020-12-13,-20
2020-12-14,-14
2020-12-15,-11
2020-12-16,-8
2020-12-17,-7
2020-12-18,-6
2020-12-19,-6
2020-12-20,-12
2020-12-21,-11
2020-12-22,-11
2020-12-23,-8
2020-12-24,-4
2020-12-25,-23
2020-12-26,-12
2020-12-27,-6
2020-12-28,-8
2020-12-29,-3
2020-12-30,4
2020-12-31,-17
2021-01-01,-55
2021-01-02,-27
2021-01-03,-19
2021-01-04,-18
2021-01-05,-16
2021-01-06,-13
2021-01-07,-44
2021-01-08,-41
2021-01-09,-32
2021-01-10,-29
2021-01-11,-24
2021-01-12,-26
2021-01-13,-26
2021-01-14,-29
2021-01-15,-33
2021-01-16,-34
2021-01-17,-43
2021-01-18,-35
2021-01-19,-37
2021-01-20,-34
2021-01-21,-30
2021-01-22,-29
2021-01-23,-29
2021-01-24,-33
2021-01-25,-18
2021-01-26,-21
2021-01-27,-20
2021-01-28,-20
2021-01-29,-18
2021-01-30,-17
2021-01-31,-19
2021-02-01,-18
2021-02-02,-18
2021-02-03,-18
2021-02-04,-20
2021-02-05,-20
2021-02-06,-20
2021-02-07,-27
2021-02-08,-20
2021-02-09,-18
2021-02-10,-16
2021-02-11,-17
2021-02-12,-24
2021-02-13,-27
2021-02-14,-23
2021-02-15,-18
2021-02-16,-19
2021-02-17,-16
2021-02-18,-16
2021-02-19,-17
2021-02-20,-17
2021-02-21,-17
2021-02-22,-12
2021-02-23,-15
2021-02-24,-15
2021-02-25,-11
2021-02-26,-9
2021-02-27,-14
2021-02-28,-15
2021-03-01,-14
2021-03-02,-15
2021-03-03,-10
2021-03-04,-8
2021-03-05,-9
2021-03-06,-8
2021-03-07,-9
2021-03-08,-25
2021-03-09,-19
2021-03-10,-14
2021-03-11,-14
2021-03-12,-19
2021-03-13,-16
2021-03-14,-17
2021-03-15,-15
2021-03-16,-15
2021-03-17,-14
2021-03-18,-13
2021-03-19,-12
2021-03-20,-16
2021-03-21,-16
2021-03-22,-17
2021-03-23,-19
2021-03-24,-17
2021-03-25,-17
2021-03-26,-15
2021-03-27,-13
2021-03-28,-14
2021-03-29,-18
2021-03-30,-16
2021-03-31,-13
2021-04-01,-9
2021-04-02,-15
2021-04-03,-15
2021-04-04,-19
2021-04-05,-21
2021-04-06,-22
2021-04-07,-23
2021-04-08,-18
2021-04-09,-18
2021-04-10,-12
2021-04-11,-12
2021-04-12,-19
2021-04-13,-20
2021-04-14,-17
2021-04-15,-18
2021-04-16,-20
2021-04-17,-17
2021-04-18,-15
2021-04-19,-16
2021-04-20,-19
2021-04-21,-12
2021-04-22,-12
2021-04-23,-14
2021-04-24,-13
2021-04-25,-10
2021-04-26,-16
2021-04-27,-17
2021-04-28,-8
2021-04-29,-7
2021-04-30,-4
2021-05-01,-8
2021-05-02,-25
2021-05-03,-33
