dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,4
2020-03-16,0
2020-03-17,0
2020-03-18,25
2020-03-19,0
2020-03-20,50
2020-03-21,15
2020-03-22,0
2020-03-23,41
2020-03-24,23
2020-03-25,4
2020-03-26,27
2020-03-27,28
2020-03-28,21
2020-03-29,36
2020-03-30,29
2020-03-31,6
2020-04-01,11
2020-04-02,18
2020-04-03,12
2020-04-04,19
2020-04-05,17
2020-04-06,14
2020-04-07,6
2020-04-08,9
2020-04-09,9
2020-04-10,32
2020-04-11,17
2020-04-12,21
2020-04-13,7
2020-04-14,11
2020-04-15,-29
2020-04-16,9
2020-04-17,1
2020-04-18,9
2020-04-19,6
2020-04-20,9
2020-04-21,11
2020-04-22,7
2020-04-23,8
2020-04-24,6
2020-04-25,8
2020-04-26,6
2020-04-27,33
2020-04-28,10
2020-04-29,14
2020-04-30,5
2020-05-01,5
2020-05-02,13
2020-05-03,5
2020-05-04,4
2020-05-05,3
2020-05-06,2
2020-05-07,13
2020-05-08,3
2020-05-09,11
2020-05-10,10
2020-05-11,8
2020-05-12,5
2020-05-13,4
2020-05-14,6
2020-05-15,2
2020-05-16,5
2020-05-17,8
2020-05-18,1
2020-05-19,1
2020-05-20,3
2020-05-21,1
2020-05-22,8
2020-05-23,3
2020-05-24,4
2020-05-25,11
2020-05-26,5
2020-05-27,18
2020-05-28,2
2020-05-29,14
2020-05-30,8
2020-05-31,5
2020-06-01,5
2020-06-02,2
2020-06-03,2
2020-06-04,1
2020-06-05,2
2020-06-06,4
2020-06-07,2
2020-06-08,11
2020-06-09,0
2020-06-10,0
2020-06-11,1
2020-06-12,1
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,1
2020-06-17,0
2020-06-18,1
2020-06-19,0
2020-06-20,1
2020-06-21,3
2020-06-22,6
2020-06-23,17
2020-06-24,6
2020-06-25,3
2020-06-26,17
2020-06-27,5
2020-06-28,12
2020-06-29,5
2020-06-30,5
2020-07-01,3
2020-07-02,4
2020-07-03,7
2020-07-04,4
2020-07-05,5
2020-07-06,3
2020-07-07,1
2020-07-08,4
2020-07-09,5
2020-07-10,9
2020-07-11,3
2020-07-12,8
2020-07-13,1
2020-07-14,1
2020-07-15,2
2020-07-16,8
2020-07-17,12
2020-07-18,17
2020-07-19,11
2020-07-20,7
2020-07-21,10
2020-07-22,10
2020-07-23,32
2020-07-24,21
2020-07-25,24
2020-07-26,25
2020-07-27,8
2020-07-28,18
2020-07-29,10
2020-07-30,16
2020-07-31,19
2020-08-01,6
2020-08-02,22
2020-08-03,13
2020-08-04,8
2020-08-05,5
2020-08-06,9
2020-08-07,9
2020-08-08,9
2020-08-09,7
2020-08-10,10
2020-08-11,18
2020-08-12,11
2020-08-13,21
2020-08-14,8
2020-08-15,16
2020-08-16,12
2020-08-17,13
2020-08-18,6
2020-08-19,17
2020-08-20,28
2020-08-21,8
2020-08-22,13
2020-08-23,10
2020-08-24,5
2020-08-25,6
2020-08-26,6
2020-08-27,3
2020-08-28,7
2020-08-29,8
2020-08-30,5
2020-08-31,14
2020-09-01,15
2020-09-02,10
2020-09-03,16
2020-09-04,15
2020-09-05,10
2020-09-06,17
2020-09-07,16
2020-09-08,10
2020-09-09,14
2020-09-10,19
2020-09-11,29
2020-09-12,18
2020-09-13,14
2020-09-14,7
2020-09-15,28
2020-09-16,4
2020-09-17,15
2020-09-18,29
2020-09-19,20
2020-09-20,14
2020-09-21,14
2020-09-22,13
2020-09-23,10
2020-09-24,7
2020-09-25,12
2020-09-26,13
2020-09-27,8
2020-09-28,31
2020-09-29,10
2020-09-30,2
2020-10-01,23
2020-10-02,13
2020-10-03,15
2020-10-04,36
2020-10-05,25
2020-10-06,23
2020-10-07,10
2020-10-08,22
2020-10-09,29
2020-10-10,20
2020-10-11,25
2020-10-12,17
2020-10-13,26
2020-10-14,19
2020-10-15,24
2020-10-16,51
2020-10-17,29
2020-10-18,33
2020-10-19,51
2020-10-20,30
2020-10-21,29
2020-10-22,63
2020-10-23,40
2020-10-24,38
2020-10-25,58
2020-10-26,48
2020-10-27,44
2020-10-28,21
2020-10-29,44
2020-10-30,65
2020-10-31,63
2020-11-01,38
2020-11-02,42
2020-11-03,25
2020-11-04,16
2020-11-05,31
2020-11-06,49
2020-11-07,64
2020-11-08,61
2020-11-09,71
2020-11-10,73
2020-11-11,46
2020-11-12,60
2020-11-13,80
2020-11-14,95
2020-11-15,88
2020-11-16,74
2020-11-17,73
2020-11-18,74
2020-11-19,104
2020-11-20,88
2020-11-21,81
2020-11-22,100
2020-11-23,87
2020-11-24,135
2020-11-25,64
2020-11-26,107
2020-11-27,118
2020-11-28,129
2020-11-29,186
2020-11-30,208
2020-12-01,205
2020-12-02,141
2020-12-03,167
2020-12-04,201
2020-12-05,230
2020-12-06,276
2020-12-07,234
2020-12-08,338
2020-12-09,202
2020-12-10,301
2020-12-11,298
2020-12-12,383
2020-12-13,362
2020-12-14,331
2020-12-15,528
2020-12-16,321
2020-12-17,389
2020-12-18,475
2020-12-19,543
2020-12-20,514
2020-12-21,607
2020-12-22,491
2020-12-23,429
2020-12-24,524
2020-12-25,709
2020-12-26,747
2020-12-27,391
2020-12-28,370
2020-12-29,510
2020-12-30,578
2020-12-31,656
2021-01-01,518
2021-01-02,639
2021-01-03,634
2021-01-04,522
2021-01-05,548
2021-01-06,603
2021-01-07,678
2021-01-08,944
2021-01-09,759
2021-01-10,532
2021-01-11,635
2021-01-12,1212
2021-01-13,715
2021-01-14,945
2021-01-15,629
2021-01-16,1514
2021-01-17,957
2021-01-18,723
2021-01-19,709
2021-01-20,485
2021-01-21,583
2021-01-22,848
2021-01-23,698
2021-01-24,1178
2021-01-25,797
2021-01-26,666
2021-01-27,408
2021-01-28,639
2021-01-29,648
2021-01-30,559
2021-01-31,642
2021-02-01,652
2021-02-02,557
2021-02-03,390
2021-02-04,539
2021-02-05,548
2021-02-06,589
2021-02-07,499
2021-02-08,509
2021-02-09,499
2021-02-10,339
2021-02-11,503
2021-02-12,625
2021-02-13,476
2021-02-14,574
2021-02-15,631
2021-02-16,450
2021-02-17,451
2021-02-18,365
2021-02-19,483
2021-02-20,544
2021-02-21,625
2021-02-22,786
2021-02-23,652
2021-02-24,495
2021-02-25,663
2021-02-26,901
2021-02-27,821
2021-02-28,847
2021-03-01,820
2021-03-02,632
2021-03-03,595
2021-03-04,582
2021-03-05,903
2021-03-06,871
2021-03-07,984
2021-03-08,1081
2021-03-09,827
2021-03-10,863
2021-03-11,827
2021-03-12,957
2021-03-13,1233
2021-03-14,1357
2021-03-15,1059
2021-03-16,1558
2021-03-17,1171
2021-03-18,908
2021-03-19,1368
2021-03-20,1678
2021-03-21,1585
2021-03-22,1522
2021-03-23,1614
2021-03-24,2675
2021-03-25,1795
2021-03-26,1805
2021-03-27,1646
2021-03-28,2885
2021-03-29,2935
2021-03-30,2128
2021-03-31,2178
2021-04-01,2877
2021-04-02,3088
2021-04-03,2639
2021-04-04,3380
2021-04-05,2336
2021-04-06,3853
2021-04-07,2201
2021-04-08,3105
2021-04-09,3924
2021-04-10,3670
2021-04-11,7289
2021-04-12,3434
2021-04-13,3262
2021-04-14,2531
2021-04-15,2257
2021-04-16,2659
2021-04-17,4410
2021-04-18,3070
2021-04-19,2831
2021-04-20,2344
2021-04-21,2289
2021-04-22,2294
2021-04-23,3274
2021-04-24,3290
2021-04-25,3646
2021-04-26,2789
2021-04-27,2539
2021-04-28,2484
2021-04-29,2747
2021-04-30,2931
2021-05-01,2707
2021-05-02,2694
2021-05-03,2480
2021-05-04,1584
2021-05-05,1628
2021-05-06,2826
2021-05-07,2921
2021-05-08,3582
2021-05-09,2697
2021-05-10,2654
2021-05-11,1883
2021-05-12,2187
2021-05-13,2977
2021-05-14,2255
2021-05-15,3799
2021-05-16,3305
2021-05-17,2873
2021-05-18,2433
2021-05-19,2394
2021-05-20,3120
2021-05-21,3339
2021-05-22,4576
2021-05-23,4599
2021-05-24,3469
2021-05-25,3089
2021-05-26,2790
2021-05-27,3971
2021-05-28,4576
2021-05-29,3937
2021-05-30,1826
2021-05-31,5974
2021-06-01,3316
2021-06-02,3015
2021-06-03,3503
2021-06-04,3518
2021-06-05,2887
2021-06-06,4079
2021-06-07,4213
2021-06-08,3832
2021-06-09,2248
2021-06-10,4195
2021-06-11,3427
2021-06-12,3622
2021-06-13,3457
2021-06-14,2986
2021-06-15,2043
2021-06-16,2305
2021-06-17,2797
2021-06-18,2900
2021-06-19,2147
2021-06-20,2716
2021-06-21,1999
2021-06-22,1488
2021-06-23,1517
2021-06-24,2079
2021-06-25,1786
2021-06-26,1747
2021-06-27,1586
2021-06-28,1279
2021-06-29,1007
2021-06-30,1049
2021-07-01,1263
2021-07-02,1172
2021-07-03,1250
2021-07-04,817
2021-07-05,761
2021-07-06,531
2021-07-07,577
2021-07-08,733
2021-07-09,646
2021-07-10,633
2021-07-11,604
2021-07-12,379
2021-07-13,298
2021-07-14,297
2021-07-15,421
2021-07-16,407
2021-07-17,337
2021-07-18,439
2021-07-19,253
2021-07-20,142
2021-07-21,197
2021-07-22,304
2021-07-23,237
2021-07-24,298
2021-07-25,240
2021-07-26,160
2021-07-27,120
2021-07-28,153
2021-07-29,209
2021-07-30,183
2021-07-31,211
2021-08-01,177
2021-08-02,153
2021-08-03,52
