dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,1
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,5
2020-01-26,1
2020-01-27,0
2020-01-28,1
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,1
2020-02-03,1
2020-02-04,3
2020-02-05,4
2020-02-06,2
2020-02-07,0
2020-02-08,0
2020-02-09,1
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,2
2020-02-15,1
2020-02-16,1
2020-02-17,0
2020-02-18,0
2020-02-19,2
2020-02-20,5
2020-02-21,3
2020-02-22,1
2020-02-23,5
2020-02-24,8
2020-02-25,0
2020-02-26,4
2020-02-27,4
2020-02-28,8
2020-02-29,5
2020-03-01,4
2020-03-02,9
2020-03-03,18
2020-03-04,35
2020-03-05,51
2020-03-06,70
2020-03-07,78
2020-03-08,130
2020-03-09,146
2020-03-10,212
2020-03-11,390
2020-03-12,497
2020-03-13,525
2020-03-14,727
2020-03-15,968
2020-03-16,1219
2020-03-17,2135
2020-03-18,2369
2020-03-19,3229
2020-03-20,4862
2020-03-21,6113
2020-03-22,7559
2020-03-23,9110
2020-03-24,10765
2020-03-25,10754
2020-03-26,11332
2020-03-27,14115
2020-03-28,18474
2020-03-29,20344
2020-03-30,20673
2020-03-31,26161
2020-04-01,15536
2020-04-02,23260
2020-04-03,28674
2020-04-04,29790
2020-04-05,32057
2020-04-06,32134
2020-04-07,26984
2020-04-08,28629
2020-04-09,29355
2020-04-10,34148
2020-04-11,34743
2020-04-12,33179
2020-04-13,31535
2020-04-14,27094
2020-04-15,25244
2020-04-16,25259
2020-04-17,25208
2020-04-18,31494
2020-04-19,30316
2020-04-20,28281
2020-04-21,26070
2020-04-22,26428
2020-04-23,25927
2020-04-24,30470
2020-04-25,33211
2020-04-26,34778
2020-04-27,33603
2020-04-28,26063
2020-04-29,23758
2020-04-30,23935
2020-05-01,26774
2020-05-02,31221
2020-05-03,33082
2020-05-04,28292
2020-05-05,25927
2020-05-06,22324
2020-05-07,22878
2020-05-08,25440
2020-05-09,28552
2020-05-10,28833
2020-05-11,25917
2020-05-12,20656
2020-05-13,19950
2020-05-14,23902
2020-05-15,17336
2020-05-16,34643
2020-05-17,26628
2020-05-18,26081
2020-05-19,19917
2020-05-20,22744
2020-05-21,21923
2020-05-22,23506
2020-05-23,26191
2020-05-24,25963
2020-05-25,21465
2020-05-26,20651
2020-05-27,19379
2020-05-28,17510
2020-05-29,19508
2020-05-30,24182
2020-05-31,23741
2020-06-01,24127
2020-06-02,21466
2020-06-03,17157
2020-06-04,20974
2020-06-05,20695
2020-06-06,20870
2020-06-07,24491
2020-06-08,23285
2020-06-09,18455
2020-06-10,18151
2020-06-11,18581
2020-06-12,22181
2020-06-13,22890
2020-06-14,28333
2020-06-15,26434
2020-06-16,20778
2020-06-17,20591
2020-06-18,24777
2020-06-19,25816
2020-06-20,28520
2020-06-21,33105
2020-06-22,33467
2020-06-23,27345
2020-06-24,28698
2020-06-25,37887
2020-06-26,37320
2020-06-27,47021
2020-06-28,46540
2020-06-29,43653
2020-06-30,37583
2020-07-01,38517
2020-07-02,47253
2020-07-03,59342
2020-07-04,55452
2020-07-05,60366
2020-07-06,48978
2020-07-07,40413
2020-07-08,50763
2020-07-09,56754
2020-07-10,64775
2020-07-11,61943
2020-07-12,68579
2020-07-13,68262
2020-07-14,58680
2020-07-15,56287
2020-07-16,64516
2020-07-17,72389
2020-07-18,69181
2020-07-19,76952
2020-07-20,67324
2020-07-21,60012
2020-07-22,58519
2020-07-23,63336
2020-07-24,72416
2020-07-25,73142
2020-07-26,73152
2020-07-27,61596
2020-07-28,57759
2020-07-29,54007
2020-07-30,58708
2020-07-31,64855
2020-08-01,66141
2020-08-02,68184
2020-08-03,56412
2020-08-04,50849
2020-08-05,45329
2020-08-06,52056
2020-08-07,55592
2020-08-08,53165
2020-08-09,62506
2020-08-10,51679
2020-08-11,46473
2020-08-12,43377
2020-08-13,58958
2020-08-14,54392
2020-08-15,51522
2020-08-16,56261
2020-08-17,51137
2020-08-18,41495
2020-08-19,41589
2020-08-20,41625
2020-08-21,46574
2020-08-22,46187
2020-08-23,47181
2020-08-24,42550
2020-08-25,36210
2020-08-26,35716
2020-08-27,40574
2020-08-28,46430
2020-08-29,46920
2020-08-30,46546
2020-08-31,40908
2020-09-01,36635
2020-09-02,38696
2020-09-03,39178
2020-09-04,43647
2020-09-05,45272
2020-09-06,50917
2020-09-07,41129
2020-09-08,34237
2020-09-09,24876
2020-09-10,28054
2020-09-11,34660
2020-09-12,38583
2020-09-13,44082
2020-09-14,40371
2020-09-15,32888
2020-09-16,34336
2020-09-17,36815
2020-09-18,43910
2020-09-19,44530
2020-09-20,48127
2020-09-21,42181
2020-09-22,34450
2020-09-23,41398
2020-09-24,49528
2020-09-25,41641
2020-09-26,45961
2020-09-27,49615
2020-09-28,42035
2020-09-29,35551
2020-09-30,38402
2020-10-01,38881
2020-10-02,45920
2020-10-03,46624
2020-10-04,50935
2020-10-05,47727
2020-10-06,35774
2020-10-07,41602
2020-10-08,41654
2020-10-09,52594
2020-10-10,56104
2020-10-11,58794
2020-10-12,54216
2020-10-13,44423
2020-10-14,49144
2020-10-15,50497
2020-10-16,57229
2020-10-17,63046
2020-10-18,69079
2020-10-19,54548
2020-10-20,48887
2020-10-21,61362
2020-10-22,58741
2020-10-23,68657
2020-10-24,74903
2020-10-25,82340
2020-10-26,76181
2020-10-27,65610
2020-10-28,69584
2020-10-29,74961
2020-10-30,84410
2020-10-31,91130
2020-11-01,97518
2020-11-02,92783
2020-11-03,141582
2020-11-04,87188
2020-11-05,98499
2020-11-06,113875
2020-11-07,122830
2020-11-08,133337
2020-11-09,129810
2020-11-10,111648
2020-11-11,124487
2020-11-12,145951
2020-11-13,153660
2020-11-14,162300
2020-11-15,176989
2020-11-16,164239
2020-11-17,137564
2020-11-18,153374
2020-11-19,167352
2020-11-20,170904
2020-11-21,188681
2020-11-22,193369
2020-11-23,173861
2020-11-24,149783
2020-11-25,160411
2020-11-26,175183
2020-11-27,194100
2020-11-28,145029
2020-11-29,164034
2020-11-30,144575
2020-12-01,141072
2020-12-02,151905
2020-12-03,192718
2020-12-04,210074
2020-12-05,216782
2020-12-06,223806
2020-12-07,205575
2020-12-08,176909
2020-12-09,183091
2020-12-10,226982
2020-12-11,221251
2020-12-12,208835
2020-12-13,245839
2020-12-14,217153
2020-12-15,181275
2020-12-16,198204
2020-12-17,198650
2020-12-18,240266
2020-12-19,246505
2020-12-20,235875
2020-12-21,202289
2020-12-22,186429
2020-12-23,183553
2020-12-24,197759
2020-12-25,226200
2020-12-26,202550
2020-12-27,161342
2020-12-28,147119
2020-12-29,154342
2020-12-30,176774
2020-12-31,208904
2021-01-01,235818
2021-01-02,229492
2021-01-03,228546
2021-01-04,225318
2021-01-05,205458
2021-01-06,174314
2021-01-07,242441
2021-01-08,257750
2021-01-09,269765
2021-01-10,292105
2021-01-11,256294
2021-01-12,224484
2021-01-13,204122
2021-01-14,217776
2021-01-15,226378
2021-01-16,223583
2021-01-17,237318
2021-01-18,209511
2021-01-19,186583
2021-01-20,154205
2021-01-21,150233
2021-01-22,188266
2021-01-23,187644
2021-01-24,189419
2021-01-25,165512
2021-01-26,141554
2021-01-27,135591
2021-01-28,145943
2021-01-29,158965
2021-01-30,156822
2021-01-31,164238
2021-02-01,138823
2021-02-02,111938
2021-02-03,129043
2021-02-04,121330
2021-02-05,108669
2021-02-06,122620
2021-02-07,124827
2021-02-08,110180
2021-02-09,92931
2021-02-10,80726
2021-02-11,91417
2021-02-12,98339
2021-02-13,99548
2021-02-14,97431
2021-02-15,85221
2021-02-16,67413
2021-02-17,58066
2021-02-18,56871
2021-02-19,63770
2021-02-20,68568
2021-02-21,73576
2021-02-22,65510
2021-02-23,56628
2021-02-24,55821
2021-02-25,70162
2021-02-26,72358
2021-02-27,71998
2021-02-28,73274
2021-03-01,68298
2021-03-02,52570
2021-03-03,51114
2021-03-04,53761
2021-03-05,66043
2021-03-06,64859
2021-03-07,64094
2021-03-08,57710
2021-03-09,43758
2021-03-10,42703
2021-03-11,54088
2021-03-12,61755
2021-03-13,59764
2021-03-14,64222
2021-03-15,52274
2021-03-16,47230
2021-03-17,43532
2021-03-18,51806
2021-03-19,59588
2021-03-20,63099
2021-03-21,62022
2021-03-22,58456
2021-03-23,45228
2021-03-24,48228
2021-03-25,57684
2021-03-26,68021
2021-03-27,65367
2021-03-28,74834
2021-03-29,63203
2021-03-30,53256
2021-03-31,58014
2021-04-01,61789
2021-04-02,69567
2021-04-03,73685
2021-04-04,70446
2021-04-05,63695
2021-04-06,45722
2021-04-07,56400
2021-04-08,63657
2021-04-09,74627
2021-04-10,75434
2021-04-11,76415
2021-04-12,68111
2021-04-13,53239
2021-04-14,60435
2021-04-15,72206
2021-04-16,70654
2021-04-17,71498
2021-04-18,71074
2021-04-19,77212
2021-04-20,49337
2021-04-21,35281
2021-04-22,57318
2021-04-23,63049
2021-04-24,61479
2021-04-25,62419
2021-04-26,51698
2021-04-27,40847
2021-04-28,30199
2021-04-29,50313
2021-04-30,54396
2021-05-01,55643
2021-05-02,55311
2021-05-03,48352
2021-05-04,36593
2021-05-05,32953
2021-05-06,42552
2021-05-07,44541
2021-05-08,42692
2021-05-09,44641
2021-05-10,37021
2021-05-11,27538
2021-05-12,24383
2021-05-13,33073
2021-05-14,35784
2021-05-15,40435
2021-05-16,35116
2021-05-17,29837
2021-05-18,21375
2021-05-19,19453
2021-05-20,27639
2021-05-21,27491
2021-05-22,27948
2021-05-23,27866
2021-05-24,22224
2021-05-25,16030
2021-05-26,14761
2021-05-27,24571
2021-05-28,23475
2021-05-29,21970
2021-05-30,24780
2021-05-31,15628
2021-06-01,12350
2021-06-02,9408
2021-06-03,8935
2021-06-04,16048
2021-06-05,18151
2021-06-06,18592
2021-06-07,14734
2021-06-08,11084
2021-06-09,9898
2021-06-10,14314
2021-06-11,19640
2021-06-12,15924
2021-06-13,13971
2021-06-14,12350
2021-06-15,8721
2021-06-16,8275
2021-06-17,12616
2021-06-18,13220
2021-06-19,13484
2021-06-20,11961
2021-06-21,12350
2021-06-22,9047
2021-06-23,8568
2021-06-24,13288
2021-06-25,13841
