dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,1
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,1
2020-04-02,1
2020-04-03,2
2020-04-04,3
2020-04-05,3
2020-04-06,3
2020-04-07,7
2020-04-08,7
2020-04-09,8
2020-04-10,8
2020-04-11,12
2020-04-12,12
2020-04-13,12
2020-04-14,12
2020-04-15,12
2020-04-16,12
2020-04-17,12
2020-04-18,12
2020-04-19,12
2020-04-20,12
2020-04-21,12
2020-04-22,12
2020-04-23,13
2020-04-24,13
2020-04-25,14
2020-04-26,14
2020-04-27,14
2020-04-28,15
2020-04-29,15
2020-04-30,16
2020-05-01,16
2020-05-02,16
2020-05-03,16
2020-05-04,16
2020-05-05,17
2020-05-06,17
2020-05-07,17
2020-05-08,17
2020-05-09,17
2020-05-10,17
2020-05-11,17
2020-05-12,17
2020-05-13,17
2020-05-14,17
2020-05-15,17
2020-05-16,17
2020-05-17,17
2020-05-18,17
2020-05-19,17
2020-05-20,17
2020-05-21,18
2020-05-22,18
2020-05-23,18
2020-05-24,18
2020-05-25,18
2020-05-26,18
2020-05-27,18
2020-05-28,18
2020-05-29,25
2020-05-30,25
2020-05-31,25
2020-06-01,26
2020-06-02,26
2020-06-03,26
2020-06-04,26
2020-06-05,26
2020-06-06,26
2020-06-07,26
2020-06-08,26
2020-06-09,27
2020-06-10,27
2020-06-11,27
2020-06-12,27
2020-06-13,27
2020-06-14,27
2020-06-15,27
2020-06-16,27
2020-06-17,27
2020-06-18,29
2020-06-19,29
2020-06-20,29
2020-06-21,29
2020-06-22,29
2020-06-23,29
2020-06-24,29
2020-06-25,29
2020-06-26,29
2020-06-27,29
2020-06-28,29
2020-06-29,29
2020-06-30,29
2020-07-01,29
2020-07-02,29
2020-07-03,29
2020-07-04,29
2020-07-05,29
2020-07-06,29
2020-07-07,29
2020-07-08,29
2020-07-09,29
2020-07-10,29
2020-07-11,29
2020-07-12,29
2020-07-13,29
2020-07-14,35
2020-07-15,35
2020-07-16,35
2020-07-17,35
2020-07-18,35
2020-07-19,35
2020-07-20,38
2020-07-21,50
2020-07-22,50
2020-07-23,50
2020-07-24,52
2020-07-25,52
2020-07-26,52
2020-07-27,52
2020-07-28,52
2020-07-29,52
2020-07-30,52
2020-07-31,52
2020-08-01,54
2020-08-02,54
2020-08-03,54
2020-08-04,55
2020-08-05,55
2020-08-06,55
2020-08-07,56
2020-08-08,56
2020-08-09,56
2020-08-10,56
2020-08-11,57
2020-08-12,57
2020-08-13,57
2020-08-14,57
2020-08-15,57
2020-08-16,57
2020-08-17,57
2020-08-18,57
2020-08-19,58
2020-08-20,58
2020-08-21,58
2020-08-22,58
2020-08-23,58
2020-08-24,58
2020-08-25,58
2020-08-26,58
2020-08-27,58
2020-08-28,60
2020-08-29,60
2020-08-30,60
2020-08-31,60
2020-09-01,60
2020-09-02,60
2020-09-03,61
2020-09-04,61
2020-09-05,61
2020-09-06,61
2020-09-07,61
2020-09-08,61
2020-09-09,62
2020-09-10,62
2020-09-11,62
2020-09-12,62
2020-09-13,64
2020-09-14,64
2020-09-15,64
2020-09-16,64
2020-09-17,64
2020-09-18,64
2020-09-19,64
2020-09-20,64
2020-09-21,64
2020-09-22,64
2020-09-23,64
2020-09-24,64
2020-09-25,64
2020-09-26,64
2020-09-27,64
2020-09-28,64
2020-09-29,64
2020-09-30,64
2020-10-01,64
2020-10-02,64
2020-10-03,64
2020-10-04,64
2020-10-05,64
2020-10-06,64
2020-10-07,64
2020-10-08,64
2020-10-09,64
2020-10-10,64
2020-10-11,64
2020-10-12,64
2020-10-13,64
2020-10-14,64
2020-10-15,64
2020-10-16,64
2020-10-17,65
2020-10-18,67
2020-10-19,67
2020-10-20,67
2020-10-21,68
2020-10-22,68
2020-10-23,68
2020-10-24,73
2020-10-25,73
2020-10-26,73
2020-10-27,73
2020-10-28,74
2020-10-29,74
2020-10-30,74
2020-10-31,74
2020-11-01,74
2020-11-02,75
2020-11-03,75
2020-11-04,75
2020-11-05,75
2020-11-06,75
2020-11-07,76
2020-11-08,76
2020-11-09,76
2020-11-10,76
2020-11-11,76
2020-11-12,76
2020-11-13,77
2020-11-14,78
2020-11-15,78
2020-11-16,78
2020-11-17,78
2020-11-18,78
2020-11-19,83
2020-11-20,83
2020-11-21,84
2020-11-22,84
2020-11-23,84
2020-11-24,84
2020-11-25,84
2020-11-26,84
2020-11-27,84
2020-11-28,85
2020-11-29,85
2020-11-30,85
2020-12-01,85
2020-12-02,85
2020-12-03,85
2020-12-04,85
2020-12-05,87
2020-12-06,87
2020-12-07,87
2020-12-08,87
2020-12-09,87
2020-12-10,90
2020-12-11,91
2020-12-12,94
2020-12-13,94
2020-12-14,98
2020-12-15,98
2020-12-16,98
2020-12-17,98
2020-12-18,100
2020-12-19,100
2020-12-20,100
2020-12-21,104
2020-12-22,104
2020-12-23,107
2020-12-24,108
2020-12-25,108
2020-12-26,108
2020-12-27,108
2020-12-28,109
2020-12-29,109
2020-12-30,113
2020-12-31,115
2021-01-01,119
2021-01-02,121
2021-01-03,122
2021-01-04,124
2021-01-05,124
2021-01-06,133
2021-01-07,149
2021-01-08,149
2021-01-09,204
2021-01-10,204
2021-01-11,225
2021-01-12,249
2021-01-13,253
2021-01-14,284
2021-01-15,340
2021-01-16,388
2021-01-17,450
2021-01-18,478
2021-01-19,494
2021-01-20,540
2021-01-21,602
2021-01-22,655
2021-01-23,690
2021-01-24,720
2021-01-25,738
2021-01-26,746
2021-01-27,763
2021-01-28,798
2021-01-29,827
2021-01-30,865
2021-01-31,896
2021-02-01,901
2021-02-02,951
2021-02-03,1008
2021-02-04,1059
2021-02-05,1067
2021-02-06,1170
2021-02-07,1170
2021-02-08,1269
2021-02-09,1283
2021-02-10,1324
2021-02-11,1340
2021-02-12,1370
2021-02-13,1395
2021-02-14,1418
2021-02-15,1418
2021-02-16,1453
2021-02-17,1457
2021-02-18,1462
2021-02-19,1474
2021-02-20,1494
2021-02-21,1498
2021-02-22,1503
2021-02-23,1505
2021-02-24,1511
2021-02-25,1519
2021-02-26,1526
2021-02-27,1530
2021-02-28,1556
2021-03-01,1556
2021-03-02,1628
2021-03-03,1628
2021-03-04,1645
2021-03-05,1645
2021-03-06,1658
2021-03-07,1658
2021-03-08,1663
2021-03-09,1663
2021-03-10,1663
2021-03-11,1670
2021-03-12,1674
2021-03-13,1674
2021-03-14,1680
2021-03-15,1680
2021-03-16,1681
2021-03-17,1681
2021-03-18,1681
2021-03-19,1684
2021-03-20,1692
2021-03-21,1694
2021-03-22,1696
2021-03-23,1700
2021-03-24,1700
2021-03-25,1703
2021-03-26,1715
2021-03-27,1721
2021-03-28,1721
2021-03-29,1738
2021-03-30,1739
2021-03-31,1739
2021-04-01,1748
2021-04-02,1750
2021-04-03,1754
2021-04-04,1755
2021-04-05,1755
2021-04-06,1764
2021-04-07,1765
2021-04-08,1766
2021-04-09,1774
2021-04-10,1789
2021-04-11,1790
2021-04-12,1790
2021-04-13,1806
2021-04-14,1806
2021-04-15,1812
2021-04-16,1818
2021-04-17,1819
2021-04-18,1819
2021-04-19,1819
2021-04-20,1819
2021-04-21,1819
2021-04-22,1819
2021-04-23,1829
2021-04-24,1829
2021-04-25,1830
2021-04-26,1830
2021-04-27,1839
2021-04-28,1844
2021-04-29,1850
2021-04-30,1855
2021-05-01,1864
2021-05-02,1864
2021-05-03,1864
2021-05-04,1882
2021-05-05,1882
2021-05-06,1882
2021-05-07,1889
2021-05-08,1895
2021-05-09,1912
2021-05-10,1912
2021-05-11,1922
2021-05-12,1922
2021-05-13,1922
2021-05-14,1928
2021-05-15,1932
2021-05-16,1932
2021-05-17,1947
2021-05-18,1947
2021-05-19,1947
2021-05-20,1949
2021-05-21,1954
2021-05-22,1962
2021-05-23,1973
2021-05-24,1978
2021-05-25,1989
2021-05-26,1989
2021-05-27,1995
2021-05-28,2006
2021-05-29,2006
2021-05-30,2027
2021-05-31,2035
2021-06-01,2035
2021-06-02,2035
2021-06-03,2044
2021-06-04,2059
2021-06-05,2065
2021-06-06,2068
2021-06-07,2068
2021-06-08,2068
2021-06-09,2085
2021-06-10,2092
2021-06-11,2101
2021-06-12,2101
2021-06-13,2101
2021-06-14,2101
2021-06-15,2147
2021-06-16,2158
2021-06-17,2172
2021-06-18,2178
2021-06-19,2183
2021-06-20,2192
2021-06-21,2194
2021-06-22,2195
2021-06-23,2196
2021-06-24,2207
2021-06-25,2207
2021-06-26,2216
2021-06-27,2218
2021-06-28,2219
2021-06-29,2219
2021-06-30,2219
2021-07-01,2225
2021-07-02,2227
2021-07-03,2229
2021-07-04,2229
2021-07-05,2233
2021-07-06,2238
2021-07-07,2240
2021-07-08,2240
2021-07-09,2240
2021-07-10,2241
2021-07-11,2241
2021-07-12,2242
2021-07-13,2244
2021-07-14,2245
2021-07-15,2249
2021-07-16,2258
2021-07-17,2258
2021-07-18,2260
2021-07-19,2263
2021-07-20,2263
2021-07-21,2263
2021-07-22,2263
2021-07-23,2266
2021-07-24,2271
2021-07-25,2271
2021-07-26,2279
2021-07-27,2279
2021-07-28,2280
