dates,cumulativecount_vaccine_covid_19_administered
2021-02-17,0
2021-02-22,157
2021-03-04,12194
2021-03-26,14223
2021-04-02,98000
2021-04-12,250000
2021-05-19,316000
2021-06-11,739962
2021-06-18,1302992
2021-06-25,1466988
2021-07-05,2508201
2021-07-12,4000000
2021-08-17,4678086
2021-08-27,9342817
2021-09-10,11094206
2021-09-21,14050000
2021-09-27,15714857
2021-10-08,16127242
2021-11-05,23156914
2021-11-29,26314390
2021-12-17,30049714
2022-01-28,35352675
2022-02-04,36962256
2022-02-11,37860994
2022-03-25,37860994
2022-12-07,37860994
