dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,2
2020-03-31,2
2020-04-01,3
2020-04-02,3
2020-04-03,3
2020-04-04,3
2020-04-05,3
2020-04-06,3
2020-04-07,3
2020-04-08,3
2020-04-09,3
2020-04-10,3
2020-04-11,3
2020-04-12,3
2020-04-13,3
2020-04-14,3
2020-04-15,3
2020-04-16,3
2020-04-17,3
2020-04-18,3
2020-04-19,3
2020-04-20,4
2020-04-21,4
2020-04-22,4
2020-04-23,4
2020-04-24,5
2020-04-25,5
2020-04-26,6
2020-04-27,6
2020-04-28,6
2020-04-29,6
2020-04-30,6
2020-05-01,6
2020-05-02,6
2020-05-03,6
2020-05-04,6
2020-05-05,6
2020-05-06,7
2020-05-07,7
2020-05-08,7
2020-05-09,7
2020-05-10,7
2020-05-11,7
2020-05-12,7
2020-05-13,7
2020-05-14,7
2020-05-15,7
2020-05-16,8
2020-05-17,8
2020-05-18,8
2020-05-19,8
2020-05-20,8
2020-05-21,8
2020-05-22,8
2020-05-23,8
2020-05-24,8
2020-05-25,8
2020-05-26,8
2020-05-27,8
2020-05-28,8
2020-05-29,8
2020-05-30,8
2020-05-31,8
2020-06-01,8
2020-06-02,8
2020-06-03,8
2020-06-04,8
2020-06-05,8
2020-06-06,8
2020-06-07,8
2020-06-08,8
2020-06-09,8
2020-06-10,8
2020-06-11,8
2020-06-12,8
2020-06-13,8
2020-06-14,8
2020-06-15,8
2020-06-16,8
2020-06-17,8
2020-06-18,8
2020-06-19,8
2020-06-20,8
2020-06-21,8
2020-06-22,8
2020-06-23,8
2020-06-24,8
2020-06-25,8
2020-06-26,8
2020-06-27,8
2020-06-28,8
2020-06-29,8
2020-06-30,8
2020-07-01,8
2020-07-02,8
2020-07-03,8
2020-07-04,8
2020-07-05,8
2020-07-06,8
2020-07-07,8
2020-07-08,8
2020-07-09,8
2020-07-10,8
2020-07-11,8
2020-07-12,8
2020-07-13,8
2020-07-14,8
2020-07-15,8
2020-07-16,8
2020-07-17,8
2020-07-18,8
2020-07-19,8
2020-07-20,8
2020-07-21,8
2020-07-22,8
2020-07-23,8
2020-07-24,8
2020-07-25,8
2020-07-26,8
2020-07-27,8
2020-07-28,8
2020-07-29,8
2020-07-30,8
2020-07-31,8
2020-08-01,8
2020-08-02,8
2020-08-03,8
2020-08-04,8
2020-08-05,9
2020-08-06,9
2020-08-07,9
2020-08-08,9
2020-08-09,9
2020-08-10,9
2020-08-11,9
2020-08-12,9
2020-08-13,9
2020-08-14,9
2020-08-15,9
2020-08-16,9
2020-08-17,9
2020-08-18,9
2020-08-19,11
2020-08-20,11
2020-08-21,12
2020-08-22,12
2020-08-23,21
2020-08-24,21
2020-08-25,21
2020-08-26,26
2020-08-27,26
2020-08-28,26
2020-08-29,35
2020-08-30,35
2020-08-31,37
2020-09-01,47
2020-09-02,47
2020-09-03,47
2020-09-04,47
2020-09-05,63
2020-09-06,63
2020-09-07,63
2020-09-08,63
2020-09-09,63
2020-09-10,63
2020-09-11,63
2020-09-12,64
2020-09-13,66
2020-09-14,66
2020-09-15,66
2020-09-16,66
2020-09-17,69
2020-09-18,69
2020-09-19,69
2020-09-20,71
2020-09-21,71
2020-09-22,71
2020-09-23,71
2020-09-24,71
2020-09-25,71
2020-09-26,71
2020-09-27,71
2020-09-28,71
2020-09-29,71
2020-09-30,71
2020-10-01,71
2020-10-02,71
2020-10-03,71
2020-10-04,71
2020-10-05,71
2020-10-06,71
2020-10-07,71
2020-10-08,71
2020-10-09,71
2020-10-10,71
2020-10-11,71
2020-10-12,71
2020-10-13,71
2020-10-14,71
2020-10-15,72
2020-10-16,72
2020-10-17,72
2020-10-18,72
2020-10-19,72
2020-10-20,72
2020-10-21,72
2020-10-22,72
2020-10-23,72
2020-10-24,72
2020-10-25,72
2020-10-26,72
2020-10-27,72
2020-10-28,72
2020-10-29,72
2020-10-30,72
2020-10-31,72
2020-11-01,72
2020-11-02,72
2020-11-03,72
2020-11-04,72
2020-11-05,72
2020-11-06,72
2020-11-07,72
2020-11-08,72
2020-11-09,72
2020-11-10,72
2020-11-11,72
2020-11-12,72
2020-11-13,72
2020-11-14,72
2020-11-15,72
2020-11-16,72
2020-11-17,72
2020-11-18,72
2020-11-19,72
2020-11-20,72
2020-11-21,72
2020-11-22,72
2020-11-23,72
2020-11-24,72
2020-11-25,72
2020-11-26,72
2020-11-27,72
2020-11-28,72
2020-11-29,72
2020-11-30,73
2020-12-01,73
2020-12-02,73
2020-12-03,73
2020-12-04,73
2020-12-05,73
2020-12-06,73
2020-12-07,73
2020-12-08,73
2020-12-09,73
2020-12-10,75
2020-12-11,75
2020-12-12,76
2020-12-13,76
2020-12-14,76
2020-12-15,76
2020-12-16,80
2020-12-17,80
2020-12-18,83
2020-12-19,86
2020-12-20,86
2020-12-21,86
2020-12-22,86
2020-12-23,86
2020-12-24,86
2020-12-25,93
2020-12-26,93
2020-12-27,93
2020-12-28,93
2020-12-29,93
2020-12-30,93
2020-12-31,93
2021-01-01,93
2021-01-02,93
2021-01-03,93
2021-01-04,93
2021-01-05,97
2021-01-06,107
2021-01-07,107
2021-01-08,107
2021-01-09,114
2021-01-10,114
2021-01-11,114
2021-01-12,114
2021-01-13,114
2021-01-14,114
2021-01-15,114
2021-01-16,121
2021-01-17,121
2021-01-18,121
2021-01-19,121
2021-01-20,121
2021-01-21,121
2021-01-22,121
2021-01-23,121
2021-01-24,137
2021-01-25,137
2021-01-26,137
2021-01-27,137
2021-01-28,137
2021-01-29,137
2021-01-30,141
2021-01-31,141
2021-02-01,141
2021-02-02,141
2021-02-03,141
2021-02-04,141
2021-02-05,141
2021-02-06,141
2021-02-07,141
2021-02-08,141
2021-02-09,141
2021-02-10,141
2021-02-11,151
2021-02-12,151
2021-02-13,151
2021-02-14,151
2021-02-15,151
2021-02-16,153
2021-02-17,153
2021-02-18,153
2021-02-19,153
2021-02-20,153
2021-02-21,153
2021-02-22,153
2021-02-23,153
2021-02-24,153
2021-02-25,153
2021-02-26,153
2021-02-27,153
2021-02-28,153
2021-03-01,153
2021-03-02,153
2021-03-03,153
2021-03-04,153
2021-03-05,153
2021-03-06,154
2021-03-07,154
2021-03-08,154
2021-03-09,154
2021-03-10,154
2021-03-11,154
2021-03-12,154
2021-03-13,154
2021-03-14,154
2021-03-15,154
2021-03-16,154
2021-03-17,154
2021-03-18,154
2021-03-19,154
2021-03-20,154
2021-03-21,154
2021-03-22,154
2021-03-23,154
2021-03-24,154
2021-03-25,154
2021-03-26,154
2021-03-27,154
2021-03-28,154
2021-03-29,154
2021-03-30,154
2021-03-31,154
2021-04-01,154
2021-04-02,154
2021-04-03,154
2021-04-04,154
2021-04-05,154
2021-04-06,154
2021-04-07,178
2021-04-08,178
2021-04-09,178
2021-04-10,178
2021-04-11,178
2021-04-12,178
2021-04-13,178
2021-04-14,178
2021-04-15,187
2021-04-16,187
2021-04-17,187
2021-04-18,187
2021-04-19,187
2021-04-20,187
2021-04-21,187
2021-04-22,194
2021-04-23,194
2021-04-24,194
2021-04-25,194
2021-04-26,194
2021-04-27,194
2021-04-28,194
2021-04-29,194
2021-04-30,194
2021-05-01,194
2021-05-02,194
2021-05-03,194
2021-05-04,194
2021-05-05,216
2021-05-06,216
2021-05-07,216
2021-05-08,216
2021-05-09,219
2021-05-10,219
2021-05-11,219
2021-05-12,219
2021-05-13,219
2021-05-14,219
2021-05-15,248
2021-05-16,248
2021-05-17,248
2021-05-18,248
2021-05-19,248
2021-05-20,248
2021-05-21,248
2021-05-22,248
2021-05-23,248
2021-05-24,248
2021-05-25,248
2021-05-26,248
2021-05-27,248
2021-05-28,289
2021-05-29,289
2021-05-30,289
2021-05-31,289
2021-06-01,289
2021-06-02,289
2021-06-03,289
2021-06-04,289
2021-06-05,289
2021-06-06,289
2021-06-07,289
2021-06-08,290
2021-06-09,290
2021-06-10,290
2021-06-11,290
2021-06-12,295
2021-06-13,295
2021-06-14,295
2021-06-15,295
2021-06-16,295
2021-06-17,295
2021-06-18,295
2021-06-19,295
2021-06-20,295
2021-06-21,295
2021-06-22,295
2021-06-23,295
2021-06-24,295
2021-06-25,295
2021-06-26,298
2021-06-27,298
2021-06-28,298
2021-06-29,298
2021-06-30,298
2021-07-01,313
2021-07-02,350
2021-07-03,392
2021-07-04,456
2021-07-05,456
2021-07-06,456
2021-07-07,793
2021-07-08,793
2021-07-09,793
2021-07-10,1147
2021-07-11,1147
2021-07-12,1147
2021-07-13,1147
2021-07-14,1147
2021-07-15,1147
2021-07-16,1931
2021-07-17,1993
2021-07-18,2024
2021-07-19,2024
2021-07-20,2024
2021-07-21,2024
2021-07-22,2210
2021-07-23,2210
2021-07-24,2210
2021-07-25,2389
2021-07-26,2389
2021-07-27,2389
2021-07-28,2389
2021-07-29,2389
2021-07-30,2500
2021-07-31,2500
2021-08-01,2500
2021-08-02,2500
2021-08-03,2500
2021-08-04,2500
2021-08-05,2500
2021-08-06,2500
2021-08-07,2500
2021-08-08,2532
2021-08-09,2532
2021-08-10,2532
2021-08-11,2532
2021-08-12,2532
