dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,-4
2020-02-16,-7
2020-02-17,-7
2020-02-18,-4
2020-02-19,-9
2020-02-20,-10
2020-02-21,-9
2020-02-22,-3
2020-02-23,-6
2020-02-24,-5
2020-02-25,-4
2020-02-26,-9
2020-02-27,-9
2020-02-28,-8
2020-02-29,-3
2020-03-01,-3
2020-03-02,-5
2020-03-03,-6
2020-03-04,-15
2020-03-05,-8
2020-03-06,-5
2020-03-07,4
2020-03-08,2
2020-03-09,-5
2020-03-10,-5
2020-03-11,-9
2020-03-12,-10
2020-03-13,-12
2020-03-14,-9
2020-03-15,-10
2020-03-16,-10
2020-03-17,-13
2020-03-18,-18
2020-03-19,-17
2020-03-20,-14
2020-03-21,-12
2020-03-22,-15
2020-03-23,-11
2020-03-24,-12
2020-03-25,-17
2020-03-26,-17
2020-03-27,-18
2020-03-28,-20
2020-03-29,-29
2020-03-30,-27
2020-03-31,-19
2020-04-01,-39
2020-04-02,-42
2020-04-03,-43
2020-04-04,-42
2020-04-05,-44
2020-04-06,-36
2020-04-07,-34
2020-04-08,-39
2020-04-09,-38
2020-04-10,-36
2020-04-11,-33
2020-04-12,-40
2020-04-13,-37
2020-04-14,-31
2020-04-15,-34
2020-04-16,-30
2020-04-17,-30
2020-04-18,-28
2020-04-19,-30
2020-04-20,-26
2020-04-21,-26
2020-04-22,-29
2020-04-23,-29
2020-04-24,-29
2020-04-25,-21
2020-04-26,-22
2020-04-27,-16
2020-04-28,-13
2020-04-29,-9
2020-04-30,9
2020-05-01,0
2020-05-02,-1
2020-05-03,-5
2020-05-04,-1
2020-05-05,1
2020-05-06,1
2020-05-07,1
2020-05-08,1
2020-05-09,6
2020-05-10,7
2020-05-11,10
2020-05-12,9
2020-05-13,1
2020-05-14,5
2020-05-15,5
2020-05-16,11
2020-05-17,9
2020-05-18,9
2020-05-19,5
2020-05-20,3
2020-05-21,5
2020-05-22,7
2020-05-23,8
2020-05-24,8
2020-05-25,2
2020-05-26,7
2020-05-27,1
2020-05-28,4
2020-05-29,4
2020-05-30,8
2020-05-31,12
2020-06-01,8
2020-06-02,7
2020-06-03,3
2020-06-04,2
2020-06-05,9
2020-06-06,13
2020-06-07,9
2020-06-08,9
2020-06-09,6
2020-06-10,-1
2020-06-11,8
2020-06-12,8
2020-06-13,4
2020-06-14,3
2020-06-15,7
2020-06-16,10
2020-06-17,6
2020-06-18,5
2020-06-19,6
2020-06-20,11
2020-06-21,7
2020-06-22,9
2020-06-23,10
2020-06-24,6
2020-06-25,8
2020-06-26,3
2020-06-27,8
2020-06-28,1
2020-06-29,5
2020-06-30,8
2020-07-01,2
2020-07-02,0
2020-07-03,4
2020-07-04,10
2020-07-05,5
2020-07-06,8
2020-07-07,10
2020-07-08,3
2020-07-09,5
2020-07-10,8
2020-07-11,13
2020-07-12,10
2020-07-13,9
2020-07-14,8
2020-07-15,5
2020-07-16,5
2020-07-17,7
2020-07-18,10
2020-07-19,11
2020-07-20,11
2020-07-21,9
2020-07-22,4
2020-07-23,1
2020-07-24,5
2020-07-25,13
2020-07-26,9
2020-07-27,12
2020-07-28,10
2020-07-29,2
2020-07-30,2
2020-07-31,-3
2020-08-01,-3
2020-08-02,-18
2020-08-03,0
2020-08-04,1
2020-08-05,-9
2020-08-06,-6
2020-08-07,0
2020-08-08,2
2020-08-09,0
2020-08-10,6
2020-08-11,6
2020-08-12,1
2020-08-13,-2
2020-08-14,1
2020-08-15,8
2020-08-16,2
2020-08-17,4
2020-08-18,7
2020-08-19,-2
2020-08-20,0
2020-08-21,-1
2020-08-22,3
2020-08-23,3
2020-08-24,1
2020-08-25,7
2020-08-26,2
2020-08-27,3
2020-08-28,3
2020-08-29,8
2020-08-30,6
2020-08-31,10
2020-09-01,19
2020-09-02,13
2020-09-03,4
2020-09-04,4
2020-09-05,8
2020-09-06,3
2020-09-07,8
2020-09-08,11
2020-09-09,3
2020-09-10,4
2020-09-11,6
2020-09-12,9
2020-09-13,11
2020-09-14,6
2020-09-15,14
2020-09-16,10
2020-09-17,-1
2020-09-18,-3
2020-09-19,-1
2020-09-20,7
2020-09-21,8
2020-09-22,2
2020-09-23,-2
2020-09-24,-3
2020-09-25,0
2020-09-26,5
2020-09-27,-1
2020-09-28,3
2020-09-29,4
2020-09-30,7
2020-10-01,6
2020-10-02,-4
2020-10-03,2
2020-10-04,2
2020-10-05,-2
2020-10-06,3
2020-10-07,-5
2020-10-08,-5
2020-10-09,-6
2020-10-10,0
2020-10-11,1
2020-10-12,1
2020-10-13,1
2020-10-14,-13
2020-10-15,-8
2020-10-16,2
2020-10-17,4
2020-10-18,3
2020-10-19,7
2020-10-20,12
2020-10-21,1
2020-10-22,4
2020-10-23,5
2020-10-24,12
2020-10-25,9
2020-10-26,6
2020-10-27,9
2020-10-28,-8
2020-10-29,-8
2020-10-30,-4
2020-10-31,2
2020-11-01,5
2020-11-02,0
2020-11-03,4
2020-11-04,-2
2020-11-05,-4
2020-11-06,-5
2020-11-07,3
2020-11-08,3
2020-11-09,-2
2020-11-10,-1
2020-11-11,-1
2020-11-12,-3
2020-11-13,1
2020-11-14,7
2020-11-15,0
2020-11-16,-7
2020-11-17,4
2020-11-18,0
2020-11-19,2
2020-11-20,4
2020-11-21,6
2020-11-22,6
2020-11-23,0
2020-11-24,2
2020-11-25,-3
2020-11-26,-3
2020-11-27,-1
2020-11-28,5
2020-11-29,1
2020-11-30,-3
2020-12-01,1
2020-12-02,-2
2020-12-03,-1
2020-12-04,0
2020-12-05,6
2020-12-06,6
2020-12-07,0
2020-12-08,2
2020-12-09,-2
2020-12-10,1
2020-12-11,6
2020-12-12,12
2020-12-13,15
2020-12-14,4
2020-12-15,7
2020-12-16,2
2020-12-17,5
2020-12-18,4
2020-12-19,11
2020-12-20,11
2020-12-21,8
2020-12-22,9
2020-12-23,3
2020-12-24,16
2020-12-25,7
2020-12-26,10
2020-12-27,9
2020-12-28,8
2020-12-29,7
2020-12-30,2
2020-12-31,16
2021-01-01,20
2021-01-02,11
2021-01-03,7
2021-01-04,5
2021-01-05,6
2021-01-06,3
2021-01-07,3
2021-01-08,3
2021-01-09,9
2021-01-10,10
2021-01-11,7
2021-01-12,11
2021-01-13,2
2021-01-14,0
2021-01-15,-1
2021-01-16,4
2021-01-17,3
2021-01-18,2
2021-01-19,2
2021-01-20,-2
2021-01-21,-1
2021-01-22,-1
2021-01-23,6
2021-01-24,7
2021-01-25,3
2021-01-26,6
2021-01-27,1
2021-01-28,2
2021-01-29,4
2021-01-30,11
2021-01-31,12
2021-02-01,11
2021-02-02,14
2021-02-03,11
2021-02-04,10
2021-02-05,13
2021-02-06,21
2021-02-07,22
2021-02-08,32
2021-02-09,35
2021-02-10,57
2021-02-11,30
2021-02-12,-29
2021-02-13,-16
2021-02-14,-14
2021-02-15,-7
2021-02-16,-8
2021-02-17,-7
2021-02-18,-8
2021-02-19,-5
2021-02-20,-1
2021-02-21,3
2021-02-22,-2
2021-02-23,0
2021-02-24,-4
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,-2
2021-03-01,0
2021-03-02,4
2021-03-03,-1
2021-03-04,0
2021-03-05,2
2021-03-06,10
2021-03-07,13
2021-03-08,17
2021-03-09,8
2021-03-10,5
2021-03-11,6
2021-03-12,10
2021-03-13,13
2021-03-14,15
2021-03-15,10
2021-03-16,10
2021-03-17,6
2021-03-18,7
2021-03-19,8
2021-03-20,13
2021-03-21,9
2021-03-22,10
2021-03-23,12
2021-03-24,7
2021-03-25,6
2021-03-26,9
2021-03-27,13
2021-03-28,12
2021-03-29,11
2021-03-30,12
2021-03-31,9
2021-04-01,8
2021-04-02,7
2021-04-03,15
2021-04-04,14
2021-04-05,13
2021-04-06,14
2021-04-07,9
2021-04-08,9
2021-04-09,7
2021-04-10,15
2021-04-11,21
2021-04-12,14
2021-04-13,16
2021-04-14,11
2021-04-15,10
2021-04-16,12
2021-04-17,9
2021-04-18,18
2021-04-19,15
2021-04-20,22
2021-04-21,23
2021-04-22,9
2021-04-23,8
2021-04-24,16
2021-04-25,14
2021-04-26,9
2021-04-27,17
2021-04-28,13
2021-04-29,25
2021-04-30,33
2021-05-01,21
2021-05-02,14
2021-05-03,18
2021-05-04,15
2021-05-05,4
2021-05-06,8
2021-05-07,7
2021-05-08,6
2021-05-09,3
2021-05-10,6
2021-05-11,10
2021-05-12,4
2021-05-13,1
2021-05-14,3
2021-05-15,6
2021-05-16,7
2021-05-17,6
2021-05-18,9
2021-05-19,2
2021-05-20,4
2021-05-21,-1
2021-05-22,1
2021-05-23,0
2021-05-24,1
2021-05-25,-3
2021-05-26,2
2021-05-27,0
2021-05-28,0
2021-05-29,1
2021-05-30,1
2021-05-31,3
2021-06-01,5
2021-06-02,-5
2021-06-03,-5
2021-06-04,-3
2021-06-05,-2
2021-06-06,-6
2021-06-07,-6
2021-06-08,-4
2021-06-09,-1
2021-06-10,-3
2021-06-11,-3
2021-06-12,-4
2021-06-13,-5
2021-06-14,1
2021-06-15,-1
2021-06-16,-5
2021-06-17,-8
2021-06-18,-7
2021-06-19,-5
2021-06-20,-10
2021-06-21,-4
2021-06-22,-3
2021-06-23,-4
2021-06-24,-7
2021-06-25,-8
2021-06-26,-6
2021-06-27,-10
2021-06-28,-6
2021-06-29,-6
2021-06-30,-13
2021-07-01,-9
2021-07-02,-9
2021-07-03,-8
2021-07-04,-12
2021-07-05,-7
2021-07-06,-2
2021-07-07,-9
2021-07-08,-2
2021-07-09,-10
2021-07-10,-11
2021-07-11,-17
2021-07-12,-15
2021-07-13,-13
2021-07-14,-15
2021-07-15,-23
2021-07-16,-19
2021-07-17,-18
2021-07-18,-24
2021-07-19,-29
2021-07-20,-29
2021-07-21,-33
2021-07-22,-34
2021-07-23,-37
2021-07-24,-33
2021-07-25,-42
2021-07-26,-38
2021-07-27,-40
2021-07-28,-44
2021-07-29,-46
2021-07-30,-43
2021-07-31,-43
2021-08-01,-48
2021-08-02,-43
2021-08-03,-42
2021-08-04,-45
2021-08-05,-45
2021-08-06,-45
2021-08-07,-43
2021-08-08,-50
2021-08-09,-44
2021-08-10,-45
2021-08-11,-46
2021-08-12,-44
2021-08-13,-44
2021-08-14,-43
2021-08-15,-47
2021-08-16,-43
2021-08-17,-43
2021-08-18,-46
2021-08-19,-45
2021-08-20,-42
2021-08-21,-36
2021-08-22,-45
2021-08-23,-54
2021-08-24,-54
2021-08-25,-55
2021-08-26,-55
2021-08-27,-55
2021-08-28,-55
2021-08-29,-57
2021-08-30,-53
2021-08-31,-51
2021-09-01,-51
2021-09-02,-53
2021-09-03,-55
2021-09-04,-54
2021-09-05,-55
2021-09-06,-46
2021-09-07,-47
2021-09-08,-52
2021-09-09,-49
2021-09-10,-47
2021-09-11,-47
2021-09-12,-48
2021-09-13,-44
2021-09-14,-43
2021-09-15,-43
2021-09-16,-40
2021-09-17,-40
2021-09-18,-37
2021-09-19,-39
2021-09-20,-32
2021-09-21,-27
2021-09-22,-37
2021-09-23,-38
2021-09-24,-42
2021-09-25,-35
2021-09-26,-35
2021-09-27,-31
2021-09-28,-29
2021-09-29,-33
2021-09-30,-31
2021-10-01,-23
2021-10-02,-20
2021-10-03,-16
2021-10-04,-17
2021-10-05,-13
2021-10-06,-20
2021-10-07,-20
2021-10-08,-18
2021-10-09,-18
2021-10-10,-25
2021-10-11,-21
2021-10-12,-7
2021-10-13,-18
2021-10-14,-18
2021-10-15,-19
2021-10-16,-11
2021-10-17,-5
2021-10-18,-8
2021-10-19,0
2021-10-20,-1
2021-10-21,-9
2021-10-22,-8
2021-10-23,-4
2021-10-24,-3
2021-10-25,-3
2021-10-26,-2
2021-10-27,-9
2021-10-28,-12
2021-10-29,-12
2021-10-30,-5
2021-10-31,-2
2021-11-01,-5
2021-11-02,-4
2021-11-03,-5
2021-11-04,-2
2021-11-05,-6
2021-11-06,-2
2021-11-07,-2
2021-11-08,-6
2021-11-09,-4
2021-11-10,-6
2021-11-11,-10
2021-11-12,-6
2021-11-13,-2
2021-11-14,-3
2021-11-15,-5
2021-11-16,-4
2021-11-17,-9
2021-11-18,-2
2021-11-19,-3
2021-11-20,-1
2021-11-21,-2
2021-11-22,-7
2021-11-23,-4
2021-11-24,-8
2021-11-25,-7
2021-11-26,-7
2021-11-27,-4
2021-11-28,-6
2021-11-29,-7
2021-11-30,-7
2021-12-01,-7
2021-12-02,-6
2021-12-03,-3
2021-12-04,-1
2021-12-05,-1
2021-12-06,-3
2021-12-07,0
2021-12-08,-5
2021-12-09,-6
2021-12-10,-3
2021-12-11,3
2021-12-12,2
2021-12-13,-1
2021-12-14,1
2021-12-15,-4
2021-12-16,-3
2021-12-17,-1
2021-12-18,3
2021-12-19,0
2021-12-20,0
2021-12-21,3
2021-12-22,-3
2021-12-23,-2
2021-12-24,5
2021-12-25,2
2021-12-26,-3
2021-12-27,-5
2021-12-28,0
2021-12-29,-3
2021-12-30,-1
2021-12-31,8
2022-01-01,12
2022-01-02,5
2022-01-03,4
2022-01-04,3
2022-01-05,-1
2022-01-06,0
2022-01-07,1
2022-01-08,5
2022-01-09,5
2022-01-10,5
2022-01-11,9
2022-01-12,5
2022-01-13,4
2022-01-14,6
2022-01-15,14
2022-01-16,16
2022-01-17,7
2022-01-18,15
2022-01-19,10
2022-01-20,11
2022-01-21,10
2022-01-22,24
2022-01-23,28
2022-01-24,31
2022-01-25,34
2022-01-26,31
2022-01-27,41
2022-01-28,51
2022-01-29,59
2022-01-30,67
2022-01-31,54
2022-02-01,-15
2022-02-02,-4
2022-02-03,-1
2022-02-04,2
2022-02-05,-3
2022-02-06,-1
2022-02-07,10
2022-02-08,10
2022-02-09,7
2022-02-10,12
2022-02-11,5
2022-02-12,8
2022-02-13,10
2022-02-14,23
