dates,covid19mobilitytrend_transporthub
2020-02-15,-9
2020-02-16,-11
2020-02-17,-11
2020-02-18,-9
2020-02-19,-12
2020-02-20,-15
2020-02-21,-12
2020-02-22,-9
2020-02-23,-12
2020-02-24,-10
2020-02-25,-9
2020-02-26,-11
2020-02-27,-13
2020-02-28,-9
2020-02-29,-5
2020-03-01,-5
2020-03-02,-9
2020-03-03,-10
2020-03-04,-17
2020-03-05,-14
2020-03-06,-9
2020-03-07,-9
2020-03-08,-11
2020-03-09,-15
2020-03-10,-15
2020-03-11,-17
2020-03-12,-21
2020-03-13,-21
2020-03-14,-21
2020-03-15,-23
2020-03-16,-23
2020-03-17,-24
2020-03-18,-28
2020-03-19,-30
2020-03-20,-27
2020-03-21,-27
2020-03-22,-32
2020-03-23,-29
2020-03-24,-29
2020-03-25,-31
2020-03-26,-35
2020-03-27,-35
2020-03-28,-41
2020-03-29,-49
2020-03-30,-48
2020-03-31,-47
2020-04-01,-59
2020-04-02,-67
2020-04-03,-64
2020-04-04,-64
2020-04-05,-67
2020-04-06,-61
2020-04-07,-59
2020-04-08,-60
2020-04-09,-60
2020-04-10,-59
2020-04-11,-58
2020-04-12,-64
2020-04-13,-61
2020-04-14,-56
2020-04-15,-57
2020-04-16,-54
2020-04-17,-54
2020-04-18,-53
2020-04-19,-56
2020-04-20,-51
2020-04-21,-51
2020-04-22,-52
2020-04-23,-51
2020-04-24,-47
2020-04-25,-41
2020-04-26,-41
2020-04-27,-36
2020-04-28,-30
2020-04-29,-20
2020-04-30,-13
2020-05-01,-27
2020-05-02,-20
2020-05-03,-10
2020-05-04,-10
2020-05-05,-8
2020-05-06,-8
2020-05-07,-11
2020-05-08,-8
2020-05-09,-5
2020-05-10,-3
2020-05-11,-1
2020-05-12,1
2020-05-13,-5
2020-05-14,-6
2020-05-15,-3
2020-05-16,1
2020-05-17,-1
2020-05-18,-2
2020-05-19,-3
2020-05-20,-5
2020-05-21,-7
2020-05-22,-3
2020-05-23,-4
2020-05-24,-2
2020-05-25,-8
2020-05-26,-3
2020-05-27,-7
2020-05-28,-6
2020-05-29,-2
2020-05-30,-2
2020-05-31,1
2020-06-01,-4
2020-06-02,-2
2020-06-03,-3
2020-06-04,-8
2020-06-05,-1
2020-06-06,0
2020-06-07,-2
2020-06-08,-3
2020-06-09,-4
2020-06-10,-8
2020-06-11,-7
2020-06-12,-2
2020-06-13,-6
2020-06-14,-8
2020-06-15,-6
2020-06-16,-2
2020-06-17,-5
2020-06-18,-8
2020-06-19,-3
2020-06-20,-3
2020-06-21,-6
2020-06-22,-5
2020-06-23,-4
2020-06-24,-5
2020-06-25,-9
2020-06-26,-3
2020-06-27,-2
2020-06-28,-6
2020-06-29,-5
2020-06-30,-3
2020-07-01,-6
2020-07-02,-10
2020-07-03,-4
2020-07-04,-3
2020-07-05,-4
2020-07-06,-4
2020-07-07,-1
2020-07-08,-6
2020-07-09,-5
2020-07-10,0
2020-07-11,2
2020-07-12,1
2020-07-13,-3
2020-07-14,-1
2020-07-15,-5
2020-07-16,-6
2020-07-17,-2
2020-07-18,-1
2020-07-19,0
2020-07-20,-3
2020-07-21,-3
2020-07-22,-4
2020-07-23,-9
2020-07-24,-2
2020-07-25,2
2020-07-26,0
2020-07-27,-1
2020-07-28,-3
2020-07-29,-8
2020-07-30,-14
2020-07-31,-17
2020-08-01,-20
2020-08-02,-35
2020-08-03,-23
2020-08-04,-21
2020-08-05,-26
2020-08-06,-27
2020-08-07,-22
2020-08-08,-21
2020-08-09,-25
2020-08-10,-20
2020-08-11,-18
2020-08-12,-20
2020-08-13,-25
2020-08-14,-22
2020-08-15,-17
2020-08-16,-23
2020-08-17,-20
2020-08-18,-18
2020-08-19,-23
2020-08-20,-22
2020-08-21,-22
2020-08-22,-20
2020-08-23,-22
2020-08-24,-21
2020-08-25,-16
2020-08-26,-18
2020-08-27,-20
2020-08-28,-17
2020-08-29,-14
2020-08-30,-16
2020-08-31,-15
2020-09-01,-8
2020-09-02,-21
2020-09-03,-17
2020-09-04,-16
2020-09-05,-15
2020-09-06,-18
2020-09-07,-12
2020-09-08,-8
2020-09-09,-12
2020-09-10,-14
2020-09-11,-11
2020-09-12,-11
2020-09-13,-12
2020-09-14,-13
2020-09-15,-7
2020-09-16,-10
2020-09-17,-18
2020-09-18,-14
2020-09-19,-18
2020-09-20,-13
2020-09-21,-10
2020-09-22,-10
2020-09-23,-14
2020-09-24,-15
2020-09-25,-8
2020-09-26,-7
2020-09-27,-11
2020-09-28,-10
2020-09-29,-9
2020-09-30,-7
2020-10-01,-10
2020-10-02,-7
2020-10-03,-7
2020-10-04,-6
2020-10-05,-7
2020-10-06,-3
2020-10-07,-8
2020-10-08,-11
2020-10-09,-9
2020-10-10,-7
2020-10-11,-9
2020-10-12,-8
2020-10-13,-7
2020-10-14,-18
2020-10-15,-16
2020-10-16,-5
2020-10-17,-7
2020-10-18,-9
2020-10-19,-2
2020-10-20,2
2020-10-21,-7
2020-10-22,-8
2020-10-23,-3
2020-10-24,-1
2020-10-25,-3
2020-10-26,-5
2020-10-27,-3
2020-10-28,-13
2020-10-29,-15
2020-10-30,-9
2020-10-31,-7
2020-11-01,-6
2020-11-02,-7
2020-11-03,-4
2020-11-04,-8
2020-11-05,-12
2020-11-06,-7
2020-11-07,-6
2020-11-08,-7
2020-11-09,-8
2020-11-10,-7
2020-11-11,-8
2020-11-12,-12
2020-11-13,-5
2020-11-14,-4
2020-11-15,-11
2020-11-16,-11
2020-11-17,-5
2020-11-18,-5
2020-11-19,-6
2020-11-20,-2
2020-11-21,-3
2020-11-22,-1
2020-11-23,-5
2020-11-24,-4
2020-11-25,-7
2020-11-26,-10
2020-11-27,-5
2020-11-28,-4
2020-11-29,-8
2020-11-30,-9
2020-12-01,-7
2020-12-02,-9
2020-12-03,-12
2020-12-04,-8
2020-12-05,-7
2020-12-06,-9
2020-12-07,-11
2020-12-08,-8
2020-12-09,-10
2020-12-10,-10
2020-12-11,-4
2020-12-12,-3
2020-12-13,-2
2020-12-14,-8
2020-12-15,-5
2020-12-16,-8
2020-12-17,-9
2020-12-18,-5
2020-12-19,-3
2020-12-20,-4
2020-12-21,-4
2020-12-22,-1
2020-12-23,-5
2020-12-24,-1
2020-12-25,-5
2020-12-26,-5
2020-12-27,-7
2020-12-28,-5
2020-12-29,-2
2020-12-30,-2
2020-12-31,16
2021-01-01,-1
2021-01-02,-12
2021-01-03,2
2021-01-04,-2
2021-01-05,-4
2021-01-06,-7
2021-01-07,-11
2021-01-08,-8
2021-01-09,-8
2021-01-10,-8
2021-01-11,-8
2021-01-12,-5
2021-01-13,-10
2021-01-14,-13
2021-01-15,-11
2021-01-16,-9
2021-01-17,-13
2021-01-18,-10
2021-01-19,-9
2021-01-20,-11
2021-01-21,-13
2021-01-22,-9
2021-01-23,-7
2021-01-24,-7
2021-01-25,-10
2021-01-26,-7
2021-01-27,-9
2021-01-28,-12
2021-01-29,-8
2021-01-30,-8
2021-01-31,-11
2021-02-01,-11
2021-02-02,-9
2021-02-03,-14
2021-02-04,-22
2021-02-05,-15
2021-02-06,-8
2021-02-07,-8
2021-02-08,-13
2021-02-09,-14
2021-02-10,-18
2021-02-11,-42
2021-02-12,-53
2021-02-13,-42
2021-02-14,-40
2021-02-15,-35
2021-02-16,-31
2021-02-17,-27
2021-02-18,-35
2021-02-19,-30
2021-02-20,-28
2021-02-21,-25
2021-02-22,-27
2021-02-23,-25
2021-02-24,-28
2021-02-25,-30
2021-02-26,-27
2021-02-27,-22
2021-02-28,-21
2021-03-01,-21
2021-03-02,-17
2021-03-03,-21
2021-03-04,-23
2021-03-05,-19
2021-03-06,-16
2021-03-07,-13
2021-03-08,-12
2021-03-09,-14
2021-03-10,-16
2021-03-11,-17
2021-03-12,-12
2021-03-13,-12
2021-03-14,-8
2021-03-15,-11
2021-03-16,-11
2021-03-17,-13
2021-03-18,-13
2021-03-19,-8
2021-03-20,-7
2021-03-21,-10
2021-03-22,-9
2021-03-23,-7
2021-03-24,-10
2021-03-25,-13
2021-03-26,-7
2021-03-27,-8
2021-03-28,-5
2021-03-29,-8
2021-03-30,-6
2021-03-31,-7
2021-04-01,-10
2021-04-02,-7
2021-04-03,-4
2021-04-04,-5
2021-04-05,-6
2021-04-06,-4
2021-04-07,-8
2021-04-08,-11
2021-04-09,-7
2021-04-10,-5
2021-04-11,-1
2021-04-12,-7
2021-04-13,-4
2021-04-14,-8
2021-04-15,-9
2021-04-16,-4
2021-04-17,-10
2021-04-18,-3
2021-04-19,-4
2021-04-20,3
2021-04-21,-7
2021-04-22,-9
2021-04-23,-6
2021-04-24,-5
2021-04-25,-8
2021-04-26,-10
2021-04-27,0
2021-04-28,3
2021-04-29,25
2021-04-30,15
2021-05-01,-15
2021-05-02,-3
2021-05-03,0
2021-05-04,-3
2021-05-05,-16
2021-05-06,-19
2021-05-07,-21
2021-05-08,-25
2021-05-09,-29
2021-05-10,-26
2021-05-11,-25
2021-05-12,-28
2021-05-13,-35
2021-05-14,-33
2021-05-15,-34
2021-05-16,-36
2021-05-17,-33
2021-05-18,-30
2021-05-19,-33
2021-05-20,-36
2021-05-21,-35
2021-05-22,-35
2021-05-23,-39
2021-05-24,-35
2021-05-25,-38
2021-05-26,-33
2021-05-27,-38
2021-05-28,-37
2021-05-29,-38
2021-05-30,-41
2021-05-31,-40
2021-06-01,-39
2021-06-02,-44
2021-06-03,-46
2021-06-04,-44
2021-06-05,-45
2021-06-06,-50
2021-06-07,-47
2021-06-08,-45
2021-06-09,-43
2021-06-10,-46
2021-06-11,-44
2021-06-12,-46
2021-06-13,-50
2021-06-14,-44
2021-06-15,-41
2021-06-16,-43
2021-06-17,-46
2021-06-18,-45
2021-06-19,-46
2021-06-20,-51
2021-06-21,-46
2021-06-22,-44
2021-06-23,-45
2021-06-24,-47
2021-06-25,-46
2021-06-26,-47
2021-06-27,-50
2021-06-28,-46
2021-06-29,-45
2021-06-30,-47
2021-07-01,-47
2021-07-02,-46
2021-07-03,-47
2021-07-04,-51
2021-07-05,-46
2021-07-06,-43
2021-07-07,-47
2021-07-08,-45
2021-07-09,-52
2021-07-10,-54
2021-07-11,-58
2021-07-12,-55
2021-07-13,-53
2021-07-14,-55
2021-07-15,-59
2021-07-16,-57
2021-07-17,-58
2021-07-18,-62
2021-07-19,-62
2021-07-20,-61
2021-07-21,-63
2021-07-22,-66
2021-07-23,-68
2021-07-24,-68
2021-07-25,-74
2021-07-26,-72
2021-07-27,-72
2021-07-28,-74
2021-07-29,-76
2021-07-30,-75
2021-07-31,-75
2021-08-01,-78
2021-08-02,-75
2021-08-03,-74
2021-08-04,-75
2021-08-05,-76
2021-08-06,-75
2021-08-07,-75
2021-08-08,-78
2021-08-09,-75
2021-08-10,-75
2021-08-11,-75
2021-08-12,-76
2021-08-13,-75
2021-08-14,-75
2021-08-15,-76
2021-08-16,-74
2021-08-17,-73
2021-08-18,-74
2021-08-19,-75
2021-08-20,-74
2021-08-21,-72
2021-08-22,-75
2021-08-23,-79
2021-08-24,-79
2021-08-25,-79
2021-08-26,-80
2021-08-27,-79
2021-08-28,-80
2021-08-29,-81
2021-08-30,-78
