dates,covid19mobilitytrend_grocerystoreandpharmacy
2020-02-15,3
2020-02-16,2
2020-02-17,3
2020-02-18,2
2020-02-19,-1
2020-02-20,0
2020-02-21,1
2020-02-22,5
2020-02-23,2
2020-02-24,4
2020-02-25,3
2020-02-26,0
2020-02-27,1
2020-02-28,4
2020-02-29,6
2020-03-01,-3
2020-03-02,5
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,2
2020-03-07,2
2020-03-08,1
2020-03-09,3
2020-03-10,0
2020-03-11,0
2020-03-12,-1
2020-03-13,1
2020-03-14,3
2020-03-15,1
2020-03-16,3
2020-03-17,0
2020-03-18,-1
2020-03-19,0
2020-03-20,4
2020-03-21,7
2020-03-22,1
2020-03-23,3
2020-03-24,-2
2020-03-25,-7
2020-03-26,-4
2020-03-27,-3
2020-03-28,2
2020-03-29,-1
2020-03-30,0
2020-03-31,-1
2020-04-01,-3
2020-04-02,-6
2020-04-03,0
2020-04-04,5
2020-04-05,2
2020-04-06,2
2020-04-07,2
2020-04-08,-2
2020-04-09,-3
2020-04-10,-2
2020-04-11,-1
2020-04-12,-3
2020-04-13,-2
2020-04-14,-4
2020-04-15,-3
2020-04-16,1
2020-04-17,2
2020-04-18,3
2020-04-19,4
2020-04-20,2
2020-04-21,-1
2020-04-22,-1
2020-04-23,-1
2020-04-24,-9
2020-04-25,-6
2020-04-26,-9
2020-04-27,-6
2020-04-28,-4
2020-04-29,-3
2020-04-30,-9
2020-05-01,-4
2020-05-02,-7
2020-05-03,-11
2020-05-04,-9
2020-05-05,-8
2020-05-06,-1
2020-05-07,-2
2020-05-08,9
2020-05-09,4
2020-05-10,1
2020-05-11,6
2020-05-12,4
2020-05-13,-1
2020-05-14,3
2020-05-15,16
2020-05-16,9
2020-05-17,2
2020-05-18,9
2020-05-19,3
2020-05-20,4
2020-05-21,5
2020-05-22,21
2020-05-23,11
2020-05-24,-7
2020-05-25,-12
2020-05-26,-16
2020-05-27,-18
2020-05-28,-16
2020-05-29,-7
2020-05-30,-6
2020-05-31,-6
