dates,cumulativecount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,1
2020-03-08,2
2020-03-09,3
2020-03-10,7
2020-03-11,7
2020-03-12,13
2020-03-13,16
2020-03-14,24
2020-03-15,38
2020-03-16,51
2020-03-17,62
2020-03-18,85
2020-03-19,116
2020-03-20,150
2020-03-21,202
2020-03-22,240
2020-03-23,274
2020-03-24,402
2020-03-25,554
2020-03-26,707
2020-03-27,926
2020-03-28,1170
2020-03-29,1187
2020-03-30,1280
2020-03-31,1326
2020-04-01,1353
2020-04-02,1380
2020-04-03,1462
2020-04-04,1505
2020-04-05,1585
2020-04-06,1655
2020-04-07,1686
2020-04-08,1749
2020-04-09,1845
2020-04-10,1934
2020-04-11,2003
2020-04-12,2028
2020-04-13,2173
2020-04-14,2272
2020-04-15,2415
2020-04-16,2506
2020-04-17,2605
2020-04-18,2783
2020-04-19,3034
2020-04-20,3158
2020-04-21,3300
2020-04-22,3465
2020-04-23,3635
2020-04-24,3953
2020-04-25,4220
2020-04-26,4361
2020-04-27,4546
2020-04-28,4793
2020-04-29,4996
2020-04-30,5350
2020-05-01,5647
2020-05-02,5951
2020-05-03,6336
2020-05-04,6783
2020-05-05,7220
2020-05-06,7572
2020-05-07,7808
2020-05-08,8232
2020-05-09,8895
2020-05-10,9420
2020-05-11,10015
2020-05-12,10652
2020-05-13,11350
2020-05-14,12074
2020-05-15,12739
2020-05-16,13524
2020-05-17,14355
2020-05-18,15515
2020-05-19,16433
2020-05-20,17200
2020-05-21,18003
2020-05-22,19137
2020-05-23,20125
2020-05-24,21343
2020-05-25,22583
2020-05-26,23615
2020-05-27,24264
2020-05-28,25937
2020-05-29,27403
2020-05-30,29240
2020-05-31,30967
2020-06-01,32683
2020-06-02,34357
2020-06-03,35812
2020-06-04,37525
2020-06-05,40792
2020-06-06,43434
2020-06-07,45973
2020-06-08,48285
2020-06-09,50879
2020-06-10,52991
2020-06-11,55421
2020-06-12,58568
2020-06-13,61927
2020-06-14,65736
2020-06-15,70038
2020-06-16,73533
2020-06-17,76334
2020-06-18,80412
2020-06-19,83890
2020-06-20,87715
2020-06-21,92681
2020-06-22,97302
2020-06-23,101590
2020-06-24,106108
2020-06-25,111796
2020-06-26,118375
2020-06-27,124590
2020-06-28,131800
2020-06-29,138134
2020-06-30,144264
2020-07-01,151209
2020-07-02,159333
2020-07-03,168061
2020-07-04,177124
2020-07-05,187977
2020-07-06,196750
2020-07-07,205721
2020-07-08,215855
2020-07-09,224665
2020-07-10,238338
2020-07-11,250687
2020-07-12,264184
2020-07-13,276242
2020-07-14,287796
2020-07-15,298292
2020-07-16,311049
2020-07-17,324221
2020-07-18,337594
2020-07-19,350879
2020-07-20,364328
2020-07-21,373628
2020-07-22,381798
2020-07-23,394948
2020-07-24,408052
2020-07-25,421996
2020-07-26,434200
2020-07-27,445433
2020-07-28,452529
2020-07-29,459761
2020-07-30,471123
2020-07-31,482169
2020-08-01,493183
2020-08-02,503290
2020-08-03,511485
2020-08-04,516862
2020-08-05,521318
2020-08-06,529877
2020-08-07,538184
2020-08-08,545476
2020-08-09,553188
2020-08-10,559859
2020-08-11,563598
2020-08-12,566109
2020-08-13,568919
2020-08-14,572865
2020-08-15,579140
2020-08-16,583653
2020-08-17,587345
2020-08-18,589886
2020-08-19,592144
2020-08-20,596060
2020-08-21,599940
2020-08-22,603338
2020-08-23,607045
2020-08-24,609773
2020-08-25,611450
2020-08-26,613017
2020-08-27,615701
2020-08-28,618286
2020-08-29,620132
2020-08-30,622551
2020-08-31,625056
2020-09-01,627041
2020-09-02,628259
2020-09-03,630595
2020-09-04,633015
2020-09-05,635078
2020-09-06,636884
2020-09-07,638517
2020-09-08,639362
2020-09-09,640441
2020-09-10,642431
2020-09-11,644438
2020-09-12,646398
2020-09-13,648214
2020-09-14,649793
2020-09-15,650749
2020-09-16,651521
2020-09-17,653444
2020-09-18,655572
2020-09-19,657627
2020-09-20,659656
2020-09-21,661211
2020-09-22,661936
2020-09-23,663282
2020-09-24,665188
2020-09-25,667049
2020-09-26,668529
2020-09-27,669498
2020-09-28,670766
2020-09-29,671669
2020-09-30,672572
2020-10-01,674339
2020-10-02,676084
2020-10-03,677833
2020-10-04,679716
2020-10-05,681289
2020-10-06,682215
2020-10-07,683242
2020-10-08,685155
2020-10-09,686891
2020-10-10,688532
2020-10-11,690896
2020-10-12,692471
2020-10-13,693359
2020-10-14,694537
2020-10-15,696414
2020-10-16,698184
2020-10-17,700203
2020-10-18,702131
2020-10-19,703793
2020-10-20,705254
2020-10-21,706304
2020-10-22,708359
2020-10-23,710515
2020-10-24,712412
2020-10-25,714246
2020-10-26,715868
2020-10-27,716759
2020-10-28,717851
2020-10-29,719714
2020-10-30,721770
2020-10-31,723682
2020-11-01,725452
2020-11-02,726823
2020-11-03,727595
2020-11-04,728836
2020-11-05,730548
2020-11-06,732414
2020-11-07,734175
2020-11-08,735906
2020-11-09,737278
2020-11-10,738525
2020-11-11,740254
2020-11-12,742394
2020-11-13,744732
2020-11-14,746945
2020-11-15,749182
2020-11-16,751024
2020-11-17,752269
2020-11-18,754256
2020-11-19,757144
2020-11-20,759658
2020-11-21,762763
2020-11-22,765409
2020-11-23,767679
2020-11-24,769759
2020-11-25,772252
2020-11-26,775502
2020-11-27,778571
2020-11-28,781941
2020-11-29,785139
2020-11-30,787702
2020-12-01,790004
2020-12-02,792299
2020-12-03,796472
2020-12-04,800872
2020-12-05,805804
2020-12-06,810449
2020-12-07,814565
2020-12-08,817878
2020-12-09,821889
2020-12-10,828598
2020-12-11,836764
2020-12-12,845083
2020-12-13,852965
2020-12-14,860964
2020-12-15,866127
2020-12-16,873679
2020-12-17,883687
2020-12-18,892813
2020-12-19,901538
2020-12-20,912477
2020-12-21,921922
2020-12-22,930711
2020-12-23,940212
2020-12-24,954258
2020-12-25,968563
2020-12-26,983359
2020-12-27,994911
2020-12-28,1004413
2020-12-29,1011871
2020-12-30,1021451
2020-12-31,1039161
2021-01-01,1057561
2021-01-02,1073887
2021-01-03,1088889
2021-01-04,1100748
2021-01-05,1113349
2021-01-06,1127759
2021-01-07,1149591
2021-01-08,1170590
2021-01-09,1192570
2021-01-10,1214176
2021-01-11,1231597
2021-01-12,1246643
2021-01-13,1259748
2021-01-14,1278303
2021-01-15,1296806
2021-01-16,1311686
2021-01-17,1325659
2021-01-18,1337926
2021-01-19,1346936
2021-01-20,1356716
2021-01-21,1369426
2021-01-22,1380807
2021-01-23,1392568
2021-01-24,1404839
2021-01-25,1412986
2021-01-26,1417537
2021-01-27,1423578
2021-01-28,1430648
2021-01-29,1437798
2021-01-30,1443939
2021-01-31,1449236
2021-02-01,1453761
2021-02-02,1456309
2021-02-03,1458958
2021-02-04,1463016
2021-02-05,1466767
2021-02-06,1470516
2021-02-07,1473700
2021-02-08,1476135
2021-02-09,1477511
2021-02-10,1479253
2021-02-11,1482412
2021-02-12,1484900
2021-02-13,1487681
2021-02-14,1490063
2021-02-15,1491807
2021-02-16,1492909
2021-02-17,1494119
2021-02-18,1496439
2021-02-19,1498766
2021-02-20,1500677
2021-02-21,1502367
2021-02-22,1503796
2021-02-23,1504588
2021-02-24,1505586
2021-02-25,1507448
2021-02-26,1509124
2021-02-27,1510778
2021-02-28,1512225
2021-03-01,1513393
2021-03-02,1513959
2021-03-03,1514815
2021-03-04,1516262
2021-03-05,1517666
2021-03-06,1518979
2021-03-07,1520206
2021-03-08,1521068
2021-03-09,1521706
2021-03-10,1522697
2021-03-11,1524174
2021-03-12,1525648
2021-03-13,1526873
2021-03-14,1528414
2021-03-15,1529420
2021-03-16,1530033
2021-03-17,1530966
2021-03-18,1532497
2021-03-19,1533961
2021-03-20,1535423
2021-03-21,1536801
2021-03-22,1537852
2021-03-23,1538451
2021-03-24,1538961
2021-03-25,1540009
2021-03-26,1541563
2021-03-27,1543079
2021-03-28,1544466
2021-03-29,1545431
2021-03-30,1545979
2021-03-31,1546735
2021-04-01,1548157
2021-04-02,1549451
2021-04-03,1550724
2021-04-04,1551501
2021-04-05,1551964
2021-04-06,1552416
2021-04-07,1552853
2021-04-08,1553609
2021-04-09,1554975
2021-04-10,1556242
2021-04-11,1557527
2021-04-12,1558458
2021-04-13,1559113
2021-04-14,1559960
2021-04-15,1561559
2021-04-16,1562931
2021-04-17,1564355
2021-04-18,1565680
2021-04-19,1566769
2021-04-20,1567513
2021-04-21,1568366
2021-04-22,1569935
2021-04-23,1571348
2021-04-24,1572985
2021-04-25,1574370
2021-04-26,1575471
2021-04-27,1576320
2021-04-28,1577200
2021-04-29,1578450
2021-04-30,1579536
2021-05-01,1581210
2021-05-02,1582842
2021-05-03,1584064
2021-05-04,1584961
2021-05-05,1586148
2021-05-06,1588221
2021-05-07,1590370
2021-05-08,1592626
2021-05-09,1594817
2021-05-10,1596595
2021-05-11,1597724
2021-05-12,1599272
2021-05-13,1602031
2021-05-14,1605252
2021-05-15,1608393
2021-05-16,1611143
2021-05-17,1613728
2021-05-18,1615485
2021-05-19,1617840
2021-05-20,1621362
2021-05-21,1625003
2021-05-22,1628335
2021-05-23,1632571
2021-05-24,1635465
2021-05-25,1637848
2021-05-26,1640932
2021-05-27,1645555
2021-05-28,1649979
2021-05-29,1654555
2021-05-30,1659070
2021-05-31,1662825
2021-06-01,1665617
2021-06-02,1669231
2021-06-03,1675013
2021-06-04,1680373
2021-06-05,1686041
2021-06-06,1691491
2021-06-07,1696564
2021-06-08,1699849
2021-06-09,1704058
2021-06-10,1712939
