dates,incrementalcount_medicalconditionincident_covid_19_confirmedcase
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,2
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,1
2020-03-24,0
2020-03-25,0
2020-03-26,9
2020-03-27,4
2020-03-28,6
2020-03-29,6
2020-03-30,1
2020-03-31,6
2020-04-01,1
2020-04-02,0
2020-04-03,3
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,1
2020-04-12,0
2020-04-13,3
2020-04-14,2
2020-04-15,0
2020-04-16,3
2020-04-17,0
2020-04-18,4
2020-04-19,5
2020-04-20,4
2020-04-21,4
2020-04-22,5
2020-04-23,4
2020-04-24,2
2020-04-25,8
2020-04-26,0
2020-04-27,3
2020-04-28,2
2020-04-29,6
2020-04-30,2
2020-05-01,9
2020-05-02,3
2020-05-03,10
2020-05-04,5
2020-05-05,13
2020-05-06,2
2020-05-07,7
2020-05-08,7
2020-05-09,14
2020-05-10,85
2020-05-11,15
2020-05-12,0
2020-05-13,174
2020-05-14,5
2020-05-15,208
2020-05-16,14
2020-05-17,11
2020-05-18,74
2020-05-19,8
2020-05-20,11
2020-05-21,60
2020-05-22,34
2020-05-23,54
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,137
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,22
2020-06-02,32
2020-06-03,31
2020-06-04,12
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,46
2020-06-10,35
2020-06-11,17
2020-06-12,41
2020-06-13,28
2020-06-14,36
2020-06-15,1
2020-06-16,24
2020-06-17,23
2020-06-18,7
2020-06-19,4
2020-06-20,14
2020-06-21,8
2020-06-22,14
2020-06-23,0
2020-06-24,25
2020-06-25,12
2020-06-26,8
2020-06-27,34
2020-06-28,14
2020-06-29,12
2020-06-30,11
2020-07-01,26
2020-07-02,38
2020-07-03,8
2020-07-04,87
2020-07-05,55
2020-07-06,40
2020-07-07,5
2020-07-08,68
2020-07-09,42
2020-07-10,69
2020-07-11,29
2020-07-12,99
2020-07-13,71
2020-07-14,78
2020-07-15,80
2020-07-16,138
2020-07-17,119
2020-07-18,190
2020-07-19,170
2020-07-20,168
2020-07-21,178
2020-07-22,60
2020-07-23,197
2020-07-24,116
2020-07-25,154
2020-07-26,475
2020-07-27,153
2020-07-28,71
2020-07-29,450
2020-07-30,247
2020-07-31,306
2020-08-01,408
2020-08-02,265
2020-08-03,119
2020-08-04,233
2020-08-05,213
2020-08-06,229
2020-08-07,142
2020-08-08,323
2020-08-09,416
2020-08-10,182
2020-08-11,125
2020-08-12,65
2020-08-13,226
2020-08-14,162
2020-08-15,358
2020-08-16,165
2020-08-17,157
2020-08-18,493
2020-08-19,145
2020-08-20,237
2020-08-21,154
2020-08-22,255
2020-08-23,204
2020-08-24,251
2020-08-25,66
2020-08-26,89
2020-08-27,139
2020-08-28,225
2020-08-29,178
2020-08-30,123
2020-08-31,123
2020-09-01,72
2020-09-02,284
2020-09-03,34
2020-09-04,108
2020-09-05,116
2020-09-06,70
2020-09-07,67
2020-09-08,60
2020-09-09,116
2020-09-10,160
2020-09-11,102
2020-09-12,109
2020-09-13,143
2020-09-14,73
2020-09-15,181
2020-09-16,99
2020-09-17,68
2020-09-18,41
2020-09-19,96
2020-09-20,46
2020-09-21,61
2020-09-22,44
2020-09-23,214
2020-09-24,54
2020-09-25,48
2020-09-26,24
2020-09-27,97
2020-09-28,29
2020-09-29,19
2020-09-30,55
2020-10-01,44
2020-10-02,43
2020-10-03,28
2020-10-04,144
2020-10-05,78
2020-10-06,37
2020-10-07,81
2020-10-08,54
2020-10-09,77
2020-10-10,38
2020-10-11,76
2020-10-12,43
2020-10-13,91
2020-10-14,38
2020-10-15,29
2020-10-16,43
2020-10-17,53
2020-10-18,77
2020-10-19,64
2020-10-20,44
2020-10-21,85
2020-10-22,18
2020-10-23,35
2020-10-24,60
2020-10-25,22
2020-10-26,20
2020-10-27,63
2020-10-28,43
2020-10-29,42
2020-10-30,40
2020-10-31,90
2020-11-01,17
2020-11-02,48
2020-11-03,63
2020-11-04,118
2020-11-05,37
2020-11-06,72
2020-11-07,49
2020-11-08,89
2020-11-09,46
2020-11-10,17
2020-11-11,26
2020-11-12,39
2020-11-13,20
2020-11-14,37
2020-11-15,4
2020-11-16,26
2020-11-17,64
2020-11-18,56
2020-11-19,37
2020-11-20,70
2020-11-21,23
2020-11-22,21
2020-11-23,30
2020-11-24,30
2020-11-25,12
2020-11-26,69
2020-11-27,18
2020-11-28,16
2020-11-29,20
2020-11-30,19
2020-12-01,39
2020-12-02,18
2020-12-03,35
2020-12-04,30
2020-12-05,127
2020-12-06,41
2020-12-07,18
2020-12-08,15
2020-12-09,32
2020-12-10,99
2020-12-11,29
2020-12-12,70
2020-12-13,56
2020-12-14,57
2020-12-15,48
2020-12-16,106
2020-12-17,24
2020-12-18,52
2020-12-19,72
2020-12-20,44
2020-12-21,96
2020-12-22,52
2020-12-23,113
2020-12-24,241
2020-12-25,112
2020-12-26,337
2020-12-27,100
2020-12-28,163
2020-12-29,109
2020-12-30,234
2020-12-31,285
2021-01-01,263
2021-01-02,272
2021-01-03,233
2021-01-04,353
2021-01-05,410
2021-01-06,652
2021-01-07,850
2021-01-08,802
2021-01-09,1029
2021-01-10,1241
2021-01-11,1161
2021-01-12,868
2021-01-13,1161
2021-01-14,1343
2021-01-15,1700
2021-01-16,1478
2021-01-17,1796
2021-01-18,1531
2021-01-19,602
2021-01-20,1308
2021-01-21,1434
2021-01-22,1264
2021-01-23,1120
2021-01-24,1259
2021-01-25,745
2021-01-26,809
2021-01-27,1476
2021-01-28,1289
2021-01-29,1408
2021-01-30,1305
2021-01-31,1728
2021-02-01,865
2021-02-02,825
2021-02-03,1191
2021-02-04,1256
2021-02-05,1514
2021-02-06,1424
2021-02-07,1000
2021-02-08,1236
2021-02-09,910
2021-02-10,1037
2021-02-11,963
2021-02-12,1025
2021-02-13,1083
2021-02-14,773
2021-02-15,983
2021-02-16,811
2021-02-17,575
2021-02-18,854
2021-02-19,790
2021-02-20,736
2021-02-21,691
2021-02-22,609
2021-02-23,524
2021-02-24,555
2021-02-25,902
2021-02-26,687
2021-02-27,468
2021-02-28,563
2021-03-01,332
2021-03-02,468
2021-03-03,555
2021-03-04,533
2021-03-05,597
2021-03-06,654
2021-03-07,670
2021-03-08,410
2021-03-09,234
2021-03-10,242
2021-03-11,436
2021-03-12,580
2021-03-13,327
2021-03-14,234
2021-03-15,323
2021-03-16,153
2021-03-17,290
2021-03-18,262
2021-03-19,387
2021-03-20,170
2021-03-21,214
2021-03-22,176
2021-03-23,86
2021-03-24,244
2021-03-25,214
2021-03-26,325
2021-03-27,265
2021-03-28,144
2021-03-29,145
2021-03-30,140
2021-03-31,187
2021-04-01,219
2021-04-02,131
2021-04-03,181
2021-04-04,70
2021-04-05,130
2021-04-06,79
2021-04-07,62
2021-04-08,315
2021-04-09,206
2021-04-10,191
2021-04-11,135
2021-04-12,111
2021-04-13,35
2021-04-14,154
2021-04-15,171
2021-04-16,143
2021-04-17,218
2021-04-18,94
2021-04-19,74
2021-04-20,24
2021-04-21,100
2021-04-22,77
2021-04-23,70
2021-04-24,62
2021-04-25,66
2021-04-26,41
2021-04-27,20
2021-04-28,40
2021-04-29,66
2021-04-30,49
2021-05-01,53
2021-05-02,84
2021-05-03,23
2021-05-04,29
2021-05-05,82
2021-05-06,45
2021-05-07,97
2021-05-08,58
2021-05-09,53
2021-05-10,35
2021-05-11,20
2021-05-12,40
2021-05-13,59
2021-05-14,51
2021-05-15,94
2021-05-16,53
2021-05-17,27
2021-05-18,24
2021-05-19,60
2021-05-20,110
2021-05-21,124
2021-05-22,166
2021-05-23,186
2021-05-24,95
2021-05-25,78
2021-05-26,149
2021-05-27,199
2021-05-28,320
2021-05-29,483
2021-05-30,321
2021-05-31,299
2021-06-01,213
2021-06-02,558
2021-06-03,742
2021-06-04,825
2021-06-05,988
2021-06-06,1164
2021-06-07,738
2021-06-08,487
2021-06-09,1231
2021-06-10,1767
2021-06-11,2146
2021-06-12,2065
2021-06-13,2358
2021-06-14,1414
2021-06-15,1388
2021-06-16,2690
2021-06-17,3026
2021-06-18,3394
2021-06-19,2913
2021-06-20,1816
2021-06-21,2060
2021-06-22,1598
2021-06-23,3028
2021-06-24,3367
2021-06-25,3594
2021-06-26,2595
2021-06-27,2816
2021-06-28,2537
2021-06-29,1093
2021-06-30,2395
2021-07-01,2892
2021-07-02,2884
2021-07-03,2781
2021-07-04,1874
2021-07-05,1795
2021-07-06,1231
2021-07-07,1619
2021-07-08,1871
2021-07-09,1453
2021-07-10,1949
2021-07-11,2384
2021-07-12,940
2021-07-13,1013
2021-07-14,2006
2021-07-15,1801
2021-07-16,1580
2021-07-17,1215
2021-07-18,1328
2021-07-19,977
2021-07-20,630
2021-07-21,1323
2021-07-22,971
2021-07-23,1158
2021-07-24,884
2021-07-25,912
2021-07-26,544
2021-07-27,245
2021-07-28,640
2021-07-29,476
2021-07-30,708
2021-07-31,956
2021-08-01,720
2021-08-02,477
2021-08-03,197
2021-08-04,633
2021-08-05,668
2021-08-06,664
2021-08-07,680
2021-08-08,527
