dates,incrementalcount_vaccine_covid_19_administered
2021-04-15,106
2021-04-19,798
2021-04-20,1277
2021-04-21,5615
2021-04-22,3537
2021-04-29,4661
2021-04-30,5454
2021-05-03,2593
2021-05-04,6044
2021-05-05,7198
2021-05-06,5029
2021-05-15,7417
2021-05-20,6082
2021-05-21,3650
2021-05-22,4891
2021-05-23,3369
2021-05-26,1113
2021-05-27,931
2021-05-28,516
2021-05-29,388
2021-06-25,697
2021-06-26,777
2021-06-27,729
2021-06-30,1713
2021-07-01,1765
2021-07-02,2202
2021-07-03,3597
2021-07-04,1987
2021-07-08,1316
2021-07-09,4006
2021-07-10,5975
2021-07-11,10053
2021-07-12,6472
2021-07-13,13248
2021-07-14,4792
2021-07-15,28034
2021-07-16,17064
2021-07-17,14371
2021-07-18,8364
2021-07-19,6331
2021-07-20,11272
2021-07-21,11259
2021-07-22,9879
2021-07-27,19682
2021-07-28,19624
2021-07-29,13135
2021-07-30,10745
2021-07-31,9197
2021-08-01,5169
2021-08-02,2228
2021-08-03,3461
2021-08-04,9832
2021-08-05,11354
2021-08-06,12369
2021-08-07,12312
2021-08-10,7113
2021-08-11,7710
2021-08-18,4680
2021-08-19,4594
2021-08-24,4478
2021-08-25,1541
2021-08-26,4323
2021-08-27,4631
2021-08-28,4095
2021-09-03,4006
2021-09-27,3252
2021-09-28,8802
2021-09-29,8996
2021-09-30,11190
2021-10-01,8924
2021-10-02,13181
2021-10-08,15720
2021-10-09,6676
2021-10-12,7945
2021-10-13,8535
2021-10-14,8824
2021-10-15,8752
2021-10-16,7248
2021-10-19,2930
2021-10-20,7628
2021-10-21,6868
2021-10-22,5395
2021-11-17,4910
2021-11-23,5900
2021-11-24,22083
2021-12-03,25254
2021-12-07,8369
2021-12-08,47379
2021-12-12,11018
2021-12-13,11445
2021-12-14,18440
2021-12-15,28564
2021-12-16,31329
2021-12-19,17707
2021-12-20,9751
2021-12-21,34988
2021-12-22,37807
2021-12-25,22571
2022-01-06,26278
2022-01-11,50201
2022-01-12,35748
2022-01-13,36245
2022-01-18,43805
2022-01-19,22100
2022-01-25,14333
2022-02-04,21890
2022-02-08,17547
2022-02-09,19039
2022-02-10,16765
2022-02-21,9373
2022-02-22,23559
2022-02-23,26069
2022-02-28,41123
2022-03-01,25849
2022-03-09,12371
2022-03-19,29829
2022-03-24,20187
2022-03-29,12073
2022-03-30,12794
2022-03-31,15632
2022-04-05,7809
2022-04-06,13962
2022-04-07,15951
2022-04-13,16022
2022-04-14,16706
2022-04-21,37612
2022-04-22,18439
2022-05-03,9711
2022-05-14,12855
2022-05-23,62699
2022-05-27,224617
2022-06-03,219574
2022-06-07,43088
2022-06-08,134815
2022-06-23,98008
2022-06-30,96082
2022-07-08,65503
