Event ID,Event Name,Dept Name,End Date,Status
0000025264,RFO IT Quality Manager,State Teachers' Retirement Sys,"19/12/2022
10:00 PST",Posted
0000025377,CA DMV MESSAGE DISPLAY SYSTEM,Department of Motor Vehicles,"19/12/2022
10:00 PST",Posted
0000025341,Request for Proposal (RFQ) 22-36 - Video Streaming Services,High Speed Rail Authority,"19/12/2022
10:00 PST",Posted
22ADMIN026,"S22ADMIN026 Interpretation, Translation and Telephonic Services",Dept of Industrial Relations,"19/12/2022
10:00 PST",Posted
331-2022,Organization & Operational Assessment for CSU Chancellor's Office,CSU Systemwide Offices,"19/12/2022
12:00 PST",Posted
0000025163,"Business Continuity and Emergency Operations Plans Updates, Hazard Mitigation Plan Creation and Emergency Preparedness and Management Trainings and Exercises",Department of State Hospitals,"19/12/2022
14:00 PST",Posted
0000025131,Marketing and Design,Dept of Parks & Recreation,"19/12/2022
14:00 PST",Posted
22-236,22-236 - Non-Hazardous Waste and Recycle Removal Services for the Pasadena DMV Field Office.,Department of Motor Vehicles,"19/12/2022
14:30 PST",Posted
22-296,22-296 - Mid-Day and After-Hours Janitorial Services at the Santa Clara DMV Field Office.,Department of Motor Vehicles,"19/12/2022
14:30 PST",Posted
P22-0633,P22-0633,Dept of Food & Agriculture,"19/12/2022
15:00 PST",Posted
0000025179,22MLD018 IFB - Chemical Analysis of Atmospheric Pollutants PAHs and SVOCs,State Air Resources Board,"19/12/2022
15:00 PST",Posted
P22-0632,P22-0632 - RFQ- Snow blowers,Dept of Food & Agriculture,"19/12/2022
15:00 PST",Posted
0000025261,Supplemental Paid Sick Leave Relief Grant Program,Business & Economic Developmnt,"19/12/2022
17:00 PST",Posted
0000025286,RFP Franchise Investment Tool,Dept of Finan Protec and Innov,"19/12/2022
17:00 PST",Posted
0000025332,"IFB C5611221-D HEATING, VENTILATION, AIR CONDITIONING, TESTING, ADJUSTING AND BALANCING SERVICES",Dept of Corrections & Rehab,"20/12/2022
09:30 PST",Posted
22-323,22-323 - Parking lot sweeping and pressure washing and/or steam cleaning services at the San Francisco DMV Field Office,Department of Motor Vehicles,"20/12/2022
10:00 PST",Posted
03A3525,03A3525 A&E Broadband Middle Mile Network,Department of Transportation,"20/12/2022
10:00 PST",Posted
0000025162,C5611267-D - RESILIENT SHEET FLOORING INSTALLATION - CSP SAC,Dept of Corrections & Rehab,"20/12/2022
11:00 PST",Posted
0000025090,C5611248-D - CARPET AND SHEET VINYL REPLACEMENT CUSTODY TO COMMUNITY REENTRY PROGRAM  SANTA FE SPRINGS,Dept of Corrections & Rehab,"20/12/2022
11:00 PST",Posted
