11,"Agriculture, forestry, fishing, and hunting (A,Q)"
111CA,"Farms (A,Q)"
113FF,"Forestry, fishing, and related activities (A,Q)"
21,"Mining (A,Q)"
211,"Oil and gas extraction (A,Q)"
212,"Mining, except oil and gas (A,Q)"
213,"Support activities for mining (A,Q)"
22,"Utilities (A,Q)"
23,"Construction (A,Q)"
311FT,"Food and beverage and tobacco products (A,Q)"
313TT,"Textile mills and textile product mills (A,Q)"
315AL,"Apparel and leather and allied products (A,Q)"
31G,"Manufacturing (A,Q)"
31ND,"Nondurable goods (A,Q)"
321,"Wood products (A,Q)"
322,"Paper products (A,Q)"
323,"Printing and related support activities (A,Q)"
324,"Petroleum and coal products (A,Q)"
325,"Chemical products (A,Q)"
326,"Plastics and rubber products (A,Q)"
327,"Nonmetallic mineral products (A,Q)"
331,"Primary metals (A,Q)"
332,"Fabricated metal products (A,Q)"
333,"Machinery (A,Q)"
334,"Computer and electronic products (A,Q)"
335,"Electrical equipment, appliances, and components (A,Q)"
3361MV,"Motor vehicles, bodies and trailers, and parts (A,Q)"
3364OT,"Other transportation equipment (A,Q)"
337,"Furniture and related products (A,Q)"
339,"Miscellaneous manufacturing (A,Q)"
33DG,"Durable goods (A,Q)"
42,"Wholesale trade (A,Q)"
441,"Motor vehicle and parts dealers (A,Q)"
445,"Food and beverage stores (A,Q)"
44RT,"Retail trade (A,Q)"
452,"General merchandise stores (A,Q)"
481,"Air transportation (A,Q)"
482,"Rail transportation (A,Q)"
483,"Water transportation (A,Q)"
484,"Truck transportation (A,Q)"
485,"Transit and ground passenger transportation (A,Q)"
486,"Pipeline transportation (A,Q)"
487OS,"Other transportation and support activities (A,Q)"
48TW,"Transportation and warehousing (A,Q)"
493,"Warehousing and storage (A,Q)"
4A0,"Other retail (A,Q)"
51,"Information (A,Q)"
511,"Publishing industries, except internet (includes software) (A,Q)"
512,"Motion picture and sound recording industries (A,Q)"
513,"Broadcasting and telecommunications (A,Q)"
514,"Data processing, internet publishing, and other information services (A,Q)"
52,"Finance and insurance (A,Q)"
521CI,"Federal Reserve banks, credit intermediation, and related activities (A,Q)"
523,"Securities, commodity contracts, and investments (A,Q)"
524,"Insurance carriers and related activities (A,Q)"
525,"Funds, trusts, and other financial vehicles (A,Q)"
53,"Real estate and rental and leasing (A,Q)"
531,"Real estate (A,Q)"
532RL,"Rental and leasing services and lessors of intangible assets (A,Q)"
54,"Professional, scientific, and technical services (A,Q)"
5411,"Legal services (A,Q)"
5412OP,"Miscellaneous professional, scientific, and technical services (A,Q)"
5415,"Computer systems design and related services (A,Q)"
55,"Management of companies and enterprises (A,Q)"
56,"Administrative and waste management services (A,Q)"
561,"Administrative and support services (A,Q)"
562,"Waste management and remediation services (A,Q)"
6,"Educational services, health care, and social assistance (A,Q)"
61,"Educational services (A,Q)"
62,"Health care and social assistance (A,Q)"
621,"Ambulatory health care services (A,Q)"
622,"Hospitals (A,Q)"
622HO,"Hospitals and nursing and residential care facilities (A,Q)"
623,"Nursing and residential care facilities (A,Q)"
624,"Social assistance (A,Q)"
7,"Arts, entertainment, recreation, accommodation, and food services (A,Q)"
71,"Arts, entertainment, and recreation (A,Q)"
711AS,"Performing arts, spectator sports, museums, and related activities (A,Q)"
713,"Amusements, gambling, and recreation industries (A,Q)"
72,"Accommodation and food services (A,Q)"
721,"Accommodation (A,Q)"
722,"Food services and drinking places (A,Q)"
81,"Other services, except government (A,Q)"
FIRE,"Finance, insurance, real estate, rental, and leasing (A,Q)"
G,"Government (A,Q)"
GDP,"Gross domestic product (A,Q)"
GF,"Federal (A,Q)"
GFE,"Government enterprises (A,Q)"
GFG,"General government (A,Q)"
GFGD,"National defense (A,Q)"
GFGN,"Nondefense (A,Q)"
GSL,"State and local (A,Q)"
GSLE,"Government enterprises (A,Q)"
GSLG,"General government (A,Q)"
HS,"Housing (A,Q)"
ICT,Information-communications-technology-producing industries (A)
ICT,Information-communications-technology-producing industries<sup> 4</sup> (A)
II,"All industries (A,Q)"
NABI,"Not allocated by industry (A,Q)"
ORE,"Other real estate (A,Q)"
PGOOD,"Private goods-producing industries (A,Q)"
PROF,"Professional and business services (A,Q)"
PSERV,"Private services-producing industries (A,Q)"
PVT,"Private industries (A,Q)"
