s_no,title,body,industry,Region,source,date,latitude,longitude
1,Procurement of 0687-234020230071/03 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/03,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,2023-10-27,30.5000001,102.4999999
2,Procurement of 0687-234020230071/04 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/04,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,2023-10-27,30.5000001,102.4999999
3,Procurement of 0687-234020230071/02 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/02,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,2023-10-27,30.5000001,102.4999999
4,Procurement of 0613-234024165101 Energy flow data acquisition system(2),"0613-234024165101,Energy flow data acquisition system",Professional Technical Services,ChinaShanghai,Currency,2023-10-27,31.2312707,121.4700152
5,Procurement of 0687-234020230071/01 Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects(1),"0687-234020230071/01,Sichuan University West China Hospital small animal energy metabolism detection system and other procurement projects",Health ,ChinaSichuan,Currency,2023-10-27,30.5000001,102.4999999
6,"Procurement of 3230-234000110023 Lanzhou Institute of Biological Products Co. , Ltd. . Scale procurement project(2)","3230-234000110023,Lanzhou Institute of Biological Products Co. , Ltd. . Scale procurement project",Research and Experimental Development,ChinaGansu,Currency,2023-10-27,38.0000001,101.9999999
7,"Procurement of 0730-234011SZ0366/01 GreaTech Substrates Co., Ltd. Project-Blind Hole Inspection Machine(1)","0730-234011SZ0366/01,GreaTech Substrates Co., Ltd. Project-Blind Hole Inspection Machine","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaGuangdong,Currency,2023-10-27,23.1357694,113.1982688
8,Procurement of 1200-234GB2023018 Fully automatic blood type analyzer(1),"1200-234GB2023018,Fully automatic blood type analyzer",Health ,ChinaHainan,Currency,2023-10-27,19.2000001,109.5999999
9,Procurement of 0730-234011SZ0350/03 NanTong SCC Project -Direct Imaging Machine(1),"0730-234011SZ0350/03,NanTong SCC Project -Direct Imaging Machine","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaJiangsu,Currency,2023-10-27,33.0000001,119.9999999
10,Procurement of 0664-2340SUMECK38 Raw material synthesis furnace(1),"0664-2340SUMECK38,Raw material synthesis furnace","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaZhejiang,Currency,2023-10-27,29.0000001,119.9999999
11,Procurement of 1289-234023ZB1481 Procurement of laser annealing equipment for Yandong Group(2),"1289-234023ZB1481,Procurement of laser annealing equipment for Yandong Group",Manufacture of Electrical Machinery and Apparatus ,ChinaBeijing,Currency,2023-10-27,39.9057136,116.3912972
12,Procurement of 0720-2340zbzx0225 extrusion and pelletizing unit(2),"0720-2340zbzx0225,extrusion and pelletizing unit","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaGuangxi,Currency,2023-10-27,24.0,109.0
13,"Procurement of 0655-2341NIT2005N Procurement and Installation Project of Flash Thermal Conductivity Tester for Ningbo Innovation Research Institute, Beijing University of AeronauticsandAstronautics(1)","0655-2341NIT2005N,Procurement and Installation Project of Flash Thermal Conductivity Tester for Ningbo Innovation Research Institute, ",Education ,ChinaZhejiang,Currency,2023-10-27,29.0000001,119.9999999
14,Procurement of 0720-2340zbzx0224 Peroxide Dosing Pumps & Solvent Flushing Pump(2),"0720-2340zbzx0224,Peroxide Dosing Pumps & Solvent Flushing Pump","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaGuangxi,Currency,2023-10-27,24.0,109.0
15,Procurement of 0720-2340zbzx0223 Vinyl acetate injection pump(2),"0720-2340zbzx0223,Vinyl acetate injection pump","Processing of Petroleum, Coking and  of Nuclear Fuel",ChinaGuangxi,Currency,2023-10-27,24.0,109.0
16,Procurement of 0866-2340SXQY2016 Purchase of bolter miner for Shaanxi Coal Group Ningtiaota Mining Co. Ltd.(1),"0866-2340SXQY2016,Purchase of bolter miner for Shaanxi Coal Group Ningtiaota Mining Co. Ltd.",Coal Mining and Dressing,ChinaShaanxi,Currency,2023-10-27,35.5895959,109.3013107
17,Procurement of 0730-234011020148/02 CAN network diagnostic test tool chain(1),"0730-234011020148/02,CAN network diagnostic test tool chain","Manufacture of Computers, Communication and Other Electronic Equipment ",ChinaShanghai,Currency,2023-10-27,31.2312707,121.4700152
18,Procurement of 0834-2341SH23A424 MRI compatible anesthesia machine(1),"0834-2341SH23A424,MRI compatible anesthesia machine",Research and Experimental Development,ChinaShanghai,Currency,2023-10-27,31.2312707,121.4700152
19,Procurement of 2947-234hs2023g03 Purchase of 5 magnetic resonance spectrometers for West Lake University(1),"2947-234hs2023g03,Purchase of 5 magnetic resonance spectrometers for West Lake University",Professional Technical Services,ChinaZhejiang,Currency,2023-10-27,29.0000001,119.9999999
20,Procurement of 3807-234KRJDEY014 Jilin University Second Hospital Fundus Wide Angle Camera Procurement Project(2),"3807-234KRJDEY014,Jilin University Second Hospital Fundus Wide Angle Camera Procurement Project",Health ,ChinaJilin,Currency,2023-10-27,43.7289674,126.1997366
21,Procurement of 0720-2340zbzx0192 High pressure electric throttle valve(1),"0720-2340zbzx0192,High pressure electric throttle valve",Petroleum and Natural Gas Extraction,ChinaXinjiang,Currency,2023-10-27,42.4804953,85.4633464
22,Procurement of 0854-234HNWXZB045 ICB Procurement of Medical Equipment(2),"0854-234HNWXZB045,ICB Procurement of Medical Equipment",Health ,ChinaHenan,Currency,2023-10-27,34.0000001,113.9999999
